Abbasi, Nimrah; Maternal Fetal Medicine, Obstetrics and Gynecology
Lachmann, Mark Herbert; Family Medicine, FCFP - Family Medicine, Geriatric Psychiatry, Psychiatry
Lacombe, Shawn Paul; Family Medicine
Laframboise, Stephane; Obstetrics and Gynecology
Lai, Alice   Miuling
Lai, Alison Tin-Sum; Internal Medicine
Lakhani, Aly; Internal Medicine
Lalani, Fereshte Nurdin; Family Medicine
Laluck Junior, Bohdan   Julius; Internal Medicine
Lam, Andrew   James Yuen Wai; Family Medicine
Lam, Wilson; Hematology, Internal Medicine
Lang, Anthony   Edward Thomas; Internal Medicine, Neurology
Langlois, Valerie; Nephrology, Pediatrics
Lapinsky, Stephen   Earl; Internal Medicine
Lara Corrales, Irene; Pediatrics
Laskin, Carl   Alan; Rheumatology
Lau, Adrian Ngar Chun; Endocrinology and Metabolism, Internal Medicine
Lau, Ambrose   Kaiting; Internal Medicine, Respirology
Lau, Johnny   Tak-Choy; Orthopedic Surgery
Laughlin, Suzanne; Diagnostic Radiology
Law, Arjun Datt; Hematology
Law, Samuel   Fai; Psychiatry
Lawler, Patrick Ryan; Cardiology, Critical Care Medicine, Internal Medicine
Lawrence, David Wyndham; Family Medicine
Lax, Matthew Jamie; Diagnostic Radiology
Lazarou, Jason; Neurology
Lazinski, Dorothy; Diagnostic Radiology
Le, Nam Hoang; Anesthesiology
Leckie, Ashley Elizabeth; Diagnostic Radiology
Lee, Christie   Martha; Critical Care Medicine, Internal Medicine, Respirology
Lee, Danyela Petra; Anesthesiology
Lee, Jacques Simon; Emergency Medicine
Lee, Karen Grace; Family Medicine
Lee, Kyong-Soon; Pediatrics
Lee Ng, Vicky; Pediatrics
Lee, Shoo Kim; Pediatrics
Lee, Terence Tat Nang; Internal Medicine
Lefkowitz, Ariel Michael Feig; General Internal Medicine, Internal Medicine
Leibson, Tom; Pediatrics
Leighl, Natasha   Basant; Internal Medicine, Medical Oncology
Lemos, Nucelio Luiz de Barros Moreira; Obstetrics and Gynecology
Leong, Wey-Liang; General Surgery
Leszcz, Molyn; Psychiatry
Leung, Peter   Cheung Sui; Obstetrics and Gynecology
Levinsky, Elyse   Shifra; Obstetrics and Gynecology
Levy, Gary   Avrom; Gastroenterology, Internal Medicine
Levy, Michelle   Rebecca; Family Medicine
Lewis, Dorothy Brianne; Obstetrics and Gynecology
Lewis, Gary Franklin; Endocrinology and Metabolism, Internal Medicine
Li, Irene   Lingge; Family Medicine
Li, Marilyn   Man-Yee; Gastroenterology, Internal Medicine
Li, Melinda Yuk-Ting; Anesthesiology
Liberman, Dan; Geriatric Medicine, Internal Medicine
Lilly, Leslie   Blake; Gastroenterology, Internal Medicine
Lim, Caesar Sea Hock; Family Medicine
Linda, Dorota; Diagnostic Radiology
Linders, Patricia Mary; Pediatrics
Lindsay, Thomas Fooks; General Surgery, Vascular Surgery
Ling, Simon Christopher; Pediatrics
Liu, Eugene Sy; Ophthalmology
Liu, Geoffrey; Internal Medicine
Liu, Jessica Janine; Internal Medicine
Liu, Kimberly   Ellen; Obstetrics and Gynecology
Liu, Louis Wing Cheong; Gastroenterology, Internal Medicine
Llano Ferro, Miguel   Alfonso
Lo, Kirk   Cheng-Lun; Urology
Lochab, Jasjit; Orthopedic Surgery
Locke, Kenneth   Andrew; Internal Medicine
Logan, Alexander Gordon; Internal Medicine
Loganathan, Mayura; Family Medicine
Lok, Charmaine Elizabeth; Internal Medicine, Nephrology
Lovatsis, Danny; Obstetrics and Gynecology
Lower, Darlene Patricia; Family Medicine
Lu, Ying; Ophthalmology
Luca, Simina Roxana; Internal Medicine
Luk, Adriana   Carrie; Cardiology, Internal Medicine
Lukowski, Anna Leokadia; Internal Medicine
Lum, Grant; Family Medicine
Lutchman, Carla   Radica; Ophthalmology
Luther, Ryan Adel; General Internal Medicine, Internal Medicine
Ly, Linh   Gia; Pediatrics
Lyons, Owen Daniel; Respirology
Ma, Martin   Tim; Anesthesiology
Macarthur, Alison   Jane; Anesthesiology
Macdonald, Catherine Ellen; Diagnostic Radiology
Macklin, David   Ari; Family Medicine
MacMillan, Thomas Evan; Internal Medicine
MacRae, Helen   Marie; General Surgery
Mafeld, Sebastian Charles; Diagnostic Radiology
Mah, Kim   Bill; Psychiatry
Mahdavi-Nezarati, Marjan; Medical Genetics and Genomics
Mahtani, Ramona; Family Medicine
Mak, Susanna So Sum; Cardiology, Internal Medicine
Malat, Jan; Psychiatry
Malinowski, Ann; Maternal Fetal Medicine, Obstetrics and Gynecology
Malkin, David   Daniel; Pediatrics
Man, Hon-Sum   Jeffrey; Critical Care Medicine, Internal Medicine, Respirology
Mandelbaum, Saul   Harry; General Surgery
Mandell, Daniel   Michael; Diagnostic Radiology, Neuroradiology
Manson, David   Eliezar Shalom; Diagnostic Radiology
Marcon, Margaret   Angelina; Pediatrics
Margolese, Ellen   Anne; Psychiatry
Margolin, Edward Arkadiy; Ophthalmology
Margolis, Myles; Diagnostic Radiology
Marotta, Thomas   Richard; Diagnostic Radiology
Marras, Laurie Constance; Neurology
Marras, Theodore; Internal Medicine, Respirology
Martin del Campo, Jose   Cuauhtemoc; Internal Medicine, Neurology
Martiniuk, Shauna   Olena Conboy; Family Medicine, Family Medicine (Emergency Medicine)
Martinu, Tereza; Internal Medicine, Respirology
Mason, Warren   Phillip; Internal Medicine, Neurology
Maunder, Robert   Gordon; Psychiatry
Maxwell, Cynthia Vivianne; Obstetrics and Gynecology
May, Taymaa; Obstetrics and Gynecology
Maze, Dawn   Catherine; Hematology, Internal Medicine
Mazzotta, Paolo; Family Medicine
Mazzulli, Tonino; Infectious Diseases, Internal Medicine, Medical Microbiology
McCart, Judith   Andrea; General Surgery
McCready, David   Ross; General Surgery
McCrindle, Brian   Wayne; Cardiology, Pediatrics
McDermott, Colleen   Dawn; Obstetrics and Gynecology
McDonald, Michael   Andrew; Cardiology, Internal Medicine
McDonald-Blumer, Heather; Internal Medicine, Rheumatology
McGeer, Allison Joan; Infectious Diseases, Internal Medicine
McGilvray, Ian Douglas; General Surgery
McInnis, Hailey Arden; Family Medicine
McInnis, Micheal Chad; Diagnostic Radiology
McIntosh, Christopher   Allan; Psychiatry
McIntosh, Evan   MacDonald; Family Medicine, Family Medicine (Emergency Medicine)
McIntyre, Julie   Jean; Family Medicine
McIsaac, Warren   Joseph; Family Medicine
Mehta, Sangeeta; Internal Medicine, Respirology
Melnitzer, Melissa   Dawn; Family Medicine
Melnyk, Vladyslav; Anesthesiology
Melvin, Lindsay Joanne; General Internal Medicine, Internal Medicine
Mendoza-Londono, Roberto; Medical Genetics and Genomics
Menzies, Rebecca Joanne Zoe; Maternal Fetal Medicine, Obstetrics and Gynecology
Merchant, Asad   Ali; Internal Medicine, Nephrology
Mertens, Luc L; Pediatric Cardiology
Metser, Ur; Diagnostic Radiology
Meuser, James   Cowan; Family Medicine
Mezody, Melitta; Cardiology
Michel, Ernest Robert; Anesthesiology
Mikulis, David   John; Diagnostic Radiology
Millar, Adam Christopher; Endocrinology and Metabolism, Internal Medicine
Millar, Heather Christine; Obstetrics and Gynecology
Miller, Gilbert; Pediatrics
Miller, Steven Paul; Neurology
Minden, Mark David; Internal Medicine
Minkovich, Leonid   Leizarovich; Anesthesiology
Mirchandani, Natasha; Family Medicine
Miropolsky, Vladislav; Diagnostic Radiology
Mitri, Mira; Family Medicine
Moaveni, Azadeh; Family Medicine
Mohamed, Adel Abdellatif Awadalla; Neonatal-Perinatal Medicine
Mohan, Ravi Michael; Diagnostic Radiology, Nuclear Medicine
Mohankumar, Rakesh; Diagnostic Radiology
Moharir, Mahendranath Dinanath; Pediatrics
Molla Ghanbari, Hedieh; Family Medicine
Monteiro, Eric Anthony; Otolaryngology - Head and Neck Surgery
Moore, Shannon   Elizabeth; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
Moraes, Theo   Joasinho; Pediatrics, Respirology
Moran, Peter Ignatius Mary; Psychiatry
Morel, Chantal   France Joelle; Medical Genetics and Genomics
Morey, Trevor Stacey; Family Medicine
Morgan, Matthew   William; Internal Medicine
Morris, Andrew   Mark; Infectious Diseases, Internal Medicine
Morris, Shaun Kirsten; Infectious Diseases, Pediatrics
Morrow, Gary   Lawrence; Ophthalmology
Morson, Natalie Catherine; Family Medicine
Moulton, Carol-Anne   Evelyn; General Surgery
Mozes, Rami   Shaul
Mrkonjic, Miralem; Anatomical Pathology
Mucsi, Istvan; Internal Medicine, Nephrology, Nephrology
Mukerji, Geetha; Endocrinology and Metabolism, Internal Medicine
Mullen, John Brendan Maurice; Anatomical Pathology
Munce, Nigel Robert; Diagnostic Radiology
Munhoz, Renato Puppi; Neurology
Munshi, Laveena; Critical Care Medicine, Internal Medicine
Murji, Ally; Obstetrics and Gynecology
Murphy, Amanda Marie; Diagnostic Radiology
Murphy, Kellie Estelle; Obstetrics and Gynecology
Murphy, Kieran Patrick John; Diagnostic Radiology
Murphy, Patricia   Mary; Anesthesiology
Musgrave, Melinda   Anne; Plastic Surgery
Naglie, Ian   Gary; Geriatric Medicine, Internal Medicine
Naimer, Michelle Stricker; Family Medicine
Nair, Krishnakumar; Cardiology
Nanji, Shabin Shamsudin; Anatomical Pathology
Nantais, Jordan; General Surgery
Nanthakumar, Kumaraswamy; Cardiology, Internal Medicine
Naraghi, Ali Mohammad Faghihi; Diagnostic Radiology
Nathan, Paul   Craig; Pediatrics
Nazemi, Fariba; Ophthalmology
Nesbitt, Gillian   Catherine; Cardiology, Internal Medicine
Newman, Barbara   Jane; Family Medicine
Newton, Gary Evan; Cardiology, Internal Medicine
Ng, Carly  Joyce; Family Medicine
Ng, Eugene   Hing-Lun; Pediatrics
Ng, Karen Agatha; Geriatric Medicine, Internal Medicine
Nguyen, Geoffrey   Christopher; Gastroenterology, Internal Medicine
Nguyen, Jasmine Thien Duyen; Family Medicine
Nica-Graham, Elena Irina; Geriatric Psychiatry, Psychiatry
Nijhawan, Navdeep; Ophthalmology
Nimmo, Graeme Archibald McLeas; Medical Genetics and Genomics
Niroumand-Sarvestani, Mitra; Internal Medicine, Respirology
Norman, Richard; Geriatric Medicine, Internal Medicine
Nosrati, Mohammad
Novak, Tomas; Family Medicine, Family Medicine (Emergency Medicine)
Nowaczynski, Mark John Joseph; Family Medicine
Nusinowitz, Sidney; Family Medicine
Nutik, Melissa Robyn; Family Medicine
O'Brien, Katherine Elizabeth; Pediatrics
Odame, Isaac; Pediatrics
Oechslin, Erwin   Notker; Cardiology, Internal Medicine
Oestreicher, James   Herbert; Ophthalmology
Okrainec, Karen; Internal Medicine
Okun, Nanette   Bell; Obstetrics and Gynecology
O'Leary, Gerald   Martin; Anesthesiology
O'Malley, Martin Enda; Diagnostic Radiology
Omar, Ahmed Hadi Ali; Rheumatology
O'Neill, Anne   Catherine; Plastic Surgery
Oreopoulos, George Dimitrios; General Surgery, Vascular Surgery
Organek, Andrew Jordan; Family Medicine, Family Medicine (Emergency Medicine)
Osborne, Richard Andrew; Family Medicine
Osten, Mark   David; Cardiology, Internal Medicine
Otremba, Mirek Miroslaw; General Internal Medicine, Internal Medicine
Oudjhane, Kamaldine
Ovens, Howard   Jack; Family Medicine, Family Medicine (Emergency Medicine)
Overgaard, Christopher Brian; Cardiology, Internal Medicine
Pace, Kenneth Tony; Urology
Paek, Wusun; Obstetrics and Gynecology
Page, Andrea   Vaughn; Infectious Diseases, Internal Medicine
Pagnoux, Christian; Internal Medicine, Rheumatology
Pain, Clare Margaret; Psychiatry
Pakkal, Mini   Vithal; Diagnostic Radiology
Panisko, Daniel   Michael; Internal Medicine
Pantazi, Sophia; Diagnostic Radiology
Papsin, Blake   Croll; Otolaryngology - Head and Neck Surgery
Parekh, Rulan Savita; Nephrology, Pediatrics
Park, Si-Hyeong; Orthopedic Surgery
Parker, Colleen Helen; Gastroenterology, Internal Medicine
Parker, David   John; Cardiology, Internal Medicine
Parks, William Antone; Anatomical Pathology
Pasic, Ivan; Internal Medicine, Medical Oncology
Patel, Keyur; Gastroenterology
Patel, Yashesh; General Internal Medicine, Internal Medicine
Pathak, Rahul Shivaji; Pain Medicine
Patriquin, Christopher Jordan; Hematology, Internal Medicine
Patsios, Demetris Andrea; Diagnostic Radiology
Payne, Lauren Elizabeth; Family Medicine
Peacock, Sharon; Anesthesiology
Pearlman, Jennifer   Beth; Family Medicine
Peck, Jared   Richard; Psychiatry
Pei, Po-Chee; Internal Medicine, Nephrology
Pelc, Jordan Ryan; Family Medicine
Pendergrast, Jacob   McGimsey; Hematology, Internal Medicine
Peng, Philip Wenn-Hsin; Anesthesiology
Peng, Yun; Family Medicine
Penner, Todd Patrick; General Surgery
Perelman, Vsevolod   Seva; Family Medicine, Family Medicine (Emergency Medicine)
Perkin, Linda Beatrice
Perkins, Bruce   Joseph Louis Allan; Endocrinology and Metabolism, Internal Medicine
Perlas Fontana, Anahi; Anesthesiology
Perlis, Nathan; Urology
Perlus, Isaac   Ryan; Orthopedic Surgery
Peterkin, Allan David; Family Medicine, Psychiatry
Petroff, Howard   Lawrence; Family Medicine, Family Medicine (Emergency Medicine)
Pham, Nguyen Hoai Huong; Internal Medicine
Picard, Larry Meredith; Neurology
Piekos, Anna Maria; Family Medicine
Pierre, Andrew   Frederick; General Surgery, Thoracic Surgery
Pierro, Agostino; General Surgery
Piggott, Katrina Lynn; Geriatric Medicine, Internal Medicine
Pilmer, Caileigh Mariko; Family Medicine
Pinto, Tanya Rita; Geriatric Psychiatry, Psychiatry
Pollett, Aaron   Frederick; Anatomical Pathology
Pope, Elena; Pediatrics
Poutanen, Susan   Marie; Infectious Diseases, Internal Medicine, Medical Microbiology
Powles, Kristina Elisabeth; Family Medicine
Preisman, Mary; Psychiatry
Prewal, Hardeep Kaur; Family Medicine, Palliative Medicine
Prica, Anca Alexandra; Hematology, Internal Medicine
Primiani, Nadia Sarah; Family Medicine, Family Medicine (Emergency Medicine)
Prince, Rebecca Michelle; Medical Oncology
Propst, Evan Jon; Otolaryngology - Head and Neck Surgery
Punthakee, Xerxes   Dinshaw; Otolaryngology - Head and Neck Surgery
Quinn, Kieran Lewis; General Internal Medicine, Internal Medicine
Raghavan, Gita; Anesthesiology
Rai, Amandeep Singh; Ophthalmology
Rakowski, Harry; Cardiology
Ralph-Edwards, Anthony   Charles; Cardiovascular and Thoracic Surgery, General Surgery
Rambihar, Sherryn; Cardiology, Internal Medicine
Rampersaud, Yoga Raja; Orthopedic Surgery
Rani Karur, Gauri; Diagnostic Radiology
Rappaport, Daniel   Charles; Diagnostic Radiology
Ratjen, Felix   Alexander; Pediatrics, Respirology
Ravitz, Paula Jo; Psychiatry
Rawal, Sapna; Diagnostic Radiology
Rawal, Shail; Internal Medicine
Rawkins, Sian   Rhiannon; Psychiatry
Reedijk, Michael Jan; General Surgery
Reich, Heather   Naomi; Internal Medicine, Nephrology
Reid, Sarah   Jennifer; Family Medicine
Reingold, Terence Mark; Family Medicine
Reiss, Dina; Endocrinology and Metabolism, Internal Medicine
Retnakaran, Ravi   Rajan; Endocrinology and Metabolism, Internal Medicine
Richardson, Lisa   Ann; Internal Medicine
Riddell, Robert Henry; Anatomical Pathology
Ridout, Rowena; Endocrinology and Metabolism, Internal Medicine
Ringer, Thomas James; Family Medicine, Family Medicine (Emergency Medicine)
Roberts, Michael Craig; Family Medicine
Robinson, Edward Allan; Family Medicine
Rochon, Paula Ann; Geriatric Medicine, Internal Medicine
Rogalla, Patrik
Roifman, Maian; Medical Genetics and Genomics
Romach-Sellers, Myroslava Katria; Psychiatry
Romanovsky, Lindy; Geriatric Medicine
Ronn, Ruth; Obstetrics and Gynecology
Roscoe, Janet Mary; Internal Medicine, Nephrology
Roseman, Michelle; Family Medicine
Rosen, Benjamin Fred; Psychiatry
Rosenberg, Marsha Heather; Geriatric Psychiatry, Psychiatry
Rosenberg, Morgan Stacey; Gastroenterology, Internal Medicine
Roskies, Michael; Otolaryngology - Head and Neck Surgery
Rossos, Peter George; Gastroenterology, Internal Medicine
Rotstein, Coleman   Michael Frederick; Infectious Diseases, Internal Medicine
Rozenberg, Dmitry; Internal Medicine, Respirology
Rubenstein, Warren   Howard; Family Medicine
Rubin, Evelyn Tobie; Family Medicine
Rucker, Joshua   Charles Samuel; Anesthesiology
Rush, Perry   Joel; Internal Medicine, Physical Medicine and Rehabilitation, Rheumatology
Rush, Raphael; Internal Medicine, Rheumatology
Ruskin, Ronald; Psychiatry
Russo, Miguel Angel; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
Rutka, John   Alexander; Otolaryngology - Head and Neck Surgery
Ryan, Clodagh Mai; Internal Medicine
Ryan, Gregory   Charles Edmond Harold; Obstetrics and Gynecology
Sacher, Adrian Gerold; Internal Medicine, Medical Oncology
Sadavoy, Joel; Psychiatry
Safir, Oleg   Aleksandrovich; Orthopedic Surgery
Sahota, Inderjeet Singh; Family Medicine
Saldanha, Lisa Jean; Family Medicine
Salgueiro Fernandes Marantes Guimaraes, Luis   Armando; Diagnostic Radiology
Salit, Irving   Elliot; Infectious Diseases, Internal Medicine
Salman, Aliya; Anesthesiology
Salonen, David   Charles; Diagnostic Radiology
Saltman, Alexandra Paige; Internal Medicine, Rheumatology
Salz, Liad; Family Medicine
Sanchez-Guerrero, Francisco Jorge; Internal Medicine, Rheumatology
Sanghera, Gurinder   Paul; Ophthalmology
Sapisochin Cantis, Gonzalo; General Surgery
Sasson, Zion; Cardiology, Internal Medicine
Satok, David   Andrew; Family Medicine
Sawka, Annie Mary; Endocrinology and Metabolism, Internal Medicine
Sax, Lawrence   Melvyn
Scaranelo, Anabel   Medeiros; Diagnostic Radiology
Schaafsma, Joanna Danielle; Neurology
Schachter, Debbie   Carol; Child and Adolescent Psychiatry, Psychiatry
Schermbrucker, Jonah Nicole; Family Medicine
Schmidt, Heidi   Christa; Diagnostic Radiology
Schneider, Evan; Family Medicine
Schofield, Michel   Mary Elizabeth
Scholey, James   William; Internal Medicine, Nephrology
Schram, Carrie   Ann; Family Medicine
Schulze, Andreas; Pediatrics
Schwartz, Earl Jeffrey
Schwartz, Steven   Michael; Pediatric Cardiology, Pediatrics
Scolnik, Dennis; Pediatrics
Seaward, Percival Gareth Rudee; Obstetrics and Gynecology
Segal, Phillip   Harry Bacal; Endocrinology and Metabolism, Internal Medicine
Selk, Amanda; Obstetrics and Gynecology
Sellers, Daniel; Anesthesiology
Sermer, Mathew; Obstetrics and Gynecology
Seyed Akhavan, Pooneh; Internal Medicine, Rheumatology
Sgro, Michael Dominic; Pediatrics
Shafiee Nyestanak, Mohammad Ali; Internal Medicine
Shah, Hemant   Ashok; Gastroenterology, Internal Medicine
Shah, Manish   Dev; Otolaryngology - Head and Neck Surgery
Shah, Prakeshkumar Shantilal; Pediatrics
Shah, Rupal; General Internal Medicine, Internal Medicine
Shah, Vibhuti Shantilal; Pediatrics
Shammas, Amer; Nuclear Medicine
Shandling, Maureen Ruth; Neurology
Shapera, Shane Michael; Internal Medicine, Respirology
Shapiro, Heather Merle; Obstetrics and Gynecology
Shapiro, Jennifer Sarah; Family Medicine
Shapiro, Jodi   Lynn; Obstetrics and Gynecology
Shapiro, Marla; Community Medicine, Family Medicine
Sharkawy, Abdul   Quadir Ahmed; Infectious Diseases, Internal Medicine
Shaw, Patricia   Ann; Anatomical Pathology
Shechtman, Grant   Leon; Family Medicine
Shehata, Nadine; Hematology, Internal Medicine
Sheiner, Jamie   Brenda; Family Medicine
Sheppard, Matthew Jacob; Anesthesiology, Pain Medicine
Sheps, Rachel Lynn; Family Medicine, Family Medicine (Emergency Medicine)
Shinghal, Tulika; Otolaryngology - Head and Neck Surgery
Shirreff, Lindsay; Obstetrics and Gynecology
Shlomovitz, Eran; Diagnostic Radiology, General Surgery
Shroff, Manohar   Menghraj; Diagnostic Radiology
Shrott, Barry Howard
Shulman, Rayzel   Malka; Endocrinology and Metabolism, Pediatrics
Sidhu, Amandeep; Internal Medicine, Respirology
Siemens, Isaac; Family Medicine
Silver, Daniel; Psychiatry
Silver, Frank   Leonard; Neurology
Silver, Robert Donald; Endocrinology and Metabolism, Internal Medicine
Silverberg, Mark   Steven; Gastroenterology, Internal Medicine
Silverman, Gregory   Lindsay; Anesthesiology
Silverman, Melvin; Internal Medicine, Nephrology
Silversides, Candice   Kristeen; Cardiology, Internal Medicine
Siminovitch, Katherine   Anne; Internal Medicine, Rheumatology
Simon, Barry Joshua; Psychiatry
Simons, Martin   Edward; Diagnostic Radiology
Simpson, Ernest Rand; Ophthalmology
Singer, Lianne Gail; Internal Medicine, Respirology
Singer, Shaun; Ophthalmology
Singh, Jeffrey   Mahan; Internal Medicine
Singh, Sunita Kaur Shah; Internal Medicine, Nephrology
Singh, Vishnu Shankar; Internal Medicine
Singwi, Amita; Family Medicine
Sinha, Samir Kumar; Geriatric Medicine, Internal Medicine
Siu, Lillian Lai-Yun; Internal Medicine, Medical Oncology
Siu, Samuel   Chi Bun; Cardiology, Internal Medicine
Slinger, Peter Douglas; Anesthesiology
Sloan, Eileen Patricia; Psychiatry
Slonim, Rodney   Owen Neil; Psychiatry
Slow, Elizabeth Jane; Neurology
Smith, Roger   Macleod Laing
Snelgrove, John Wilkinson; Maternal Fetal Medicine, Obstetrics and Gynecology
Sniderman, Barry   Paul; Ophthalmology
So, Joyce; Medical Genetics and Genomics
Sobel, Mara Lindsay; Obstetrics and Gynecology
Soboloff, Michael   Jay; Family Medicine
Sole, Michael   Joseph; Cardiology
Solnik, Meir Jonathon; Obstetrics and Gynecology
Solomon, Melinda; Pediatrics, Respirology
Soneji, Neilesh; Anesthesiology
Soong, Christine   Chia-Chi; Family Medicine
Soowamber, Medha Laichand; Internal Medicine, Rheumatology
Sorbara, Julia Catherine; Endocrinology and Metabolism, Pediatrics
Soric, Rajka; Physical Medicine and Rehabilitation
Soucie, Katherine   Berengere; Family Medicine
Spadafora, Salvatore   Mario; Anesthesiology
Spiegle, Gillian  Beth; General Internal Medicine, Internal Medicine
Spitzer, Rachel Frida; Obstetrics and Gynecology
Sridhar, Srikala   Sujata; Internal Medicine, Medical Oncology
Stal, Jeffrey   Michael; Gastroenterology, Internal Medicine
Stall, Nathan Morton; Geriatric Medicine, Internal Medicine
Stanbrook, Matthew   Joel Buchanan; Internal Medicine, Respirology
Star, Janet Anne; Pediatrics
Steel, Andrew   Christopher; Anesthesiology
Steiman, Amanda Joie; Internal Medicine, Rheumatology
Steiman, Asenath; Geriatric Medicine
Steinberg, Leah Judith; Family Medicine
Steinhart, Allan   Hillary; Gastroenterology, Internal Medicine
Sterling, Cara Lesley; Family Medicine
Stewart, Pamela Ann; Family Medicine, Psychiatry
Strafella, Antonio   Paolo; Neurology
Suchak, Nayana   Avinash; Family Medicine
Sujana Kumar, Shoba; Endocrinology and Metabolism, Internal Medicine
Sullivan, Michael   E.; Anesthesiology
Sussman, Gordon   Lloyd; Clinical Immunology, Internal Medicine
Sutandar, Kalam; Psychiatry
Sved, Michael Harvey; Obstetrics and Gynecology
Swallow, Carol Jane; General Surgery
Sweezey, Neil Bruce; Pediatrics, Respirology
Sy, Jennifer; Family Medicine
Szmuilowicz, Sharon; Psychiatry
Tai, Peter Chung; Neurology
Tait, Glendon   Ralph; Psychiatry
Talbot, Yves Roland
Tam, Emily Wing Yun; Neurology
Tam, Eric   Siu Lung; Ophthalmology
Tan, Kong   Teng; Diagnostic Radiology
Tannenbaum, Evan   Robert; Obstetrics and Gynecology
Tannenbaum, William   David; Family Medicine
Targownik, Laura   Ellyn; Gastroenterology, Internal Medicine
Tarlo, Susan Mary; Internal Medicine, Respirology
Tedesco, Alissa; Family Medicine
Tein, Ingrid; Pediatrics
Tejpar, Qassim Zavhar; Family Medicine, Family Medicine (Emergency Medicine)
Ter Brugge, Karel Gerard; Diagnostic Radiology
Teresi, James   Emmanuel; Anesthesiology
Thakur, Varsha; Cardiology, Pediatrics
Theodoropoulos, John   Stavros; Orthopedic Surgery
Thomas, Jacqueline Ann; Obstetrics and Gynecology
Thompson, Charles Vaughn; Orthopedic Surgery
Thorne, Julie Gabrielle; Obstetrics and Gynecology
Thorne, Sara Angela; Cardiology
Thouin, Susan Katherine; Family Medicine, Family Medicine (Emergency Medicine)
Thyagu, Santhosh; Hematology
Tiedemann, Rodger Edwin; Medical Oncology
Tile, Lianne Ellen; Internal Medicine
Toi, Ants; Diagnostic Radiology
Toor, Harleen; Family Medicine
Torres, Felipe Soares; Diagnostic Radiology
Traubici, Jeffrey; Diagnostic Radiology
Trudel, Suzanne Marie; Hematology, Internal Medicine
Tsang, Wendy Wing Chi; Cardiology, Internal Medicine
Tse, Yvonne Yee Wun; Gastroenterology, Internal Medicine
Tsoi, Christopher Sze-Chung; Family Medicine
Tsoi, Kim; Orthopedic Surgery
Tucker, Nancy   Audrey; Ophthalmology
Tumber, Perm Paul Singh; Anesthesiology
Turashvili, Gulisa; Anatomical Pathology
Tzanetos, Katina; Internal Medicine
Udell, Jacob Allan; Cardiology, Internal Medicine
Ulic, Bogdan-Cristian I; Psychiatry
Unger, Sharon Louise; Pediatrics
Upshur, Ross Edward Grant
Urowitz, Murray   Barry; Internal Medicine, Rheumatology
Uxa, Amar Krishna; Cardiology
Vadasz, Gabriel Americo; Family Medicine
Vaezi, Aref; Family Medicine
Vagi Asztalos, Elizabeth   Dorothy; Pediatrics
Vallabhaneni, Madhusudana   Rao; Psychiatry
van der Kwast, Theodorus   Hendricus; Anatomical Pathology
Van Mieghem, Tim   Nicole Constant; Obstetrics and Gynecology
Van Wyk, Bernize; Family Medicine
Varadi, Robert Gabriel; Internal Medicine, Respirology
Varlese, Fabio; Geriatric Medicine, Internal Medicine
Varner, Catherine   Elizabeth; Family Medicine
Veillette, Christian   Jean Henri; Orthopedic Surgery
Veinish, Shelley Lynn; Geriatric Medicine, Internal Medicine
Veit-Haibach, Patrick; Diagnostic Radiology, Nuclear Medicine
Venus, Kevin   Allan; General Internal Medicine, Internal Medicine
Verbeeten, Karen Michelle; Diagnostic Radiology, Nuclear Medicine
Vescan, Allan   Dave; Otolaryngology - Head and Neck Surgery
Viswabandya, Auro; Hematology, Internal Medicine
Volling, Cheryl Ann; Infectious Diseases, Internal Medicine
Waddell, Thomas   Kenneth; General Surgery, Thoracic Surgery
Wald, Rachel Maya; Cardiology, Pediatrics
Wald, Robert   William; Cardiology
Wales, Paul William; General Surgery, Pediatric General Surgery
Walji, Sakina; Family Medicine
Walman, Noah Samuel; Family Medicine
Walmsley, Sharon   Lynn; Infectious Diseases, Internal Medicine, Medical Microbiology
Wang, Jean   Chuen Yi; Hematology, Internal Medicine
Ward, Richard; Hematology
Waters, Valerie Johanna; Infectious Diseases, Pediatrics
Wax, Randy   Stuart; Internal Medicine
Waxman, Marvin; Family Medicine
Weind Matthews, Kirsten Lisa; Diagnostic Radiology
Weiner-Baron, David   Lyon; Gastroenterology, Internal Medicine
Weinstein, Miriam Gayla; Dermatology, Pediatrics
Weisbrod, Gordon Lloyd; Diagnostic Radiology
Weisman, Alanna; Endocrinology and Metabolism, Internal Medicine
Weiss, Shelly   Karen; Neurology, Pediatrics
Weisz, Dany; Neonatal-Perinatal Medicine, Pediatrics
Weitzman, Sheila Shura; Pediatrics
Weizman, Adam Veres; Gastroenterology, Internal Medicine
Weksberg, Rosanna; Pediatrics
Wennberg, Richard Arnold; Neurology
Wesson, Virginia   Ann; Geriatric Psychiatry, Psychiatry
Westlake, Susan Jane; Family Medicine
Westlind, Paul Erik; Psychiatry
Whelan, Ciara   Margaret; Family Medicine
Wherrett, Diane   Katherine; Endocrinology and Metabolism, Pediatrics
White, Lawrence   Marshall; Diagnostic Radiology
Whittle, Wendy Lynne; Obstetrics and Gynecology
Whynot, Sarah Kathleen; Family Medicine, Family Medicine (Emergency Medicine)
Whyte, Hilary Elizabeth Anne; Pediatrics
