Abbas, Minan; Endocrinology and Metabolism, Internal Medicine
Roebotham, Roy   Winston; Family Medicine, Family Medicine (Emergency Medicine)
Rogers, John   Michael; Diagnostic Radiology
Rohekar, Gina; Internal Medicine, Rheumatology
Rohekar, Sherry; Internal Medicine, Rheumatology
Romsa, Gerhard Jonathan; Internal Medicine, Nuclear Medicine
Ross, Douglas Cameron; Plastic Surgery
Ross, Ian Greg; Diagnostic Radiology
Rotenberg, Brian   William; Otolaryngology - Head and Neck Surgery
Roth, Kathryn Elizabeth; Otolaryngology - Head and Neck Surgery
Roth, Michael James; Diagnostic Radiology
Rozanski, Camilla; Internal Medicine, Respirology
Rubab, Faria; Family Medicine
Rubaiyyat, Tania; Family Medicine
Salim, Hatem Sami; General Internal Medicine, Internal Medicine
Samargandy, Lina Ahmed G; Nuclear Medicine
Sanatani, Irina; Internal Medicine
Sanatani, Michael   Susmoy; Internal Medicine, Medical Oncology
Sanders, David William; Orthopedic Surgery
Sangle, Nikhil Arvind; Anatomical Pathology
Schacter, Gordon   Barry; Family Medicine
Schaefer, Rachel Irene; Family Medicine
Schappert, Andrew David; Emergency Medicine
Schemitsch, Emil   Harald; Orthopedic Surgery
Schlachta, Christopher   Mark; General Surgery
Schreier, Gil Joshua
Schulz, Valerie Marie Nocent; Anesthesiology
Scilley, Christopher George; Plastic Surgery
Scott, Leslie Alanna; General Surgery, Pediatric General Surgery
Sebbag, Ilana; Anesthesiology
Sedran, Robert James; Emergency Medicine
Sehmbi, Herman; Anesthesiology
Sener, Alp; Urology
Sequeira, Keith   Ashley; Physical Medicine and Rehabilitation
Sexton, Tracy   Lynne; Radiation Oncology
Sey, Michael Sai Lai; Gastroenterology, Internal Medicine
Shah, Amit   Pravin; Family Medicine, Family Medicine (Emergency Medicine)
Shalhoub, Sarah Mohamedsaeed Mahmoud; Infectious Diseases, Internal Medicine
Sham, Jane Weihon; Family Medicine
Sharma, Manas; Diagnostic Radiology
Shepherd, Lisa   Gwen; Emergency Medicine
Sheppard, Miranda Elizabeth; Family Medicine
Shkrum, Michael   James; Anatomical Pathology
Shmuilovich, Olga; Diagnostic Radiology
Shoemaker, Gerard Joseph; Cardiology, Internal Medicine
Shoesmith, Christen   Louise; Neurology
Siddiqi, Fawaz; Neurosurgery
Silverman, Michael Seth; Infectious Diseases, Internal Medicine
Simon, Gary   Sherwin; Anesthesiology
Singh, Sudha; Anesthesiology
Sischek, William   Joseph; Anesthesiology
Siu, Samuel   Chi Bun; Cardiology, Internal Medicine
Siu, Sidney   Kin-Hung; Occupational Medicine
Skanes, Allan Cameron; Cardiology, Internal Medicine
Skaro, Anton Ivan; General Surgery
Skoretz, Terry   Gerrard; Emergency Medicine
Skorzewska, Anna Krystina; Psychiatry
Smith, David   Howard; Anesthesiology
Smith, Pamela   Andrea Tryphena; Family Medicine
Smith, Stuart   John; Cardiology, Internal Medicine
Solh, Ziad; Pediatric Hematology/Oncology, Pediatrics
Sommerfreund, Rafi   David; Anesthesiology
Sowerby, Leigh J; Otolaryngology - Head and Neck Surgery
Spaic, Tamara; Endocrinology and Metabolism, Internal Medicine
Speer, Stacey Lynn; Diagnostic Radiology
Spence, Jeffrey   David; Family Medicine
Spence, John   David; Internal Medicine, Neurology
Spicer, Erin Irene; General Internal Medicine, Internal Medicine
Sposato, Luciano   Alberto; Neurology
Spouge, Alison   Rosemary Isobel; Diagnostic Radiology
Sridhar, Krishnakumar; Cardiology, Internal Medicine
St-Amand, Marc   Alain; Anesthesiology
Steven, David Andrew; Neurosurgery
Strong, Michael Joseph; Neurology
Strychowsky, Julie Elizabeth; Otolaryngology - Head and Neck Surgery
Sugimoto, Akira   Kyle; Obstetrics and Gynecology
Suh, Nina; Orthopedic Surgery
Suller Marti, Ana; Neurology
Sultan, Nabil   Mohamed; Internal Medicine, Nephrology
Sun, Dongmei; Internal Medicine
Suskin, Neville   Gordon; Cardiology, Internal Medicine
Swinamer, Stuart   Alan
Sy, John   Chua
Tabor, Thomas   Kyle; Family Medicine
Takahashi, Sachiko; Neurology
Tanaka, Peter   Michael; Family Medicine, Family Medicine (Emergency Medicine)
Tancio, Michael Bemille Philip Malixi; Family Medicine
Taneja, Ravi; Anesthesiology
Tang, Anthony   Sze-Leung; Cardiology, Internal Medicine
Tang, Ephraim Shin-Tian; General Surgery
Tawfic Hamodi, Qutaiba Amir; Anesthesiology
Tay, Keng Yeow; Diagnostic Radiology
Teefy, Patrick John; Cardiology, Internal Medicine
Teriaky, Anouar; Gastroenterology, Internal Medicine
Tetelbaum, Maria; Family Medicine
Thain, Andrew Peter; Cardiology, Internal Medicine
Theakston, Karl   Douglas
Thomas, Benson Samuel; Gastroenterology, Internal Medicine
Thompson, Caitlin Elizabeth; Family Medicine
Thompson, Charles   Andrew; Emergency Medicine
Thomson, Michael John; Psychiatry
Thornton, Jane Susannah; Family Medicine
Thurgood, Elaine Norene
Tingey, David Paul; Ophthalmology
Townsend, Cassandra Marie; Gastroenterology, Internal Medicine
Tu, Geming   Suber
Tuck, Alan Bradley; Anatomical Pathology
Tugaleva, Elena; Anatomical Pathology, Forensic Pathology
Turkstra, Timothy   Philip; Anesthesiology
Tzemos, Nikolaos; Cardiology
Usher, Ann Kathryn; Obstetrics and Gynecology
Valdis, Matthew; Cardiac Surgery
Valiquet, Stacey Kathleen; Family Medicine, Family Medicine (Emergency Medicine)
Van Doormaal, Curtis John; Family Medicine, Family Medicine (Emergency Medicine)
Van Koughnett, Julie Ann Marie; Colorectal Surgery, General Surgery
Van Uum, Stanislaus   Hendrikus Maria; Endocrinology and Metabolism, Internal Medicine
Vandenberg, Theodorus   Anthony; Internal Medicine, Medical Oncology
Vannelli, Antonio Michele; Anesthesiology
Vasarhelyi, Edward Moore; Orthopedic Surgery
Vasudev, Kamini; Psychiatry
Venance, Shannon Lee; Neurology
Vezina, William Colin; Diagnostic Radiology, Nuclear Medicine
Vilos, Angelos George Christos; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
Vilos, George  Angelos; Obstetrics and Gynecology
Vinden, Christopher Martyn; General Surgery
Vogt, Kelly; General Surgery
Vopicka, Avaleen   Ann; Family Medicine, Family Medicine (Emergency Medicine)
Ward, Michael Robert; Cardiology, Internal Medicine
Warrington, James Claude; Nuclear Medicine
Watling, Christopher John; Neurology
Watling, Mark   Andrew; Psychiatry
Watson, James   Thomas; Anesthesiology
Wehrli, Bret   Michael; Anatomical Pathology
Weingert, Michael Emanuel; Cardiology
Weir, Matthew   Alexander; Internal Medicine, Nephrology
Weir, Michele Monique; Anatomical Pathology
Weisz, Sarah Eva Marie; Internal Medicine
Welk, Blayne Kaili; Urology
Wells, Jennie   Louise; Geriatric Medicine, Internal Medicine
Wenske, Thomas   Roland
Wetmore, Stephen   James; Family Medicine
Wickett, Jamie   Anne Elizabeth; Family Medicine
Willits, Kevin Roy; Orthopedic Surgery
Wilson, Aze   Suzanne Aliu; Gastroenterology, Internal Medicine
Winquist, Eric   William; Internal Medicine, Medical Oncology
Wiseman, Daniele Patrice; Diagnostic Radiology
Wong, Eric   Kwok Wai; Family Medicine
Woolfrey, Karen   Grace Howell; Emergency Medicine
Wu, You; Obstetrics and Gynecology
Wyllie, Blair   Frederick; Internal Medicine, Nephrology
Xenocostas, Anargyros; Hematology, Internal Medicine
Yamashita, Cory Masaru; Internal Medicine, Respirology
Yan, Brian   Michael; Gastroenterology, Internal Medicine
Yan, Justin Way-Ben; Emergency Medicine
Yang, Homer   Yuen Hoo; Anesthesiology, Family Medicine
Yaremko, Brian Patrick; Radiation Oncology
Yazdani, Arjang; Plastic Surgery
Ybarra Martins de Oliveira, Luiz Fernando; Cardiology, Internal Medicine
Yoo, John Heung Joon; Otolaryngology - Head and Neck Surgery
Young, Gordon   Bryan; Neurology
Yu, Jeffrey Yao Chiun; General Internal Medicine, Internal Medicine
Yu, Yeyao; Neurology
Zafar, Saira; Internal Medicine
Zaleski, Witold   Michael; Diagnostic Radiology
Zeman-Pocrnich, Cady Erika; Anatomical Pathology
Zhang, Qi; Anatomical Pathology, Neuropathology
Zhao, Liena; Anatomical Pathology
Ziada, Zeinab Hamdy; Family Medicine
