Abadir, Wadid Wassef Khalil; Dermatology
Pirouzmand, Farhad; Neurosurgery
Pirzada, Kashif   Salman; Family Medicine, Family Medicine (Emergency Medicine)
Pittini, Richard John; Obstetrics and Gynecology
Po, Leslie Kin Wai; Obstetrics and Gynecology
Poldre, Peeter  Antonio; Hematology, Internal Medicine
Pon, Kucy; Dermatology
Poon, Ian Din Tsun; Radiation Oncology
Poon, Stephanie Chi-Wing; Cardiology, Internal Medicine
Porepa, Michelle Elisa; Pediatrics
Posel, Clifford   Howard; Psychiatry
Presvelos, John Constantin; Family Medicine
Pritchard, Kathleen   Isabel; Internal Medicine, Medical Oncology
Probyn, Linda   Jean; Diagnostic Radiology
Pugash, Robyn Anne; Diagnostic Radiology
Qamar, Sadia Raheez; Diagnostic Radiology
Qureshi, Roohi Yasmin; Occupational Medicine
Rabeneck, Linda; Gastroenterology, Internal Medicine
Rabinovitch, Deborah   Lynn; Physical Medicine and Rehabilitation
Rachlis, Anita   Rochelle; Infectious Diseases, Internal Medicine
Radhakrishnan, Shyam; Cardiology, Internal Medicine
Rado, George; Physical Medicine and Rehabilitation
Ragheb, Mariam; Family Medicine
Raghunath, Ashwati; Psychiatry
Rai, Amandeep Singh; Ophthalmology
Rajchgot, Jason Michael; Internal Medicine, Respirology
Rakovitch, Eileen; Radiation Oncology
Rambihar, Vivian Srinivas; Cardiology, Internal Medicine
Ramos, Renato Teodoro; Psychiatry
Raphael, Michael Jonathon; Internal Medicine, Medical Oncology
Rapoport, Mark   Jeffrey; Psychiatry
Raskin, William Raphael; Internal Medicine, Medical Oncology
Rasquinha, Russell Joseph; Neurology
Ravi, Bheeshma; Orthopedic Surgery
Ravi, Monidipa; Child and Adolescent Psychiatry, Psychiatry
Ravichandiran, Kajeandra; Orthopedic Surgery
Reardon, Carolyn MacLennan; Family Medicine
Redelmeier, Donald Andrew; Internal Medicine
Reginold, William Pathman; Diagnostic Radiology
Reiter, Sharon Regina; Psychiatry
Rezmovitz, Jeremy Joseph; Family Medicine
Reznek, Lawrence Raphael; Psychiatry
Richards, Robin Richard; Orthopedic Surgery
Richmond, Lara   Danielle; Diagnostic Radiology
Richter, Margaret   Anne; Psychiatry
Riddell, Robert Edward Gordon; Family Medicine
Riegert, Daniel   Gerald; Anesthesiology
Roberts, Amanda   Lily; General Surgery
Roberts, Lisa  Margaret; Anesthesiology
Robins, Jason; Diagnostic Radiology
Robinson, Geraldine   Gail Erlick; Psychiatry
Robinson, Lawrence   Russell
Rogers, Alan   David; Plastic Surgery
Roifman, Idan; Cardiology, Internal Medicine
Rolnitsky, Asaph; Pediatrics
Romano, Michael Joseph Vincent; Emergency Medicine
Ronzoni, Stefania Nicoletta; Obstetrics and Gynecology
Ross, Theodore Michael; General Surgery
Roth, Sherryn Naomi; Cardiology, Internal Medicine
Rubenfeld, Gordon   David
Rubin, Gary Martin
Rubino, Mary; Family Medicine
Sade, Shachar; Anatomical Pathology
Safa, Behnam; Anesthesiology
Safieddine, Najib   Nazem; General Surgery, Thoracic Surgery
Sahgal, Arjun; Radiation Oncology
Saibil, Fredric Gordon; Gastroenterology, Internal Medicine
Salarinejad, Reza; Family Medicine
Saleh, Philip; Neurology
Saliba, Chadi; Anesthesiology
Salz, Liad; Family Medicine
Sandhu, Sharron   Kaur; Rheumatology
Sarmah, Anita; Anesthesiology
Sarrazin, Josee; Diagnostic Radiology
Sathi, Nandini; Family Medicine
Sawadsky, Bruce   Vernon; Family Medicine, Family Medicine (Emergency Medicine)
Scalco, Andreia Zavaloni; Psychiatry
Scales, Damon Cole; Internal Medicine
Schaffer, Ayal; Psychiatry
Schatzker, Joseph; Orthopedic Surgery
Schull, Michael   John; Emergency Medicine
Schulze, Andreas; Pediatrics
Schwartz, Brian   Ian; Family Medicine, Family Medicine (Emergency Medicine)
Schwartz, Carol Ellen; Ophthalmology
Schwartz, Michael Louis; Neurosurgery
Seccareccia, Dori-Lynn   Marie; Family Medicine, Family Medicine (Emergency Medicine)
Seidenfeld, Allan Marshall; Hematology, Internal Medicine
Selby, Deborah   Mary; Internal Medicine
Selby, Rita; Hematology, Internal Medicine
Selchen, Steven Kyle; Psychiatry
Shadowitz, Steven Brian; Internal Medicine
Shah, Baiju Ramnik; Endocrinology and Metabolism, Internal Medicine
Shahrokhi Ebrahimipour, Shahriar; General Surgery
Shakur, Abdul Yaseer; Family Medicine
Shapiro, Lori   Elaine; Dermatology, Internal Medicine
Sharma, Pratibhasri Adipudi; Obstetrics and Gynecology
Sharma, Satyendra; Physical Medicine and Rehabilitation
Shaw, Patricia   Ann; Anatomical Pathology
Shear, Neil   Hartley; Dermatology, Internal Medicine
Shelton, Dominick   Michael; Family Medicine, Family Medicine (Emergency Medicine)
Shergold, David   John
Sherman, Christopher Grant; Anatomical Pathology
Sheth, Ujash; Orthopedic Surgery
Shier, Robert   Michael Page; Obstetrics and Gynecology
Shojania, Kaveh Gharib; Internal Medicine
Shukla, Yajur; Internal Medicine, Respirology
Shulman, Kenneth   Israel; Psychiatry
Shumak, Steven Lawrence; Internal Medicine
Shuman, Mira Rebecca; Family Medicine
Shurrab, Mohammed   Alsadeq Nagy Sadeq; Cardiology
Sidalak, Daniel Edwin; Family Medicine
Sidana, Neetika; Obstetrics and Gynecology
Sidiropoulos, Michael; Anatomical Pathology
Silva Restrepo, Marcos; Anesthesiology
Silveira, jose  Maria Alves Da; Psychiatry
Silver, Mara Jennifer; Psychiatry
Silver, Robert Donald; Endocrinology and Metabolism, Internal Medicine
Silverberg, Jay   David Howard; Endocrinology and Metabolism, Internal Medicine
Silverman, Mark   Joseph; Family Medicine
Simard, Robert Daniel; Emergency Medicine
Simmons, Brian   Stephen; Pediatrics
Simone, Carmine; Thoracic Surgery
Simor, Andrew Eugene; Infectious Diseases, Internal Medicine, Medical Microbiology
Simpson, Robert John; Physical Medicine and Rehabilitation
Sinclair, Lesley   Anne; Anesthesiology
Singer, Oskar; Anesthesiology
Singh, Navneet; Diagnostic Radiology
Singh, Sheldon   Michael Shastri; Cardiology, Internal Medicine
Singh, Simron; Internal Medicine, Medical Oncology
Singnurkar, Amit; Nuclear Medicine
Sinyor, Mark Jeremy; Psychiatry
Sirianni, Giovanna; Family Medicine
Sivjee, Khalil Yusuf; Internal Medicine, Respirology
Skarpathiotakis, Maria; Diagnostic Radiology
Skarratt, Kevin   Henry; Family Medicine, Family Medicine (Emergency Medicine)
Skidmore, Martin   Bruce; Pediatrics
Slaughter, Graham Reid David; Internal Medicine
Sliwin, Fay Rebecca; Family Medicine
Slodkowska, Elzbieta; Anatomical Pathology
Smith, Andrew James; General Surgery
Smith, Leah Jean; Family Medicine
Smith, Oakley   David; Otolaryngology - Head and Neck Surgery
Smith, Terry Sidney; Internal Medicine
Smoragiewicz, Martin; Internal Medicine, Medical Oncology
Snell, Laura   Jean; Plastic Surgery
Soliman, Hany; Radiation Oncology
Somogyi, Dan   Mitchell; Physical Medicine and Rehabilitation
Spaner, David   Elliot; Internal Medicine
Spencer Netto, Fernando Antonio Campelo; General Surgery
Spevick, Jeremy Samuel; Neurology
Spiegle, Gillian  Beth; General Internal Medicine, Internal Medicine
Spring, Jenna Leigh; Critical Care Medicine, Internal Medicine
Sreenivasan, Barathi Rajasri; Physical Medicine and Rehabilitation
Stefan, Raluca Alexandra; Emergency Medicine
Steinberg, Rosalie Joan; Psychiatry
Stephen, David   John Garth; Orthopedic Surgery
Stone, Angela   Marie; Critical Care Medicine, Emergency Medicine
Stotland, Peter   Kenneth; General Surgery
Stovel, Rebecca Gilman; General Internal Medicine, Internal Medicine
Strauss, Bradley   Howard; Cardiology, Internal Medicine
Stroud, Lynfa   Frances; Internal Medicine
Sud, Maneesh Kumar; Cardiology, Internal Medicine
Sugar, Linda Marilyn; Anatomical Pathology, Internal Medicine
Sundaram, Arun N E; Neurology
Surendra, Harinee; Family Medicine, Family Medicine (Emergency Medicine)
Swartz, Richard   Howard; Neurology
Sweet, Joan Marian; Anatomical Pathology
Swett Cosentino, Jossie Mercedes; General Surgery
Symons, Sean Peter; Diagnostic Radiology
Szmitko, Paul   Edward; Cardiology, Internal Medicine
Taam, Jason   Edgar Wai Doug; Anesthesiology
Taggar, Amandeep Singh; Radiation Oncology
Tan, Lih Yeen; Obstetrics and Gynecology
Tandon, Anu; Internal Medicine, Respirology
Tanna, Gemini Vandravan; Internal Medicine, Nephrology
Tanner, Keith   Lang; Anesthesiology
Tarola, Christopher Louis; Cardiac Surgery
Tarshis, Jordan   Craig; Anesthesiology
Tartaro, Piero; Gastroenterology, Internal Medicine
Temple, Michael John; Diagnostic Radiology
Tennen, Gayla Beth; Psychiatry
Teshima, John   Sakae; Psychiatry
Teshima, Tara Lynn; Plastic Surgery
Thomas, Garry   Robert; Cardiology, Internal Medicine
Tien, Homer Chin-Nan; General Surgery
Tile, Marvin; Orthopedic Surgery
Tillmann, Bourke William; Critical Care Medicine, Emergency Medicine
Tinmouth, Jill   Margaret; Gastroenterology, Internal Medicine
Tiong, Irving   Yong Howe; Cardiology, Internal Medicine
Tobe, Sheldon   William; Internal Medicine, Nephrology
Toma, Simina; Psychiatry
Tomes, Ladislav; Anatomical Pathology
Tomescu, Stefan Sebastian; Orthopedic Surgery
Torabi, Sarah Alison; Internal Medicine
Torgerson, Cory   Stephen; Otolaryngology - Head and Neck Surgery
Tran, Jennifer Mailinh; Dermatology
Tran, Susan; Endocrinology and Metabolism, Internal Medicine
Tremblay, Lorraine   Norah; General Surgery
Trudeau, Maureen   Elizabeth; Internal Medicine, Medical Oncology
Truong, Tra; Anatomical Pathology
Tsao, May   Na-Yuan; Radiation Oncology
Tseng, Chia-Lin; Radiation Oncology
Tsui, Hubert Brian Young; Hematological Pathology
Tushinski, Morris; Family Medicine
Tyberg, Jeffrey; Emergency Medicine
Tylee, Michael James; Anesthesiology, Critical Care Medicine
Ung, Yee Chung; Radiation Oncology
Vadasz, Gabriel Americo; Family Medicine
Vagi Asztalos, Elizabeth   Dorothy; Pediatrics
Vallee, Isabelle; Family Medicine
van der Vyver, Marthinus   Johannes; Anesthesiology
van Dyk, Jessie Grace; Pediatrics
Velsher, Lea   Shechter; Pediatrics
Verbeek, Pieter   Richard; Emergency Medicine
Vergie, Christopher Iain Elwyn; Family Medicine
Verma, Aikta; Emergency Medicine
Vesprini, Daniel   John; Radiation Oncology
Vicus, Danielle Lyn; Obstetrics and Gynecology
Vij, Saahil; Family Medicine
Vijayaraghavan, Ram; Cardiology, Internal Medicine
Vira, Tasnim; Cardiology, Internal Medicine
Vyas, Manav Viratbhai; Neurology
Wald, Ron; Internal Medicine, Nephrology
Wall, Jane   Marie; Diagnostic Radiology
Walsh, Rachel; Family Medicine
Walsh, Scott Richard Albert; Dermatology
Wan, Douglas; Cardiology
Wang, Karen Kar Wai; Child and Adolescent Psychiatry, Psychiatry
Wang, Yingyu; Cardiology, Internal Medicine
Warner, Ellen; Internal Medicine, Medical Oncology
Wasser, Edward Morrie Israel; Family Medicine
Wasserstein, David   Nathan; Orthopedic Surgery
Wasson, Kristy Leigh; Internal Medicine, Medical Oncology
Weinberg, Eitan; Pediatrics
Weinerman, Adina Sharon; Internal Medicine
Weinreb, Ilan; Anatomical Pathology
Weinstock, Moshe; Cardiology, Internal Medicine
Weisberg, Fay   Gladys; Obstetrics and Gynecology
Weisbrod, Daniel   Joshua; Ophthalmology
Weisbrod, Lawrence; Ophthalmology
Weisbrod, Maxwell Jacob; Family Medicine
Weisz, Dany; Neonatal-Perinatal Medicine, Pediatrics
Weksberg, Rosanna; Pediatrics
Wells, Richard   Alexander; Hematology, Internal Medicine
Werb, Marsha Ruth; Endocrinology and Metabolism, Internal Medicine
Westreich, Neal Mark; Psychiatry
Wheatcroft, Mark David; Vascular Surgery
Whyte, Hilary Elizabeth Anne; Pediatrics
Wideman, Anne; Family Medicine
Wiegelmann, Julian Rene; Anesthesiology
Wijeysundera, Harindra   Channa; Cardiology, Internal Medicine
Wildgoose, Petra June; Family Medicine
Williams, Evelyn   Margaret; Family Medicine
Winnicki, Monika; Dermatology
Wolfson, Robert Matthew; Nuclear Medicine
Wong, Brian   Man-Fai; Internal Medicine
Wong, Chong Shun; Radiation Oncology
Wong, Erin Thomas; Diagnostic Radiology
Wong, Harvey   Hoi-Wai; Internal Medicine, Respirology
Wong, Herbert   Man-Yin; Obstetrics and Gynecology
Wong, John   Wang-Ngai; Anatomical Pathology
Wong, Patrick   Yee Hong; Family Medicine
Woo, Elaine   Kin Jen; Ophthalmology
Worme, Mali Dawn; Cardiology, Internal Medicine
Wortzman, Rachel Laura; Family Medicine
Wright, Frances Catriona; General Surgery
Wunsch, Hannah; Critical Care Medicine
Wyman, Jennifer   Judith; Family Medicine, FCFP - Family Medicine
Yan, Charles Xiao Bo; Diagnostic Radiology
Yang, Pearl  Ming; Family Medicine
Yang, Xiao Dong; Neurosurgery
Yee, Albert Juang Ming; Orthopedic Surgery
Yee, Doreen  Anna; Anesthesiology
Yeung, Jensen; Dermatology
Yeung, Robert; Diagnostic Radiology
Ying, Irene; Family Medicine, Palliative Medicine
Yong, Elaine; Gastroenterology, Internal Medicine
Yoong, Kevin; Family Medicine
Young, Sherylan; Family Medicine
Yu, Amy Ying Xin; Neurology
Yu, Jing; Family Medicine
Yuen, Vivian   Ka-Man; Family Medicine
Zahirieh, Alireza; Internal Medicine, Nephrology
Zaltz, Arthur Peter; Obstetrics and Gynecology
Zavodni, Anna Elizabeth Helen; Diagnostic Radiology
Zeldin, Robert   Allan; General Surgery, Thoracic Surgery
Zeppieri, Jordan Alexander; Internal Medicine
Zhang, Edwin; Diagnostic Radiology
Zia, Mohammad   Imran; Cardiology, Internal Medicine
Zinman, Lorne   Howard; Neurology
Zipursky, Jonathan Samuel; Clinical Pharmacology and Toxicology, Internal Medicine
Zlotta, Alexandre   R; Urology
