Abadir, Anna Maria A; Psychiatry
Mandell, Daniel Michael; Diagnostic Radiology, Neuroradiology
Mansoor, Moh'd Wasim; Internal Medicine
Margolis, Myles; Diagnostic Radiology
Marinov, Anton; Anesthesiology
Marras, Laurie Constance; Neurology
Marras, Theodore; Internal Medicine, Respirology
Marseu, Katherine Lindsay; Anesthesiology
Martin del Campo, Jose   Cuauhtemoc; Internal Medicine, Neurology
Martinu, Tereza; Internal Medicine, Respirology
Mashari, Azad; Anesthesiology
Mason, Warren Phillip; Internal Medicine, Neurology
Masood, Sameer; Emergency Medicine
Mastoras, George Nicholas; Emergency Medicine
Matsuda Abedini, Mina; Pediatrics
May, Gary Robert; Gastroenterology, Internal Medicine
May, Taymaa; Obstetrics and Gynecology
Mazzulli, Tonino; Infectious Diseases, Internal Medicine, Medical Microbiology
McCart, Judith   Andrea; General Surgery
McCready, David   Ross; General Surgery
McCrindle, Brian   Wayne; Cardiology, Pediatrics
McDonald, Michael   Andrew; Cardiology, Internal Medicine
McDonald, Sarah Megan; Anesthesiology
McDonald-Blumer, Heather; Internal Medicine, Rheumatology
McEwan, Mary Margaret Patricia; Cardiology, Internal Medicine
McGeer, Allison Joan; Infectious Diseases, Internal Medicine
McGilvray, Ian Douglas; General Surgery
McGuire, Glenn   Patrick; Anesthesiology
McInnis, Micheal Chad; Diagnostic Radiology
McLaren, Jesse Thomas Tigar; Family Medicine, Family Medicine (Emergency Medicine)
McNama, Patricia   Marian; Anesthesiology
McRae, Karen Margaret; Anesthesiology
Mehta, Sangeeta; Internal Medicine, Respirology
Melnyk, Vladyslav; Anesthesiology
Melvin, Kenneth   Robert; Cardiology, Internal Medicine
Melvin, Lindsay Joanne; General Internal Medicine, Internal Medicine
Mendes Pereira, Vitor
Merchant, Asad   Ali; Internal Medicine, Nephrology
Mertens, Luc L; Pediatric Cardiology
Meshkat, Nazanin; Emergency Medicine
Mete, Ozgur; Anatomical Pathology, Laboratory Medicine
Metser, Ur; Diagnostic Radiology
Mezody, Melitta; Cardiology
Middleton, Claire; Anesthesiology
Middleton, William James; Anesthesiology
Mihajlovic, Vesna; Internal Medicine
Mikulis, David   John; Diagnostic Radiology
Millar, Adam Christopher; Endocrinology and Metabolism, Internal Medicine
Miller, Kimberley Lauren; Psychiatry
Miller-Monthrope, Yvette   Elouise; Anatomical Pathology, Dermatology
Minkovich, Leonid   Leizarovich; Anesthesiology
Miropolsky, Vladislav; Diagnostic Radiology
Miserachs Barba, Maria del Mar; Pediatrics
Mittal, Nimish; Physical Medicine and Rehabilitation
Mittoo, Shikha; Internal Medicine, Rheumatology
Moayedi, Yasbanoo; Cardiology, Internal Medicine
Mohan, Ravi Michael; Diagnostic Radiology, Nuclear Medicine
Mohankumar, Rakesh; Diagnostic Radiology
Molla Ghanbari, Hedieh; Family Medicine
Molleken, Lynda Louise; Psychiatry
Mong, Jonathan Choon-Haw; Internal Medicine
Monteiro, Eric Anthony; Otolaryngology - Head and Neck Surgery
Morel, Chantal   France Joelle; Medical Genetics and Genomics
Morgan, Matthew William; Internal Medicine
Moric, Jakov; Internal Medicine, Respirology
Morris, Andrew   Mark; Infectious Diseases, Internal Medicine
Moulton, Carol-Anne   Evelyn; General Surgery
Mucsi, Istvan; Internal Medicine, Nephrology, Nephrology
Mukhtar, Ayman Abdulaziz M; Hematology, Internal Medicine
Mulligan, Anna Marie; Anatomical Pathology
Munce, Nigel Robert; Diagnostic Radiology
Munhoz, Renato Puppi; Neurology
Munoz, David G; Neuropathology
Munshi, Laveena; Critical Care Medicine, Internal Medicine
Mura, Marco; Internal Medicine, Respirology
Murphy, Amanda Marie; Diagnostic Radiology
Murphy, Kellie Estelle; Obstetrics and Gynecology
Murphy, Kieran Patrick John; Diagnostic Radiology
Murphy, Patricia   Mary; Anesthesiology
Myron, Philip   Mark Benjamin; Cardiology, Internal Medicine
Naglie, Ian   Gary; Geriatric Medicine, Internal Medicine
Nair, Krishnakumar; Cardiology
Nandra, Kiritpaul Singh; Anesthesiology
Nantais, Jordan; General Surgery
Nanthakumar, Kumaraswamy; Cardiology, Internal Medicine
Naraghi, Ali Mohammad Faghihi; Diagnostic Radiology
Nesbitt, Gillian   Catherine; Cardiology, Internal Medicine
Ng, Carly  Joyce; Family Medicine
Ng, David; Family Medicine, Family Medicine (Emergency Medicine)
Ng, Karen Agatha; Geriatric Medicine, Internal Medicine
Ng, Troy Andrew; Plastic Surgery
Ng, William   Chuk Kit; Anesthesiology
Nguyen, Geoffrey   Christopher; Gastroenterology, Internal Medicine
Nguyen, Jasmine Thien Duyen; Family Medicine
Nimmo, Graeme Archibald McLeas; Medical Genetics and Genomics
Niroumand-Sarvestani, Mitra; Internal Medicine, Respirology
Niroumand-Sarvestani, Mitra; Internal Medicine, Respirology
Noad, Rebecca Louise; Cardiology
Norman, Richard; Geriatric Medicine, Internal Medicine
Nosrati, Mohammad
Nowacki, Anna Karolina; Emergency Medicine
Obaji, Hind Ibrahim Aziz Baythoun
O'Brien, Catherine   Adell; General Surgery
O'Brien, Jonathan Darcy; Psychiatry
O'Connor, Erin Maureen; Emergency Medicine
Oechslin, Erwin   Notker; Cardiology, Internal Medicine
Offman, Hilary Joy; Psychiatry
Okrainec, Allan Eric Peter Philip; General Surgery
Okrainec, Karen; Internal Medicine
Okun, Nanette   Bell; Obstetrics and Gynecology
O'Leary, Gerald   Martin; Anesthesiology
Olivieri, Nancy Fern; Hematology, Internal Medicine
O'Malley, Martin Enda; Diagnostic Radiology
Omar, Ahmed Hadi Ali; Rheumatology
O'Neill, Anne   Catherine; Plastic Surgery
Oreopoulos, George Dimitrios; General Surgery, Vascular Surgery
Orlov, David; Anesthesiology
Osten, Mark   David; Cardiology, Internal Medicine
Otremba, Mirek Miroslaw; General Internal Medicine, Internal Medicine
Ouzounian, Maral; Cardiac Surgery
Overgaard, Christopher Brian; Cardiology, Internal Medicine
Paek, Wusun; Obstetrics and Gynecology
Page, Andrea   Vaughn; Infectious Diseases, Internal Medicine
Pagnoux, Christian; Internal Medicine, Rheumatology
Pain, Clare Margaret; Psychiatry
Pakkal, Mini   Vithal; Diagnostic Radiology
Panisko, Daniel   Michael; Internal Medicine
Panov, Elan David; Internal Medicine
Papia, Giuseppe; General Surgery, Vascular Surgery
Papsin, Blake   Croll; Otolaryngology - Head and Neck Surgery
Parekh, Rulan Savita; Nephrology, Pediatrics
Parker, Colleen Helen; Gastroenterology, Internal Medicine
Parker, David   John; Cardiology, Internal Medicine
Parotto, Matteo; Anesthesiology
Parthab, Omkar; Family Medicine, Family Medicine (Emergency Medicine)
Pasternak, Jesse David; General Surgery
Patel, Keyur; Gastroenterology
Patel, Yashesh; General Internal Medicine, Internal Medicine
Patriquin, Christopher Jordan; Hematology, Internal Medicine
Patsios, Demetris Andrea; Diagnostic Radiology
Pei, Po-Chee; Internal Medicine, Nephrology
Pelc, Jordan Ryan; Family Medicine
Peltz, Sarah; Urology
Pendergrast, Jacob   McGimsey; Hematology, Internal Medicine
Peng, Philip Wenn-Hsin; Anesthesiology
Penner, Todd Patrick; General Surgery
Perez-Ordonez, Bayardo Jose; Anatomical Pathology
Perkins, Bruce   Joseph Louis Allan; Endocrinology and Metabolism, Internal Medicine
Perlas Fontana, Anahi; Anesthesiology
Perlis, Nathan; Urology
Peterson, Mark   David; Cardiac Surgery
Petroz, Guy   Christian; Anesthesiology
Pierre, Andrew   Frederick; General Surgery, Thoracic Surgery
Piggott, Katrina Lynn; Geriatric Medicine, Internal Medicine
Poutanen, Susan   Marie; Infectious Diseases, Internal Medicine, Medical Microbiology
Prabhu, Atul Joseph; Anesthesiology
Prevost, Jason   Dominic; Diagnostic Radiology
Proulx, Genevieve Christiane; Psychiatry
Puchalski Ritchie, Lisa   Marie; Emergency Medicine
Puetz, Joel Andrew; Family Medicine, Family Medicine (Emergency Medicine)
Quereshy, Fayez   Ahmad; General Surgery
Radomski, Sidney Ben; Urology
Rai, Amandeep Singh; Ophthalmology
Rajan, Dheeraj   Kumar; Diagnostic Radiology
Rakowski, Harry; Cardiology
Ralph-Edwards, Anthony   Charles; Cardiovascular and Thoracic Surgery, General Surgery
Rampersaud, Yoga Raja; Orthopedic Surgery
Randall, Ian Miles; Anesthesiology, Critical Care Medicine
Randazzo, Michael   Stephen; Internal Medicine
Rani Karur, Gauri; Diagnostic Radiology
Rao, Vivek; Cardiac Surgery
Rappaport, Daniel   Charles; Diagnostic Radiology
Rassos, James Christopher; General Internal Medicine, Internal Medicine
Ravindran, Nikila Comondore; Gastroenterology, Internal Medicine
Rawal, Sapna; Diagnostic Radiology
Rawal, Shail; Internal Medicine
Reece, Donna Ellen; Internal Medicine
Reedijk, Michael Jan; General Surgery
Reich, Heather   Naomi; Internal Medicine, Nephrology
Reichman, Trevor William; General Surgery
Reid, Aylin Yasmin; Neurology
Reis, Marciano Dias De Oliveira; Hematological Pathology
Reiss, Dina; Endocrinology and Metabolism, Internal Medicine
Retnakaran, Ravi   Rajan; Endocrinology and Metabolism, Internal Medicine
Reynolds, Katelyn Bret; Psychiatry
Riazi, Sheila; Anesthesiology
Richardson, Lisa   Ann; Internal Medicine
Ridout, Rowena; Endocrinology and Metabolism, Internal Medicine
Ringer, Thomas James; Family Medicine, Family Medicine (Emergency Medicine)
Robinson, Matthew; Internal Medicine
Roche, Susan Lucy; Cardiology
Roche-Nagle, Michael Graham; General Surgery, Vascular Surgery
Rodin, Gary   Michael; Psychiatry
Rodrigues, Maria   Susana Casmilla Francisca Braganca; Former Name: Rodrigues, Maria Susana Casmilla Francisca
Rofaiel, Rymon; Geriatric Medicine, Internal Medicine
Rogalla, Patrik
Romanovsky, Lindy; Geriatric Medicine
Roscoe, Janet Mary; Internal Medicine, Nephrology
Rosen, Cheryl Fern; Dermatology
Ross, Heather  Joan; Cardiology, Internal Medicine
Ross, John Robert; Cardiology, Internal Medicine
Rossos, Peter George; Gastroenterology, Internal Medicine
Rotstein, Coleman   Michael Frederick; Infectious Diseases, Internal Medicine
Rotstein, Lorne Elliot; General Surgery
Rottapel, Robert   Kenneth; Internal Medicine, Rheumatology
Rowat, Bruce Montgomery Thomas; Internal Medicine
Rozenberg, Dmitry; Internal Medicine, Respirology
Rubin, Barry   Broidy; General Surgery, Vascular Surgery
Rucker, Joshua   Charles Samuel; Anesthesiology
Ruff, Heather Michelle; Anatomical Pathology
Rumack, Eric   Robert; Family Medicine
Rush, Raphael; Internal Medicine, Rheumatology
Rutka, John   Alexander; Otolaryngology - Head and Neck Surgery
Ryan, Clodagh Mai; Internal Medicine
Ryan, Gregory   Charles Edmond Harold; Obstetrics and Gynecology
Sabbah, Osama Rajih S; Emergency Medicine
Sadeghian, Hamid; Neurology
Saeed Kamil, Zaid Kamal; Anatomical Pathology
Safavi, Nasrin; Internal Medicine
Sakhdari, Ali; Anatomical Pathology
Salehi Omran, Ahmad
Sales, Valerie; Infectious Diseases, Pediatrics
Salgueiro Fernandes Marantes Guimaraes, Luis   Armando; Diagnostic Radiology
Salit, Irving   Elliot; Infectious Diseases, Internal Medicine
Salonen, David   Charles; Diagnostic Radiology
Samji, Amirali Mohamed
Sanaee, Layli Solmaz; Emergency Medicine
Sanchez-Guerrero, Francisco Jorge; Internal Medicine, Rheumatology
sandor, paul Paul; Psychiatry
Sapisochin Cantis, Gonzalo; General Surgery
Sasson, Zion; Cardiology, Internal Medicine
Sathiyadevan, Niruja; Anesthesiology
Satok, David   Andrew; Family Medicine
Sawka, Annie Mary; Endocrinology and Metabolism, Internal Medicine
Sayed, Blayne Amir; General Surgery
Scalco, Monica  Zavaloni; Psychiatry
Scaranelo, Anabel Medeiros; Diagnostic Radiology
Schaafsma, Joanna Danielle; Neurology
Schiff, Jeffrey; Internal Medicine, Nephrology
Schmidt, Heidi   Christa; Diagnostic Radiology
Schneider, Kathleen   Claire; Psychiatry
Scholey, James William; Internal Medicine, Nephrology
Schuh, Andre Claudius; Hematology, Internal Medicine
Schulze, Andreas; Pediatrics
Schulz-Quach, Christian; Psychiatry
Schwartz, Kevin Lester; Infectious Diseases, Pediatrics
Schwartz, Leonard; Internal Medicine
Schwock, Joerg; Anatomical Pathology
Seaward, Percival Gareth Rudee; Obstetrics and Gynecology
Segal, Phillip   Harry Bacal; Endocrinology and Metabolism, Internal Medicine
Seidelin, Peter   Harald; Internal Medicine
Seidman, Michael   Aaron; Anatomical Pathology
Selby, Rita; Hematology, Internal Medicine
Selk, Amanda; Obstetrics and Gynecology
Sellers, Daniel; Anesthesiology
Selzner, Markus; General Surgery
Semple, John Laurie; Plastic Surgery
Sermer, Mathew; Obstetrics and Gynecology
Sethi, Rickinder; Psychiatry
Seyone, Chanth; Psychiatry
Shafiee Nyestanak, Mohammad Ali; Internal Medicine
Shah, Hemant   Ashok; Gastroenterology, Internal Medicine
Shah, Manish   Dev; Otolaryngology - Head and Neck Surgery
Shah, Rupal; General Internal Medicine, Internal Medicine
Shammas, Amer; Nuclear Medicine
Shandling, Maureen Ruth; Neurology
Shapera, Shane Michael; Internal Medicine, Respirology
Shapero, Gary   Alan; Family Medicine
Shapiro, Jodi   Lynn; Obstetrics and Gynecology
Shapiro, Marla; Community Medicine, Family Medicine
Shargall, Yaron; Thoracic Surgery
Sharkawy, Abdul   Quadir Ahmed; Infectious Diseases, Internal Medicine
Shaw, Patricia   Ann; Anatomical Pathology
Sheehan, Kathleen Ann; Psychiatry
Shlomovitz, Eran; Diagnostic Radiology, General Surgery
Showler, Adrienne Judith; Infectious Diseases, Internal Medicine
Shum, Serena; Anesthesiology
Sidhu, Amandeep; Internal Medicine, Respirology
Silver, Frank   Leonard; Neurology
Silver, Robert Donald; Endocrinology and Metabolism, Internal Medicine
Silverberg, Mark   Steven; Gastroenterology, Internal Medicine
Silverman, Jordan Daniel; Physical Medicine and Rehabilitation
Silverman, Melvin; Internal Medicine, Nephrology
Silversides, Candice   Kristeen; Cardiology, Internal Medicine
Siminovitch, Katherine   Anne; Internal Medicine, Rheumatology
Simons, Martin   Edward; Diagnostic Radiology
Singer, Lianne Gail; Internal Medicine, Respirology
Singh, Jeffrey   Mahan; Internal Medicine
Singh, Sunita Kaur Shah; Internal Medicine, Nephrology
Singh, Vishnu Shankar; Internal Medicine
Siu, Samuel   Chi Bun; Cardiology, Internal Medicine
Sivabalasundaram, Vithika; Endocrinology and Metabolism, Internal Medicine
Slinger, Peter Douglas; Anesthesiology
Sliwowicz, Kevin; Family Medicine, Family Medicine (Emergency Medicine)
Sloane, John Andrews; Psychiatry
Slomer, Adam; Emergency Medicine
Slomovic, Allan   Raymond; Ophthalmology
Slomovic, Brant Michael; Emergency Medicine
Smith, Roger   Macleod Laing
Smith, Stephen   Michael; Anatomical Pathology
Smith-Gorvie, Telisha   Je-Nelle; Emergency Medicine
Snyman, Adam   Johannes; Anesthesiology
So, Joyce; Medical Genetics and Genomics
Sobel, Mara Lindsay; Obstetrics and Gynecology
Sockalingam, Sanjeev; Psychiatry
Sole, Michael   Joseph; Cardiology
Solnik, Meir Jonathon; Obstetrics and Gynecology
Solomon, Melinda; Pediatrics, Respirology
Somers, Andrea   Denise; Family Medicine, Family Medicine (Emergency Medicine)
Soong, Christine   Chia-Chi; Family Medicine
Souto Alvarez, Juglans; Cardiac Surgery
Spears, Danna Adele; Cardiology, Internal Medicine
Spiegle, Gillian  Beth; General Internal Medicine, Internal Medicine
Srinivas, Coimbatore Vasudevamoorthy; Anesthesiology
St George-Hyslop, Peter   Henry; Internal Medicine, Neurology
Stall, Nathan Morton; Geriatric Medicine, Internal Medicine
Stanbrook, Matthew Joel Buchanan; Internal Medicine, Respirology
Stasiak, Philip; Emergency Medicine
Steel, Andrew   Christopher; Anesthesiology
Stefan, Raluca Alexandra; Emergency Medicine
Stefanski, Katherine   Elizabeth; Family Medicine, Family Medicine (Emergency Medicine)
Steiman, Amanda Joie; Internal Medicine, Rheumatology
Steiman, Asenath; Geriatric Medicine
Steinhart, Allan   Hillary; Gastroenterology, Internal Medicine
Sternberg, Leonard; Cardiology, Internal Medicine
Stewart, Donna Eileen; Psychiatry
Strafella, Antonio   Paolo; Neurology
Styra, Rima Genovaite; Psychiatry
Sukhu, Michelle Kavita; Psychiatry
Sullivan, Michael   E.; Anesthesiology
Sung, Yong   Kyung
Sussman, Gordon Lloyd; Clinical Immunology, Internal Medicine
Sutandar, Kalam; Psychiatry
Svihra, Martin William; Psychiatry
Swallow, Carol Jane; General Surgery
Swaminathan, Sunita; Family Medicine
Sweet, Joan Marian; Anatomical Pathology
Switakowski, Peter Karol; Family Medicine, Family Medicine (Emergency Medicine)
Syal, Suresh
Szabo, Michael Stephen; Family Medicine, Family Medicine (Emergency Medicine)
Szentgyorgyi, Eva   Maria; Anatomical Pathology
Taerk, Gary Stephen; Psychiatry
Taggart, Linda Rose; Infectious Diseases, Internal Medicine
Taher, Ahmed Khaled Kamal Eldin; Emergency Medicine
Tai, Peter Chung; Neurology
Tamir, Diana; Anesthesiology
Tamjeedi, Bahar; Diagnostic Radiology
Tan, Adrienne  Ong; Psychiatry
Tan, Chin Kien
Tan, Darrell   Hoi-San; Infectious Diseases, Internal Medicine
Tan, Kong   Teng; Diagnostic Radiology
Tardif, Gaetan; Physical Medicine and Rehabilitation
Targownik, Laura   Ellyn; Gastroenterology, Internal Medicine
Tarlo, Susan Mary; Internal Medicine, Respirology
Tawadrous, Davy; Emergency Medicine
Tenenbein, Paul Kevin; Anesthesiology
Ter Brugge, Karel Gerard; Diagnostic Radiology
Thavendiranathan, Paaladinesh; Cardiology, Internal Medicine
Thenganatt, John; Internal Medicine, Respirology
Thomas, Jacqueline Ann; Obstetrics and Gynecology
Thompson, Courtney Ann; Infectious Diseases, Internal Medicine
Thoo, Vanessa Li-Jien; Psychiatry
Thorne, Sara Angela; Cardiology
Tiedemann, Rodger Edwin; Medical Oncology
Tierens, Anna Maria Michaella; Laboratory Medicine
Tile, Lianne Ellen; Internal Medicine
Tinckam, Kathryn Joanne; Internal Medicine, Nephrology
To, Toan Bao; Cardiology, Internal Medicine
Toi, Ants; Diagnostic Radiology
Tong, Leung Chu Bonnie; Anatomical Pathology
Torres, Felipe Soares; Diagnostic Radiology
Tran, Susan; Endocrinology and Metabolism, Internal Medicine
Tremblay-Le May, Rosemarie; Anatomical Pathology
Tsang, Wendy Wing Chi; Cardiology, Internal Medicine
Tsao, Ming-Sound; Anatomical Pathology
Tse, Yvonne Yee Wun; Gastroenterology, Internal Medicine
Tumber, Perm Paul Singh; Anesthesiology
Turner, Tyrone   Silvio; Family Medicine, Psychiatry
Tylee, Michael James; Anesthesiology, Critical Care Medicine
Tzanetos, Katina; Internal Medicine
Udell, Jacob Allan; Cardiology, Internal Medicine
Urbach, David   Robert; General Surgery
Urback, Robert   Kevin; Family Medicine
Urowitz, Murray   Barry; Internal Medicine, Rheumatology
Uxa, Amar Krishna; Cardiology
Vaisman, Alon; Infectious Diseases, Internal Medicine
van der Kwast, Theodorus   Hendricus; Anatomical Pathology
Van Praet, Oliver   Marcel; Family Medicine
van Rensburg, Adriaan   Esias; Anesthesiology
Varadi, Robert Gabriel; Internal Medicine, Respirology
Vegas, Annette Lesley; Anesthesiology
Veillette, Christian   Jean Henri; Orthopedic Surgery
Veit-Haibach, Patrick; Diagnostic Radiology, Nuclear Medicine
Velykoredko, Yuliya; Dermatology
Venkat Raghavan, Lakshmikumar; Anesthesiology
Venugopal, Raghu; Emergency Medicine
Venus, Kevin   Allan; General Internal Medicine, Internal Medicine
Verbeeten, Karen Michelle; Diagnostic Radiology, Nuclear Medicine
Vescan, Allan   Dave; Otolaryngology - Head and Neck Surgery
Vijenthira, Abirami; Internal Medicine
Volling, Cheryl Ann; Infectious Diseases, Internal Medicine
Von Schroeder, Herbert   Peter; Orthopedic Surgery
Waddell, Thomas   Kenneth; General Surgery, Thoracic Surgery
Wai, Alan   Chi-Man; Psychiatry
Waisman, Zohar; Forensic Psychiatry, Geriatric Psychiatry, Psychiatry
Wald, Rachel Maya; Cardiology, Pediatrics
Wald, Robert   William; Cardiology
Walmsley, Sharon   Lynn; Infectious Diseases, Internal Medicine, Medical Microbiology
Walters, Lawrence   Todd; Family Medicine
Wang, Jean Chuen Yi; Hematology, Internal Medicine
Ward, Michael Robert; Cardiology, Internal Medicine
Ward, Richard; Hematology
Weaver, Donald   Fredric; Neurology
Weind Matthews, Kirsten Lisa; Diagnostic Radiology
Weinreb, Ilan; Anatomical Pathology
Weir, Heather Noelle; Psychiatry
Weisbrod, Gordon Lloyd; Diagnostic Radiology
Weisman, Alanna; Endocrinology and Metabolism, Internal Medicine
Weiss, Andrea Marion; Family Medicine, Palliative Medicine
Weiss, Edward Solomon; Family Medicine
Weissglas, Juma Justin Mark; Psychiatry
Weizman, Adam Veres; Gastroenterology, Internal Medicine
Weksberg, Rosanna; Pediatrics
Wennberg, Richard Arnold; Neurology
Wentlandt, Kirsten; Family Medicine, Palliative Medicine
Werb, Marsha Ruth; Endocrinology and Metabolism, Internal Medicine
Wheatcroft, Mark David; Vascular Surgery
White, Alexander Nicholas Joseph; Anesthesiology, Critical Care Medicine
White, Lawrence   Marshall; Diagnostic Radiology
Wijeysundera, Duminda   Nalaka; Anesthesiology
Wilcox, Mary Elizabeth; Critical Care Medicine, Internal Medicine
Willinsky, Jacqueline Leah; Emergency Medicine
Willinsky, Robert Alan; Diagnostic Radiology
Winston, Howard Andrew; Family Medicine
Wintersperger, Bernd Juergen; Diagnostic Radiology
Wither, Joan Elizabeth; Internal Medicine, Rheumatology
Witterick, Ian James; Otolaryngology - Head and Neck Surgery
Wolfman, Wendy   Lynn; Obstetrics and Gynecology
Wolman, Stephen   Laurie; Gastroenterology, Internal Medicine
Wolofsky, Kayla; Internal Medicine
Wong, David Kah Heng; Internal Medicine
Wong, Florence   Suet Hing; Gastroenterology, Internal Medicine
Wong, Rene; Endocrinology and Metabolism, Internal Medicine
Woo, Anna; Cardiology, Internal Medicine
Woodside, Donald Blake; Psychiatry
Wooster, Douglas   Lawrence; General Surgery, Vascular Surgery
Worme, Mali Dawn; Cardiology, Internal Medicine
Wright, Julie Frances Korol; Infectious Diseases, Internal Medicine
Wu, George Gettin; Internal Medicine, Nephrology
Wu, Peter E; Clinical Pharmacology and Toxicology, Internal Medicine
Wu, Robert Clark; Internal Medicine
Wytsma, Julia Laura; Family Medicine, Family Medicine (Emergency Medicine)
Xia, Yening; Hematological Pathology
Xie, Edward Chengchao; Family Medicine, Family Medicine (Emergency Medicine)
Yan, Jiong; Anatomical Pathology
Yanofsky, Richard Joseph; Psychiatry
Yaphe, Joel; Emergency Medicine
Yasufuku, Kazuhiro; Thoracic Surgery
Yau, Terrence Michael; Cardiac Surgery, General Surgery
Yeo, Erik Logan; Hematology, Internal Medicine
Yeung, Jonathan Chi-Wai; General Surgery, Thoracic Surgery
Yi, Soojin Leslie; Family Medicine, Family Medicine (Emergency Medicine)
Yoon, Grace; Medical Genetics and Genomics
Youngson, Bruce James; Anatomical Pathology
You-Ten, Fung   Voon Kong; Anesthesiology
Yu, Eric   Ho Cheung; Internal Medicine
Zaheen, Mian Ahmad; Internal Medicine
Zavodni, Anna Elizabeth Helen; Diagnostic Radiology
Zhang, Cathy; Family Medicine
Zhong, Toni; Plastic Surgery
Zinman, Bernard; Endocrinology and Metabolism, Internal Medicine
Zlotta, Alexandre   R; Urology
Zuker, Ronald Melvin; Plastic Surgery
Zurowski, Mateusz Jerzy; Psychiatry
