Abdin, Rawand   Mowaffaq; Internal Medicine, Internal Medicine
Murty, Naresh Kumar; Neurosurgery
Naeem, Omer; Neurology
Nair, Parameswaran Krishnan; Internal Medicine, Respirology, Respirology
Nair, Sabarinath   Balachandran; Diagnostic Radiology
Nair, Saeda Sabarinath; Anesthesiology
Nantes, Stephanie  Grace; Family Medicine
Nantha-Aree, Manyat; Anesthesiology
Narula, Neeraj; Gastroenterology, Internal Medicine
Nash, Edythe   Lynn Izumi; Family Medicine
Nash, Wesley Scott; Family Medicine
Nassef, Mohamed Abdelaziz Hussein; Anesthesiology
Natarajan, Madhu   Kailash; Cardiology, Internal Medicine
Nathoo, Sameer Bharat; Family Medicine
Nayar, Sumiti; Neurology
Neary, John David deReeder; Internal Medicine
Neighbour, Helen; Internal Medicine, Respirology
Nelli, Jennifer Maria; Anesthesiology
Nenshi, Rahima Nazir; General Surgery
Oczkowski, Simon John Walsh; Critical Care Medicine, Internal Medicine
Oczkowski, Wieslaw   Jan; Neurology
Odejayi, Gbolahan Olatokunbo Bamidele; Psychiatry
Ofosu, Kofi Edward Amlyn; Psychiatry
Ogilvie, Rick   Arthur; Orthopedic Surgery
O'Hare, Turlough   John; Anesthesiology
O'Leary, Susan Diane; Anesthesiology
O'Malley, Lauren Grace; Physical Medicine and Rehabilitation
O'Malley, Maureen Patricia; Dermatology
Onorato, Linda; Anesthesiology
O'Shea, Timothy   Michael; Infectious Diseases, Internal Medicine, Medical Microbiology
Otero Fuentes, Carmen   Gloria; Diagnostic Radiology
Owen, Julian James; Critical Care Medicine, Emergency Medicine
Pahuta, Markian   Andrew; Orthopedic Surgery
Pai, Menaka; Hematology, Internal Medicine
Panju, Akbarali   Abdulrasul; Internal Medicine
Panju, Mohamed; Internal Medicine
Papaioannou, Alexandra; Geriatric Medicine, Internal Medicine
Parascandalo, Richard   John; Anesthesiology
Pardhan, Alim; Emergency Medicine
Pare, Guillaume; Medical Biochemistry
Park, Joseph; Anesthesiology, Pain Medicine
Parlee, Katherine   Ellen; Anesthesiology
Parrish, Michael   Brian; Anesthesiology
Parthasarathi, Usha Devi; Psychiatry
Passos, Edward Martins; General Surgery
Patel, Bhavin Bhupendra; Family Medicine
Patel, Mohammed   Ameen; Internal Medicine
Patel, Tejal; Family Medicine
Patlas, Michael; Diagnostic Radiology
Patterson, Christopher   James; Geriatric Medicine, Internal Medicine
Paul, James   Edward; Anesthesiology
Peachey, Gregory   Owen; Anesthesiology
Peachey, Joshua David Owen; Anesthesiology
Pek, Barbora   Marie; Family Medicine, Family Medicine (Emergency Medicine)
Perera, Kanjana   Sasipriya; Neurology
Perri, Danny; Internal Medicine
Perumpillichira, Joseph Cherian; Neurology
Pervaiz, Farhan; Family Medicine, Family Medicine (Emergency Medicine)
Peterson, Devin Clarke; Orthopedic Surgery
Petrisor, Bradley   Allan; Orthopedic Surgery
Phan, Nghi; Family Medicine
Phillips, Callista   Maria; Internal Medicine, Medical Oncology
Phillips, Karen   Elizabeth; Former Name: Jones, Karen Elizabeth
Phillips, Katharine Ruth Bowland; Obstetrics and Gynecology
Piercey, Kevin   Roy; Urology
Piessens, Eva   Angele; Infectious Diseases
Pigeyre, Marie Eva; Endocrinology and Metabolism
Pine, William   Elmer; Anesthesiology
Pinilla Echeverri, Natalia; Cardiology
Piran, Sara; Internal Medicine
Plach, Nadia Ramona; Family Medicine
Popuri, Preeti; Family Medicine
Potter, Murray   Alexander; Medical Biochemistry
Pray, Michael John
Prebtani, Ally-Kareem Pyarali Habib; Endocrinology and Metabolism, Internal Medicine
Preyra, Ian   James Robert; Emergency Medicine
Price, Ira   Michael; Emergency Medicine
Profetto, Jason Raphael; Family Medicine
Profetto, Raffaele
Provias, John   Peter; Neuropathology
Puglia, Marco Amedeo; Gastroenterology, Internal Medicine
Pyne, Lonnie Stuart; Internal Medicine, Nephrology
Pytka, Pauline   Shirley; Psychiatry
Quinlan, David Oliver; Emergency Medicine
Rabbat, Christian George; Internal Medicine, Nephrology
Rabinovich, Alexander; Orthopedic Surgery
Raghavan, Natya   G; Internal Medicine, Respirology
Rajaratnam, Krishan; Orthopedic Surgery
Rapanos, Theodore; General Surgery, Vascular Surgery
Rashid, Mehar-Un-Nisa Sana; General Surgery
Rathbone, Michel   Piers; Neurology
Rauchwerger, David   Ronald; Family Medicine, Family Medicine (Emergency Medicine)
Raymer, Karen   Elise; Anesthesiology
Raza, Samir; Internal Medicine
Razzaque, Asad; Family Medicine
Reddy, Desigen; Anesthesiology
Reddy, Kesava KV; Neurosurgery
Regenstreif, Leonora   Julie; Family Medicine
Reid, Diane; Otolaryngology - Head and Neck Surgery
Reid, Susan   Elizabeth; General Surgery
Ribas, Carlos Sebastian; Cardiology, Internal Medicine
Ribeiro, Luciana Torres; Diagnostic Radiology
Ribic, Christine Maria; Internal Medicine, Nephrology
Ricci, Christopher   James; Anesthesiology
Rice, Timothy John; General Surgery
Rieber, Joanna Charl; Anesthesiology
Rigg, Kaitlynn; Clinical Pharmacology and Toxicology, Emergency Medicine
Risdon, Catherine   Louise; Family Medicine
Ritchie, Laura   Catherine; Family Medicine
Roberts, Jason   David; Cardiology, Internal Medicine
Robertson, Donald   David; Otolaryngology - Head and Neck Surgery
Rochwerg, Bram Noah; Critical Care Medicine, Internal Medicine
Rodriguez, Amadeo   Raul; Ophthalmology
Roebbelen, Erica Lee; Family Medicine
Rosati, Domenic; Anatomical Pathology
Rosenblood, Geoffrey   Steven; Anesthesiology
Ross, Catherine Ann; Anatomical Pathology
Rozenberg, Anna; Anesthesiology
Rudkowski, Jill Carole; Internal Medicine, Respirology
Russell, Sharon Ann Mary Denault
Rutledge, Gregory   John; Family Medicine, Family Medicine (Emergency Medicine)
Saeed, Haider   Ali; Family Medicine
Sagar, Stephen   Mark; Radiation Oncology
Sahlas, Demetrios Demos James; Neurology
Sahsi, Rupinder   Singh; Family Medicine
Salehi, Amir Hassan; Anatomical Pathology
Salehian, Omid; Cardiology, Internal Medicine
Salena, Bruno   John; Internal Medicine
Samoraj, Krystyna   Zofia; Emergency Medicine
Samuels, Peter   Michael; Family Medicine
Sanders, Kenneth Cameron; General Surgery
Sandhanwalia, Simerpreet Kaur; Emergency Medicine
Sandhu, Lakhbir; General Surgery, General Surgical Oncology
Saperson, Karen; Psychiatry
Savatteri, Michael; Family Medicine
Saveriano, Nellina; Dermatology
Sawchuk, Corey   William Todd; Anesthesiology
Schell, Miranda   Mae; Anatomical Pathology
Schiff, Karen   Chavah; Emergency Medicine
Schulman, Sam; Hematology, Internal Medicine
Schwalm, Jon-David Reid; Cardiology, Internal Medicine
Sciarra, Carmela; Obstetrics and Gynecology
Seary, Judith Anne; Geriatric Medicine, Internal Medicine
Sebaldt, Alexandre Bernard; Anesthesiology
Sehdev, Dashminder Singh; Family Medicine, Family Medicine (Emergency Medicine)
Seigel, Sandra   Anne; Pediatrics
Sellens, Catherine   Anne; Emergency Medicine
Selwyn, Brenda   Karen; Family Medicine
Semelhago, Lloyd   Cajetan; Cardiac Surgery, General Surgery
Sennik, Serena; Emergency Medicine
Sergeant, Myles   David; Family Medicine
Shah, Reema; Endocrinology and Metabolism, Internal Medicine
Shankardass, Kanwal
Shapiro, Michelle Jody; Neurology
Sharif, Sameer; Critical Care Medicine, Emergency Medicine
Sharma, Mukul; Neurology
Sharma, Sunjay Vishnu; Critical Care Medicine, Neurosurgery
Shayegan, Bobby; Urology
Sherbino, Jonathan   David; Emergency Medicine
Sherman, Maliha   Ali Hass; Family Medicine
Sheth, Tej   Narendra; Cardiology, Internal Medicine
Shipp-Dey, Liane Grace; Family Medicine
Shoamanesh, Ashkan; Neurology
Shortt, Rodger   Allan Dawson; Plastic Surgery
Shosha, Eslam Hamdy Mahmoud; Neurology
Shott, Craig   Andrew; Family Medicine
Shroff, Anjali; Infectious Diseases, Internal Medicine
Shum, Bonnie   Wai Yee; General Surgery
Sibbald, Matthew Gary; Cardiology, Internal Medicine
Sidhu, Amanjot; Geriatric Medicine, Internal Medicine
Sidhu, Kuldeep   Singh; Family Medicine, Family Medicine (Emergency Medicine)
Siemieniuk, Reed Alexander Cunningham; Internal Medicine
Simpson, Diane   Lorraine; Family Medicine, Family Medicine (Emergency Medicine)
Singh, Jagdeep; Family Medicine, Family Medicine (Emergency Medicine)
Singh, Sheila Kumari; Neurosurgery
Singhal, Nishma; Infectious Diseases, Internal Medicine
Sirko, Peter Michael; Anesthesiology
Skala, Richard Anthony; Anesthesiology
Skitch, Steven Allan; Critical Care Medicine, Emergency Medicine
Skrinskas, Alena   Maryte; Anesthesiology
Smaill, Fiona   Mary; Infectious Diseases, Medical Microbiology
Smith, Frank   Charles; Orthopedic Surgery
Smith, Patricia   Anne; Obstetrics and Gynecology
Smith, Ruth   Elaine; Physical Medicine and Rehabilitation
Smith, Ryan   Sinclair; Anesthesiology
Smulski, Stefanie Marie; Anesthesiology
Sne, Niv; General Surgery
Snelgrove, Natasha Marie; Psychiatry
Sollazzo, John   Nicholas; Family Medicine, Family Medicine (Emergency Medicine)
Solomon, Jesse   Adam; Internal Medicine, Internal Medicine
Sommer, Doron   Dov; Otolaryngology - Head and Neck Surgery
Soreni, Noam; Child and Adolescent Psychiatry, Psychiatry
Sovran, Steven Alessandro; Endocrinology and Metabolism, Internal Medicine
Spaziani, Robert; Gastroenterology, Internal Medicine
Spence, Jessica Diana; Anesthesiology, Critical Care Medicine
Spencer, Frederick   Alan; Cardiology, Internal Medicine
Spinner, Miriam Rachel; Psychiatry
Spratt, Elizabeth   Ermel
Srivaratharajah, Kajenny; Internal Medicine
St. Onge, Joye   Anne; Geriatric Medicine, Internal Medicine
Stacey, Michael   Conway; Vascular Surgery
Stallwood, George   Randle; Cardiology, Internal Medicine
Stanborough, Jack Robert; Family Medicine, Family Medicine (Emergency Medicine)
Starodub, James   Paul; Anesthesiology
Stefanczyk-Sapieha, Lilianna Malgorzata; Family Medicine
Stevenson, Colin George; Family Medicine
Steyn, Chris; Family Medicine, Orthopedic Surgery
Strumas, Nick; Plastic Surgery
Sussman, Jonathan; Family Medicine, Radiation Oncology
Sutherland, Jennifer Jean; Family Medicine
Syed, Jaffer   Ali; Cardiology, Internal Medicine
Syed, Nabeel Muhammad; Internal Medicine
Syed, Nida Shaheen; Diagnostic Radiology
Syed, Summer; Anesthesiology
Syed, Talha Mohammad; Cardiology, Internal Medicine
Syty-Golda, Maria   Barbara
Szalay, David Anthony; General Surgery, Vascular Surgery
Szarka, Istvan; Family Medicine
Szereszewski, Abraham; Family Medicine
Szereszewski, Jacob; Family Medicine
Szilvassy, Imre Zoltan
Sztramko, Richard William Kazimierz; Geriatric Medicine, Internal Medicine
Talman, Marianne   Ruth; Internal Medicine
Tan, Nigel Shih-Yen; Cardiology, Internal Medicine
Tandan, Ved   Raoul; General Surgery
Tandon, Vikas; Cardiology, Internal Medicine
Tang, Jennifer Clara; Emergency Medicine
Tang, Shangguo; Anatomical Pathology
Taniguchi, Alan; Family Medicine
Tataryn, Brian   Louis; Family Medicine, Family Medicine (Emergency Medicine)
Taves, Jonathan Eric; Emergency Medicine
Teo, Koon Kang; Cardiology
Teoh, Kevin   Hong To; Cardiovascular and Thoracic Surgery, General Surgery
Thoma, Achilleas; Plastic Surgery
Thomaz de Freitas, Maria Eliza; Neurology
Thompson, Pamela   Ann; Family Medicine
Thomson, Ashley Anne; Family Medicine
Tittley, Jacques; General Surgery, Vascular Surgery
To, Karen Chia-Ying; Internal Medicine, Nephrology
Tomlinson, Charles   William; Internal Medicine
Torres-Trejo, Alejandro; Neurology
Tougas, Manon; Internal Medicine
Treleaven, Darin James; Internal Medicine, Nephrology
Trinh, Kien Vinh; Family Medicine, FCFP - Family Medicine
Tsang, Michael Brennon; Cardiology, Internal Medicine
Tse, Frances   Wing Man; Gastroenterology, Internal Medicine
Tsoi, Keith   Sze King; Gastroenterology, Internal Medicine
Tuma, Mazin
Tunks, Eldon   Ronald; Psychiatry
Tunks, Marcel   Gabriel; Internal Medicine, Respirology
Turnbull, John Douglas; Internal Medicine, Neurology
Turner, Holtby   Marsh; Family Medicine
Turner, Suzanne Denise; Family Medicine
Turpie, Irene Drummond; Geriatric Medicine, Internal Medicine
Tushinski, Daniel Mark; Orthopedic Surgery
Tytus, Richard Henry; Family Medicine
Ulic, Diana Valentina; Critical Care Medicine, Internal Medicine
Utgikar, Rucha; Critical Care Medicine, Internal Medicine
Valani, Rahim   Amirali; Emergency Medicine, Family Medicine, Family Medicine (Emergency Medicine)
Valettas, Nicholas; Cardiology, Internal Medicine
van Adel, Brian Anthony; Neurology
Van Ameringen, Michael   Anton; Family Medicine, Psychiatry
van Diepen, Kelly Marie; Emergency Medicine, Family Medicine, Family Medicine (Emergency Medicine)
Van Lieshout, Ryan   John; Psychiatry
Van Spall, Harriette   Gillian Christine; Cardiology, Internal Medicine
VanHelder, Tomas; Anesthesiology
Velianou, James   Louis; Cardiology, Internal Medicine
Veltman, Albina; Psychiatry
Vignjevic, Peter   Michael; Dermatology
Visram, Farzin   Mohamed; Internal Medicine, Respirology
Vlahaki, Dean   Matthew; Emergency Medicine
Voineskos, Sophocles Haralabos; Plastic Surgery
Vona, Frank Gregory
Vora, Harshala   Parag; Family Medicine
Vora, Parag Kanaiyalal; Diagnostic Radiology
Vraets, Adrienne   Christine; Anesthesiology
Vukmirovic-Popovic, Snezana; Anatomical Pathology
Wald, Joshua; Internal Medicine, Respirology
Walker, Danielle Vandry; Diagnostic Radiology
Walker, Kathleen Jean; Family Medicine
Wall, Leah Kathleen; Family Medicine
Wallner, Clare   Francisco; Emergency Medicine
Walsh, Jennifer; General Pathology
Walsh, Michael William; Internal Medicine, Nephrology
Wang, Hao; Neurosurgery
Wang, Michael Ke; Internal Medicine
Wang, Xuyi Mimi; Geriatric Medicine, Internal Medicine
Warkentin, Theodore Earl; Hematology, Internal Medicine
Waserman, Jessica Elizabeth; Geriatric Psychiatry, Psychiatry
Webb, Irma Ashley Skrob; Family Medicine
Weitz, Jeffrey   Ian; Hematology
Welsford, Michelle; Emergency Medicine
Weresch, Justin Adam; Family Medicine
Wharton, Sean   Nicholas; Internal Medicine
Whippey, Amanda Joanne; Anesthesiology
Whitehead, Lori   Nadine; Internal Medicine, Respirology
Whittingham, Heather   Anne; Internal Medicine
Whitton, Anthony   Charles; Radiation Oncology
Whyte, Robert Alexander; Anesthesiology
Williams, Dale Scott; Orthopedic Surgery
Williams, James   Evan; Family Medicine
Williams, Phillip Arthur; Anatomical Pathology
Wilson, Roselyn Marie; Psychiatry
Winemaker, Mitchell   Jeffrey; Orthopedic Surgery
Winemaker, Samantha   Paige; Family Medicine
Wismer, David   Irwin Allen; Orthopedic Surgery
Wismer, Judy Erma Mclean; Dermatology
Witt-Sullivan, Helga   Brigitte; Internal Medicine
Wiwcharuk, Gillian Lynne; Family Medicine, Family Medicine (Emergency Medicine)
Wojtowicz, Jeremy Michael; Family Medicine
Wong, Jorge Alfredo; Cardiology, Internal Medicine
Wong, Steven Cheong Wai; General Internal Medicine, Internal Medicine
Woo, Tricia   Kar Wing; Geriatric Medicine, Internal Medicine
Wooder, Scott   Douglas
Woods, Anne; Family Medicine
Woodward, Kevin Scot; Infectious Diseases, Internal Medicine
Worster, Andrew   Simon; Family Medicine, Family Medicine (Emergency Medicine)
Wright, Laura Elizabeth; Family Medicine
Xenodemetropoulos, Theodore   Ted; Gastroenterology, Internal Medicine
Xenoyannis, Sophia; Family Medicine
Yaghoobi, Mohammad; Gastroenterology, Internal Medicine
Yakemchuk, Valerie Norah; Diagnostic Radiology, Nuclear Medicine
Yamamura, Deborah Lynn Reiko; Infectious Diseases, Internal Medicine, Medical Microbiology
Yang, Ilun; Colorectal Surgery, General Surgery
Yang, Robert   Chen-Hui; Internal Medicine, Nephrology
Yanivker, Susanna
Yanover, David Frederick; Family Medicine
Yarascavitch, Blake Arden; Neurosurgery
Yegappan, Muthiah   Chidambaram; Neurology
Yellin, Joel; Family Medicine
Yelovich, Mary-Clair; Internal Medicine, Rheumatology
Yemen, Brian   Leslie; Diagnostic Radiology
Yip, Gordon; Diagnostic Radiology
Yohanna, Seychelle; Internal Medicine, Nephrology
Yoo, David Kyungjae; Internal Medicine, Respirology
Young, James   Edward Massey; General Surgery
Youssef, Nayer Moheb Mounir; Anesthesiology
Yousuf, Haroon  Syed; General Internal Medicine, Internal Medicine
Yusuf, Salim; Cardiology
Zacharias, Samuel Ramesh Kumar; General Surgery
Zandi Riahi, Shervin; Internal Medicine
Zangeneh-Kazemi, Azadeh; Psychiatry
Zareba, Piotr; Urology
Zettel, Lenore   Annette; General Surgery
Zhang, Euan; Diagnostic Radiology
Zhang, Han; Otolaryngology - Head and Neck Surgery
Zhang, Li; Cardiac Surgery
Zhu, Mike; Anesthesiology
Zhu, Yifei; Family Medicine
Zizzo, Richard Allan; Family Medicine
Zizzo, Steven Vincent; Family Medicine
Zou, Linuo; Family Medicine
Zrinscak, Christine; Family Medicine
Zukotynski, Katherine   Anne; Diagnostic Radiology, Nuclear Medicine
