Abdel Malak, Nagy   Malak; Family Medicine
Linkins, Lori-Ann; Hematology, Internal Medicine
Links, Paul Skevington; Psychiatry
Lipman, Ellen   Louise; Psychiatry
Lloyd, Robert   Jeffrey; Pediatrics
Lodhi, Amina; Internal Medicine, Rheumatology
Loeb, Mark Bertram; Infectious Diseases, Internal Medicine, Medical Microbiology
Loewith, Rachel Hannah; Family Medicine
Lough, Rodney Darren; Psychiatry
Lovrics, Peter John; General Surgery
Lozinski, Ala   Zuzanna; Dermatology
Lubberdink, Ashley   Lauren; Emergency Medicine
Luketic, Lea; Obstetrics and Gynecology
Lumb, Barry   James; Gastroenterology, Internal Medicine
Luthra, Atul; Psychiatry
Luthra, Meera; Endocrinology and Metabolism, Internal Medicine
Lysecki, David Lawrence; Pediatric Hematology/Oncology, Pediatrics
Lytwyn, Alice; Anatomical Pathology
Macaluso, Salvatore Edward; Family Medicine
Macdougall, Paul   Joseph; Family Medicine, Family Medicine (Emergency Medicine)
Mackenzie, Jennifer   Jane; Medical Genetics and Genomics, Pediatrics
MacKenzie, Katelyn Jillian; Pediatrics
MacKinnon, Judith   Anne Wittman; Family Medicine
MacLean, Jonathan Alan; Otolaryngology - Head and Neck Surgery
MacLellan, Brenton John; Anesthesiology
MacNay, Ramsay Gordon; Pediatrics
Mahmood, Adeel
Mahn, Joanna; Family Medicine, Family Medicine (Emergency Medicine)
Mahoney, William Joseph; Pediatrics
Maida, Eugene C; Pain Medicine, Physical Medicine and Rehabilitation
Main, Cheryl   Lea; Infectious Diseases, Internal Medicine, Medical Microbiology
Malhotra, Rohin Tilak; Critical Care Medicine, Diagnostic Radiology, Internal Medicine
Mancini, Catherine Lucy; Psychiatry
Mangin, Derelie Ann; Family Medicine
Mann, Keith   Douglas; Ophthalmology
Marcaccio, Michael   Joseph; General Surgery
Marcucci, Maura; Internal Medicine
Margetts, Peter Joseph; Internal Medicine, Nephrology
Marjerrison, Stacey Leah; Pediatric Hematology/Oncology, Pediatrics
Marr, Sharon   Amy; Geriatric Medicine, Internal Medicine
Marrin, Michael   Lefebvre; Pediatrics
Marriott, Christopher   John Campbell; Nuclear Medicine
Marshall, Denise Irene; Family Medicine
Marshall, John   Kenneth; Gastroenterology, Internal Medicine
Marshall, Thomas David; Emergency Medicine
Martin, James Andrew; Ophthalmology
Martin, Katharine Jennifer Bishop; Family Medicine
Martin, Lawrence   Samuel; Psychiatry
Martin, Leslie Joyce; General Internal Medicine, Internal Medicine
Martin, Stuart; Plastic Surgery
Martini, Jennifer Anne; Family Medicine
Massarella, Carys; Emergency Medicine
Mathew, Anna   T; Internal Medicine, Nephrology
Mathoo, Julian   Marshall Ranji; Physical Medicine and Rehabilitation
Matsos, Mark Paul; Internal Medicine, Rheumatology
Mayer, Perry   Vincent
Mazurek, Emma Mae; Family Medicine
Mazurek, Michael Francis; Neurology
Mazzetti, Gavin Joseph; General Internal Medicine, Internal Medicine
McAssey, Karen   Lynn; Endocrinology and Metabolism, Pediatrics
McCarty, Tracey   Stephanie; Family Medicine
McChesney, James; Anesthesiology
McCullagh, David Joseph; Infectious Diseases, Internal Medicine
McCullagh, Scott Robert; Psychiatry
McCulloch, Amy Eleanor; Family Medicine, Family Medicine (Emergency Medicine)
McDonagh, Roderick   John; Obstetrics and Gynecology
McFarling, Matthew Ryan; Anesthesiology
McGill, Gregory Murray; Family Medicine
McInnes, Natalia; Endocrinology and Metabolism, Internal Medicine
McIvor, Robert Andrew; Internal Medicine, Respirology
McKenna, Brian James; Family Medicine
McLeod, Heather Christine; Geriatric Medicine, Internal Medicine
McMillan, Sharon   Kim; Family Medicine
McMullin, Joseph Paul; Internal Medicine
McNair, Susan Mary Ann; Psychiatry
McRae, Mark   H. J.; Plastic Surgery
McRae, Matthew Christian J; Plastic Surgery
Medina, Damien Richard; Critical Care Medicine, Internal Medicine
Menezes, Natasja   Maria; Psychiatry
Menon, Suresh; Neurology, Neurology
Mensour, Mark   Samuel; Family Medicine, Family Medicine (Emergency Medicine)
Mercante, Nadia   Frances; Family Medicine
Mertz, Dominik
Mesterman, Ronit Ester; Neurology, Pediatrics
Metrie, Mary Mamdouh Hanna; Neurology
Meyer, Ralph Melbourne; Hematology, Internal Medicine
Meyers, Brandon Matthew; Internal Medicine, Medical Oncology
Miklea, Jonel; Family Medicine
Mikrogianakis, Angelo; Pediatric Emergency Medicine, Pediatrics
Miller, John   Douglas; General Surgery, Thoracic Surgery
Miller, Matthew Chester; Internal Medicine, Nephrology
Miller, Paul   Quinlan; Emergency Medicine
Minuzzi, Luciano; Psychiatry
Mironov, Oleg; Diagnostic Radiology
Missiuna, Paul   Cesar; Orthopedic Surgery
Mithoowani, Siraj; Hematology, Internal Medicine
Moayyedi, Paul; Gastroenterology, Internal Medicine
Moisiuk, Peter Donald; Anesthesiology
Molnar, Amber   October; Internal Medicine, Nephrology
Mondoux, Shawn; Emergency Medicine
Monroy Rodriguez, Fanny Rocio; Pediatrics
Montgomery, Alison   Grace; Cardiology, Internal Medicine
Morais, Michelle Lynn; Maternal Fetal Medicine, Obstetrics and Gynecology
Moreno, Jacqueline Ann; Family Medicine
Morgan, David Geoffrey; Internal Medicine
Moriarity, Tracey   Ann Therese; Family Medicine
Moro, Jaydeep Krishnakant; Orthopedic Surgery
Morris, Catherine   Ruth; Family Medicine
Morrison, Katherine Mary; Endocrinology and Metabolism, Pediatrics
Muhn, Narry   Young; Diagnostic Radiology
Mulcaster, Julian Thomas; Anesthesiology
Mullen, Sarah Jane; Ophthalmology
Mullens, Jean   Louise; Family Medicine
Mungovan, Kal   Anne; Pediatrics
Murphy, Francis   Richard; Dermatology
Murphy, Patricia Marie; Psychiatry
Murty, Naresh Kumar; Neurosurgery
Naeem, Omer; Neurology
Nagari Nandieshwar, Satyadev; Forensic Psychiatry, Psychiatry
Nagji, Alim; Family Medicine, Family Medicine (Emergency Medicine)
Nagpal, Sabina; Psychiatry
Naidoo, Yedishtra; Forensic Psychiatry, Psychiatry
Nair, Parameswaran Krishnan; Internal Medicine, Respirology, Respirology
Naji, Leen Nemah; Family Medicine
Nantes, Stephanie  Grace; Family Medicine
Narula, Neeraj; Gastroenterology, Internal Medicine
Nash, Edythe   Lynn Izumi; Family Medicine
Nash, Wesley Scott; Family Medicine
Nassef, Mohamed Abdelaziz Hussein; Anesthesiology
Nathoo, Sameer Bharat; Family Medicine
Nayar, Sumiti; Neurology
Neary, John David deReeder; Internal Medicine
Neblett, Skylar Merissa; Family Medicine
Neighbour, Helen; Internal Medicine, Respirology
Nenshi, Rahima Nazir; General Surgery
Nesathurai, Shanker; Physical Medicine and Rehabilitation
Newkirk, Lynda Kathleen; Family Medicine
Ng, Kuan Huei; Internal Medicine, Neurology
Nguyen, Laura Nancy Thuy Uyen; Urology
Ning, Shuoyan; Hematology, Internal Medicine
Noad, Garth   Thomas
Noble, Klaudia   Barbara; Diagnostic Radiology
Nowaczyk, Malgorzata Joanna; Pediatrics
O'Byrne, Paul Myles; Internal Medicine, Respirology
Oczkowski, Simon John Walsh; Critical Care Medicine, Internal Medicine
Oczkowski, Wieslaw   Jan; Neurology
Odejayi, Gbolahan Olatokunbo Bamidele; Psychiatry
Oduwole, Kayode   Olajide; Orthopedic Surgery
Ofosu, Kofi Edward Amlyn; Psychiatry
Ogilvie, Rick   Arthur; Orthopedic Surgery
O'Hare, Turlough   John; Anesthesiology
Ohayon, Jason Abraham; Clinical Immunology and Allergy, Pediatrics
Ohson, Ravinder  Pal Singh; Family Medicine
Oliver, Douglas Mark; Family Medicine
Oliver, Joseph James; Pediatrics
O'Malley, Lauren Grace; Physical Medicine and Rehabilitation
O'Malley, Maureen Patricia; Dermatology
O'Neill, John Marmion David; Diagnostic Radiology
Onorato, Linda; Anesthesiology
Orovan, William   Lennox; Urology
Orovec, Natalie Marija; Pediatrics
O'Shea, Timothy   Michael; Infectious Diseases, Internal Medicine, Medical Microbiology
O'Toole, Danielle Marie; Family Medicine
O'Toole, Francis   Joseph; Pediatrics
Ow, Emily Jiahuey; Family Medicine
Owen, Julian James; Critical Care Medicine, Emergency Medicine
Packer, Richard   Todd; Family Medicine
Packer, Tamar; Family Medicine
Paes, Bosco Anthony; Pediatrics
Pahuta, Markian   Andrew; Orthopedic Surgery
Pai, Menaka; Hematology, Internal Medicine
Pai, Nikhil; Gastroenterology, Pediatrics
Panju, Akbarali   Abdulrasul; Internal Medicine
Panju, Mohamed; Internal Medicine
Papaioannou, Alexandra; Geriatric Medicine, Internal Medicine
Parascandalo, Richard   John; Anesthesiology
Pardhan, Alim; Emergency Medicine
Pare, Guillaume; Medical Biochemistry
Parker, Melissa   Joy; Critical Care Medicine, Pediatric Emergency Medicine, Pediatrics
Parlee, Katherine   Ellen; Anesthesiology
Parrish, Michael   Brian; Anesthesiology
Parthasarathi, Usha Devi; Psychiatry
Patel, Bhavin Bhupendra; Family Medicine
Patel, Mohammed   Ameen; Internal Medicine
Patel, Tejal; Family Medicine
Patelis-Siotis, Irene; Psychiatry
Patlas, Michael; Diagnostic Radiology
Patterson, Christopher   James; Geriatric Medicine, Internal Medicine
Patterson, Janet  Alice; Psychiatry
Patterson, Sarah Elizabeth Benger; Hematology, Internal Medicine
Paul, James   Edward; Anesthesiology
Peachey, Gregory   Owen; Anesthesiology
Peachey, Joshua David Owen; Anesthesiology
Pek, Barbora   Marie; Family Medicine, Family Medicine (Emergency Medicine)
Perera, Kanjana   Sasipriya; Neurology
Pernica, Jeffrey   Michael; Infectious Diseases, Pediatrics
Perri, Danny; Internal Medicine
Persadie, Richard Jerome; Obstetrics and Gynecology
Perumpillichira, Joseph Cherian; Neurology
Peterson, Devin Clarke; Orthopedic Surgery
Petrisor, Bradley   Allan; Orthopedic Surgery
Phan, Nghi; Family Medicine
Phillips, Callista   Maria; Internal Medicine, Medical Oncology
Phillips, Karen   Elizabeth; Former Name: Jones, Karen Elizabeth
Piercey, Kevin   Roy; Urology
Pinilla Echeverri, Natalia; Cardiology
Pinto, Victoria   Josephine Maria; Family Medicine
Popuri, Preeti; Family Medicine
Portwine, Carol   Ann; Hematology, Pediatrics
Potter, Murray   Alexander; Medical Biochemistry
Powles, Alexander   Charles Peter; Internal Medicine
Prangley, Catherine Anne; Family Medicine
Prat, Sebastien Stephane Gino; Psychiatry
Pray, Michael John
Prebtani, Ally-Kareem Pyarali Habib; Endocrinology and Metabolism, Internal Medicine
Predescu, Dragos; Pediatrics
Premi, Nora   Jane; Family Medicine
Preyra, Ian   James Robert; Emergency Medicine
Price, David   John; Family Medicine
Price, Ira   Michael; Emergency Medicine
Profetto, Jason Raphael; Family Medicine
Profetto, Raffaele
Profiti, Raffaela; Gastroenterology, Internal Medicine
Provias, John   Peter; Neuropathology
Puglia, Marco Amedeo; Gastroenterology, Internal Medicine
Pugsley, Stewart Oliver; Internal Medicine
Puthuparampil, Mimitha Tresa; Family Medicine
Pyne, Lonnie Stuart; Internal Medicine, Nephrology
Pytka, Pauline   Shirley; Psychiatry
Quinlan, David Oliver; Emergency Medicine
Quirt, Jaclyn Ann; Clinical Immunology and Allergy, Internal Medicine
Rabbat, Christian George; Internal Medicine, Nephrology
Rabinovich, Alexander; Orthopedic Surgery
Raghavan, Natya   G; Internal Medicine, Respirology
Rajaratnam, Krishan; Orthopedic Surgery
Ramachandran Nair, Rajesh; Neurology, Pediatrics
Ramanna, Raj; Obstetrics and Gynecology
Ramdyal, Amanda; Family Medicine
Ramsay, Jennifer Anne; Anatomical Pathology
Rapanos, Theodore; General Surgery, Vascular Surgery
Ratcliffe, Elyanne Marguerite; Gastroenterology, Pediatrics
Rathbone, Michel   Piers; Neurology
Ratnasingam, Ranjith Kumar; Family Medicine
Rauchwerger, David   Ronald; Family Medicine, Family Medicine (Emergency Medicine)
Raza, Samir; Internal Medicine
Reade, Clare Justine Marcotte; Gynecologic Oncology, Obstetrics and Gynecology
Rebello, Ryan   Paul; Diagnostic Radiology
Redwood-Campbell, Lynda   Jean; Family Medicine
Regenstreif, Leonora   Julie; Family Medicine
Reid, Diane; Otolaryngology - Head and Neck Surgery
Reitzel, Benjamin  Timothy; Family Medicine
Ribas, Carlos Sebastian; Cardiology, Internal Medicine
Ribic, Christine Maria; Internal Medicine, Nephrology
Rice, Leah Lorraine; General Surgery
Richards, Douglas   Lorne; Emergency Medicine
Richardson, Joseph   Donald; Psychiatry
Rieber, Joanna Charl; Anesthesiology
Rigg, Kaitlynn; Clinical Pharmacology and Toxicology, Emergency Medicine
Risdon, Catherine   Louise; Family Medicine
Ritsma, Amanda   Leigh; Psychiatry
Roberts, Jason   David; Cardiology, Internal Medicine
Robinson, David   Clifford George; Family Medicine
Rocci, Adriano; Family Medicine
Rodrigues, Allison Kathleen; Adolescent Medicine, Pediatrics
Rodriguez, Amadeo   Raul; Ophthalmology
Rosebush, Patricia   Irene; Psychiatry
Rosenblood, Geoffrey   Steven; Anesthesiology
Ross, Catherine Ann; Anatomical Pathology
Rotstein, Edward   Albert; Psychiatry
Rudkowski, Jill Carole; Internal Medicine, Respirology
Ruo, Leyo; General Surgery
Russell, John David; Internal Medicine, Nephrology
Rutherford, Patricia Anne; Psychiatry
Rutledge, Gregory   John; Family Medicine, Family Medicine (Emergency Medicine)
Saeed, Haider   Ali; Family Medicine
Saffie, Muntasir; Internal Medicine, Respirology
Sahlas, Demetrios Demos James; Neurology
Salehi, Amir Hassan; Anatomical Pathology
Salehian, Omid; Cardiology, Internal Medicine
Salena, Bruno   John; Internal Medicine
Samaan, Muder Constantine; Pediatrics
Samaan, Zainab Amer; Psychiatry
Sandhanwalia, Simerpreet Kaur; Emergency Medicine
Saperson, Karen; Psychiatry
Sassi, Roberto   Britto; Child and Adolescent Psychiatry, Psychiatry
Satia, Imran Fackeerbhai; Internal Medicine, Respirology
Saunders, Louis John; Orthopedic Surgery
Savatteri, Michael; Family Medicine
Saveriano, Nellina; Dermatology
Scallan, Ciaran Joseph; Internal Medicine, Respirology
Scattolon, Sarah Ann; Obstetrics and Gynecology
Schabort, Ingeborg; Family Medicine
Schell, Miranda   Mae; Anatomical Pathology
Schiff, Karen   Chavah; Emergency Medicine
Schneider, Maiko Abel; Psychiatry
Schuenemann, Holger   Jens; Internal Medicine
Schulman, Sam; Hematology, Internal Medicine
Schwalm, Jon-David Reid; Cardiology, Internal Medicine
Schweitzer, Michael   Joseph; Family Medicine, Family Medicine (Emergency Medicine), FCFP - Family Medicine
Sciarra, Carmela; Obstetrics and Gynecology
Scocchia, Tulio Gabriele; Internal Medicine, Rheumatology
Seary, Judith Anne; Geriatric Medicine, Internal Medicine
Sebaldt, Rolf Jochem; Internal Medicine, Rheumatology
Seigel, Sandra   Anne; Pediatrics
Sellens, Catherine   Anne; Emergency Medicine
Selwyn, Brenda   Karen; Family Medicine
Semelhago, Lloyd   Cajetan; Cardiac Surgery, General Surgery
Sennik, Serena; Emergency Medicine
Sergeant, Myles   David; Family Medicine
Serrano Aybar, Pablo   Emilio; General Surgery
Sewchand, Lionel Satyanand
Shah, Jay   Kishore; Pediatrics
Shah, Keya; Family Medicine
Shah, Reema; Endocrinology and Metabolism, Internal Medicine
Shankardass, Kanwal
Shanthanna, Harsha; Anesthesiology, Pain Medicine
Shargall, Yaron; Thoracic Surgery
Sharif, Sameer; Critical Care Medicine, Emergency Medicine
Sharma, Mukul; Neurology
Sharma, Sangita; Emergency Medicine
Sharma, Sapna; Maternal Fetal Medicine, Obstetrics and Gynecology
Sharma, Sunjay Vishnu; Critical Care Medicine, Neurosurgery
Shaw, Elizabeth   Ann; Family Medicine
Shayegan, Bobby; Urology
Shbash, Iman Ahmed Mohamed; Pediatrics
Shea, Alison Kathleen Audrey; Obstetrics and Gynecology
Sherbino, Jonathan   David; Emergency Medicine
Sherman, Maliha   Ali Hass; Family Medicine
Shipp-Dey, Liane Grace; Family Medicine
Shoamanesh, Ashkan; Neurology
Shortt, Rodger   Allan Dawson; Plastic Surgery
Shosha, Eslam Hamdy Mahmoud; Neurology
Sibley, Caroline   Ann; Obstetrics and Gynecology
Sidhu, Naveenpaul Kaur; Critical Care Medicine, Pediatrics
Siegal, Deborah Michelle; Hematology, Internal Medicine
Siekierski, Michal Maciej; Psychiatry
Simms, Taryn Margot; Internal Medicine, Respirology
Simpson, Diane   Lorraine; Family Medicine, Family Medicine (Emergency Medicine)
Singh, Sheila Kumari; Neurosurgery
Singhal, Nishma; Infectious Diseases, Internal Medicine
Siu, Henry Yu-Hin; Family Medicine
Skitch, Steven Allan; Critical Care Medicine, Emergency Medicine
Skrinskas, Alena   Maryte; Anesthesiology
Smaill, Fiona   Mary; Infectious Diseases, Medical Microbiology
Small, David Richard Johnson; Obstetrics and Gynecology
Smieja, Marek Jozef; Infectious Diseases, Internal Medicine, Medical Microbiology
Smith, Frank   Charles; Orthopedic Surgery
Smith, Ryan   Sinclair; Anesthesiology
Sne, Niv; General Surgery
Snelgrove, Natasha Marie; Psychiatry
So, Genhee; Diagnostic Radiology
Sogbesan, Enitan   Adedolapo; Ophthalmology
Sollazzo, John   Nicholas; Family Medicine, Family Medicine (Emergency Medicine)
Sommer, Doron   Dov; Otolaryngology - Head and Neck Surgery
Soreni, Noam; Child and Adolescent Psychiatry, Psychiatry
Soth, Mark Douglas; Internal Medicine, Respirology
Spaziani, Robert; Gastroenterology, Internal Medicine
Spence, Jessica Diana; Anesthesiology, Critical Care Medicine
Spencer, Frederick   Alan; Cardiology, Internal Medicine
Spinner, Miriam Rachel; Psychiatry
Srivaratharajah, Kajenny; Internal Medicine
St. Onge, Joye   Anne; Geriatric Medicine, Internal Medicine
Stacey, Michael   Conway; Vascular Surgery
Staibano, Filippo; Family Medicine
Stallwood, George   Randle; Cardiology, Internal Medicine
Steen, Rebecca Evans; Family Medicine
Stefanczyk-Sapieha, Lilianna Malgorzata; Family Medicine
Steinnagel, Brenda  Lee; Family Medicine, FCFP - Family Medicine
Stern, Joshua Benjamin; Family Medicine
Stevenson, Colin George; Family Medicine
Stewart, Thomas   Edward; Internal Medicine
Strumas, Nick; Plastic Surgery
Stubbs, Euan   Graeme Crowther; Diagnostic Radiology
Sur, Monalisa; Anatomical Pathology, Hematological Pathology
Sur, Ranjan   Kumar; Radiation Oncology
Sutherland, Jennifer Jean; Family Medicine
Sutton, Wesley Fredrick; Forensic Psychiatry, Psychiatry
Syed, Summer; Anesthesiology
Syrett, Andrew James; Anesthesiology
Syty-Golda, Maria   Barbara
Szalay, David Anthony; General Surgery, Vascular Surgery
Szarka, Istvan; Family Medicine
Szereszewski, Abraham; Family Medicine
Szereszewski, Jacob; Family Medicine
Szilvassy, Imre Zoltan
Sztramko, Richard William Kazimierz; Geriatric Medicine, Internal Medicine
Tafler, Kathleen Jennifer; Obstetrics and Gynecology
Tan, Victoria; Diagnostic Radiology
Tandan, Ved   Raoul; General Surgery
Tandon, Vikas; Cardiology, Internal Medicine
Tang, Jennifer Clara; Emergency Medicine
Tang, Shangguo; Anatomical Pathology
Tauqir, Syeda Naghmana; Anatomical Pathology
Taves, Jonathan Eric; Emergency Medicine
Teo, Koon Kang; Cardiology
Teoh, Kevin   Hong To; Cardiovascular and Thoracic Surgery, General Surgery
Thirumoorthi, Ilango Velan; Family Medicine
Thoma, Achilleas; Plastic Surgery
Thomaz de Freitas, Maria Eliza; Neurology
Thompson, Jennifer May; Emergency Medicine
Thompson, Pamela   Ann; Family Medicine
Thomson, Ashley Anne; Family Medicine
Tittley, Jacques; General Surgery, Vascular Surgery
To, Karen Chia-Ying; Internal Medicine, Nephrology
Tomlinson, Charles   William; Internal Medicine
Torres-Trejo, Alejandro; Neurology
Tozer, Richard   Gerard; Internal Medicine, Medical Oncology
Treleaven, Darin James; Internal Medicine, Nephrology
Trotter, Brendon Gordon; Emergency Medicine
Tse, Frances   Wing Man; Gastroenterology, Internal Medicine
Tsoi, Keith   Sze King; Gastroenterology, Internal Medicine
Tuma, Mazin
Tunks, Eldon   Ronald; Psychiatry
Tunks, Marcel   Gabriel; Internal Medicine, Respirology
Turcan, Rachel Christina; Psychiatry
Turnbull, John Douglas; Internal Medicine, Neurology
Turner, Jane Helen Gabrielle; Internal Medicine, Respirology
Turner, Suzanne Denise; Family Medicine
Tushinski, Daniel Mark; Orthopedic Surgery
Ulic, Diana Valentina; Critical Care Medicine, Internal Medicine
Upadhye, Suneel; Emergency Medicine
Utgikar, Rucha; Critical Care Medicine, Internal Medicine
Uthayalingam, Sarangan; Pediatrics
Vadera, Rajiv; Family Medicine, Family Medicine (Emergency Medicine)
Valente, Giuseppe Pasquale; Orthopedic Surgery
Van Ameringen, Michael   Anton; Family Medicine, Psychiatry
Van Lieshout, Ryan   John; Psychiatry
Van Meer, Anna Barbara; Pediatrics
Van Reekum, Robert; Psychiatry
VanDeCappelle, Caitlin Marie; Anesthesiology
Vandermeulen, John August; Endocrinology and Metabolism, Pediatrics
Vanderveen, Jessica Anne; Psychiatry
VanHelder, Tomas; Anesthesiology
Vasudev, Pooja; Anatomical Pathology
Velicaria, Kevin; Family Medicine
Veltman, Albina; Psychiatry
Verhovsek, Madeleine   Mary; Hematology, Internal Medicine
Vignjevic, Peter   Michael; Dermatology
Visram, Farzin   Mohamed; Internal Medicine, Respirology
Vlahaki, Dean   Matthew; Emergency Medicine
Voineskos, Sophocles Haralabos; Plastic Surgery
Vora, Harshala   Parag; Family Medicine
Voros, Gyula; Family Medicine
Voss, Maurice David; Diagnostic Radiology
Vraets, Adrienne   Christine; Anesthesiology
Vu, Christine-Marie My-Tran; Family Medicine
Vukmirovic-Popovic, Snezana; Anatomical Pathology
Wahi, Gita; Pediatrics
Wald, Joshua; Internal Medicine, Respirology
Walker, Kathleen Jean; Family Medicine
Walmsley, Laura Emily; Family Medicine
Walsh, Allyn   Elizabeth; Family Medicine
Walsh, Jennifer; General Pathology
Walsh, Michael William; Internal Medicine, Nephrology
Walton, Jonathan   Mark; General Surgery, Pediatric General Surgery
Wang, Michael Ke; Internal Medicine
Wang, Xuyi Mimi; Geriatric Medicine, Internal Medicine
Warkentin, Theodore Earl; Hematology, Internal Medicine
Warsi, Mohammed   Ali; Psychiatry
Waserman, Jessica Elizabeth; Geriatric Psychiatry, Psychiatry
Waserman, Susan; Clinical Immunology, Internal Medicine
Waters, Heather   Margaret; Family Medicine
Webb, Irma Ashley Skrob; Family Medicine
Webb, Stephen Paul; Psychiatry
Weitz, Jeffrey   Ian; Hematology
Weresch, Justin Adam; Family Medicine
Wesley, Steven   John; Psychiatry
West, Danielle  Kirstin; Family Medicine
West, Michael James; Family Medicine
Whippey, Amanda Joanne; Anesthesiology
Whitehead, Lori   Nadine; Internal Medicine, Respirology
Whittingham, Heather   Anne; Internal Medicine
Whitton, Anthony   Charles; Radiation Oncology
Wilkie, Heather Lynn; Family Medicine
Williams, Constance   Leah; Pediatrics
Williams, Dale Scott; Orthopedic Surgery
Williams, James   Evan; Family Medicine
Williams, Phillip Arthur; Anatomical Pathology
Williams, Ryan Anthony; Physical Medicine and Rehabilitation
Williamson, Kimberly   Ann; Family Medicine (Emergency Medicine)
Wilson, Roselyn Marie; Psychiatry
Winemaker, Mitchell   Jeffrey; Orthopedic Surgery
Winemaker, Samantha   Paige; Family Medicine
Wismer, David   Irwin Allen; Orthopedic Surgery
Wismer, Judy Erma Mclean; Dermatology
Witt-Sullivan, Helga   Brigitte; Internal Medicine
Wiwcharuk, Gillian Lynne; Family Medicine, Family Medicine (Emergency Medicine)
Wojtowicz, Jeremy Michael; Family Medicine
Wong, Anne Katling; Anesthesiology
Wong, Jason   Wai-Tai; Family Medicine
Wong, Jorge Alfredo; Cardiology, Internal Medicine
Wong, Kwong Wai Raimond; Radiation Oncology
Wong, Steven Cheong Wai; General Internal Medicine, Internal Medicine
Wong-Pack, William Ki-Fong; Diagnostic Radiology, Nuclear Medicine
Woo, Tricia   Kar Wing; Geriatric Medicine, Internal Medicine
Wooder, Scott   Douglas
Woods, Anne; Family Medicine
Woodward, Kevin Scot; Infectious Diseases, Internal Medicine
Woolfson, Jessica Pearl; Gastroenterology, Pediatrics
Worster, Andrew   Simon; Family Medicine, Family Medicine (Emergency Medicine)
Wright, Douglas; Cardiology, Internal Medicine
Wright, Laura Elizabeth; Family Medicine
Wu, Chin Yu
Xenodemetropoulos, Theodore   Ted; Gastroenterology, Internal Medicine
Xi, Mengchen; Family Medicine
Yaghoobi, Mohammad; Gastroenterology, Internal Medicine
Yakemchuk, Valerie Norah; Diagnostic Radiology, Nuclear Medicine
Yamamura, Deborah Lynn Reiko; Infectious Diseases, Internal Medicine, Medical Microbiology
Yang, Ilun; Colorectal Surgery, General Surgery
Yang, Robert   Chen-Hui; Internal Medicine, Nephrology
Yang, Ruobing; Internal Medicine, Respirology
Yanivker, Susanna
Yanover, David Frederick; Family Medicine
Yarascavitch, Blake Arden; Neurosurgery
Yasmeen, Naveeda; Family Medicine
Yates, Robert Wright; Pediatrics
Yegappan, Muthiah   Chidambaram; Neurology
Yellin, Joel; Family Medicine
Yelovich, Mary-Clair; Internal Medicine, Rheumatology
Yen, Jonathan Tsu Chun; Anesthesiology, Pain Medicine
Yin, Xin; Family Medicine
Yohanna, Seychelle; Internal Medicine, Nephrology
Yoo, David Kyungjae; Internal Medicine, Respirology
Young, James   Edward Massey; General Surgery
Youssef, Nayer Moheb Mounir; Anesthesiology
Yousuf, Haroon  Syed; General Internal Medicine, Internal Medicine
Zangeneh-Kazemi, Azadeh; Psychiatry
Zareba, Piotr; Urology
Zazulak, Joyce; Family Medicine
Zdravkovic, Tatjana; Physical Medicine and Rehabilitation
Zeller, Michelle Paula; Hematology, Internal Medicine
Zhang, Euan; Diagnostic Radiology
Zhang, Han; Otolaryngology - Head and Neck Surgery
Zhu, Mike; Anesthesiology
Zhu, Yifei; Family Medicine
Zizzo, Dean   Joseph; Family Medicine
Zizzo, Richard Allan; Family Medicine
Zizzo, Steven Vincent; Family Medicine
Zou, Linuo; Family Medicine
Zrinscak, Christine; Family Medicine
Zukotynski, Katherine   Anne; Diagnostic Radiology, Nuclear Medicine
