Adachi, Jonathan   Derrick Jun; Internal Medicine, Rheumatology
Patterson, Sarah Elizabeth Benger; Hematology, Internal Medicine
Paul, James   Edward; Anesthesiology
Peachey, Gregory   Owen; Anesthesiology
Pek, Barbora   Marie; Family Medicine, Family Medicine (Emergency Medicine)
Pepin, Marc Christopher; Diagnostic Radiology
Perera, Kanjana   Sasipriya; Neurology
Perumpillichira, Joseph Cherian; Neurology
Pervaiz, Farhan; Family Medicine, Family Medicine (Emergency Medicine)
Peterson, Devin Clarke; Orthopedic Surgery
Phan, Nghi; Family Medicine
Phillips, Callista   Maria; Internal Medicine, Medical Oncology
Phillips, Katharine Ruth Bowland; Obstetrics and Gynecology
Piercey, Kevin   Roy; Urology
Piessens, Eva   Angele; Infectious Diseases
Piran, Sara; Internal Medicine
Potter, Murray   Alexander; Medical Biochemistry
Prebtani, Ally-Kareem Pyarali Habib; Endocrinology and Metabolism, Internal Medicine
Price, Ira   Michael; Emergency Medicine
Profetto, Jason Raphael; Family Medicine
Profetto, Raffaele
Provias, John   Peter; Neuropathology
Puglia, Marco Amedeo; Gastroenterology, Internal Medicine
Puksa, Serhij; Internal Medicine, Respirology
Punthakee, Zubin   Dinshaw; Endocrinology and Metabolism, Internal Medicine
Pyne, Lonnie Stuart; Internal Medicine, Nephrology
Quan, Kimmen; Radiation Oncology
Quinlan, David Oliver; Emergency Medicine
Quinn, Kathleen Marie; Internal Medicine, Nephrology
Rabbat, Christian George; Internal Medicine, Nephrology
Rabinovich, Alexander; Orthopedic Surgery
Raghavan, Natya   G; Internal Medicine, Respirology
Rajaratnam, Krishan; Orthopedic Surgery
Ramonas, Milita; Diagnostic Radiology
Ramsay, Jennifer Anne; Anatomical Pathology
Rapanos, Theodore; General Surgery, Vascular Surgery
Rashid, Mehar-Un-Nisa Sana; General Surgery
Rathbone, Michel   Piers; Neurology
Rauchwerger, David   Ronald; Family Medicine, Family Medicine (Emergency Medicine)
Raymer, Karen   Elise; Anesthesiology
Raza, Samir; Internal Medicine
Razzaque, Asad; Family Medicine
Reade, Clare Justine Marcotte; Gynecologic Oncology, Obstetrics and Gynecology
Reddy, Desigen; Anesthesiology
Reid, Diane; Otolaryngology - Head and Neck Surgery
Reid, Susan   Elizabeth; General Surgery
Reiter, Harold; Radiation Oncology
Rhee, Chanseok; Orthopedic Surgery
Ribic, Christine Maria; Internal Medicine, Nephrology
Ricci, Christopher   James; Anesthesiology
Richards, Douglas   Lorne; Emergency Medicine
Rieber, Joanna Charl; Anesthesiology
Rigg, Kaitlynn; Clinical Pharmacology and Toxicology, Emergency Medicine
Risdon, Catherine   Louise; Family Medicine
Robinson, Nicholas Alexander; Internal Medicine
Rochwerg, Bram Noah; Critical Care Medicine, Internal Medicine
Roebbelen, Erica Lee; Family Medicine
Rosenblood, Geoffrey   Steven; Anesthesiology
Ross, Catherine Ann; Anatomical Pathology
Rudkowski, Jill Carole; Internal Medicine, Respirology
Russell, Sharon Ann Mary Denault
Rutledge, Gregory   John; Family Medicine, Family Medicine (Emergency Medicine)
Sadler, John   Thomson Scott; Orthopedic Surgery
Saffie, Muntasir; Internal Medicine, Respirology
Sagar, Stephen   Mark; Radiation Oncology
Sahlas, Demetrios Demos James; Neurology
Sahsi, Rupinder   Singh; Family Medicine
Salehi, Amir Hassan; Anatomical Pathology
Salehi, Fateme; Diagnostic Radiology
Salehian, Omid; Cardiology, Internal Medicine
Salena, Bruno   John; Internal Medicine
Samuels, Peter   Michael; Family Medicine
Sandhanwalia, Simerpreet Kaur; Emergency Medicine
Saperson, Karen; Psychiatry
Satkunasingham, Janakan; Diagnostic Radiology
Saveriano, Nellina; Dermatology
Sawchuk, Corey   William Todd; Anesthesiology
Scallan, Ciaran Joseph; Internal Medicine, Respirology
Schabort, Ingeborg; Family Medicine
Schell, Miranda   Mae; Anatomical Pathology
Schiff, Karen   Chavah; Emergency Medicine
Schnarr, Kara Lynne; Radiation Oncology
Schwalm, Jon-David Reid; Cardiology, Internal Medicine
Sciarra, Carmela; Obstetrics and Gynecology
Seary, Judith Anne; Geriatric Medicine, Internal Medicine
Sehdev, Dashminder Singh; Family Medicine, Family Medicine (Emergency Medicine)
Seigel, Sandra   Anne; Pediatrics
Sellens, Catherine   Anne; Emergency Medicine
Selwyn, Brenda   Karen; Family Medicine
Sennik, Serena; Emergency Medicine
Senthil, Prashanth; Internal Medicine
Sergeant, Myles   David; Family Medicine
Seth, Puneet; Family Medicine
Sewchand, Lionel Satyanand
Shah, Keya; Family Medicine
Shankardass, Kanwal
Shapiro, Michelle Jody; Neurology
Sharif, Sameer; Critical Care Medicine, Emergency Medicine
Sharma, Mukul; Neurology
Shaw, Erynn Elizabeth; Family Medicine
Shayegan, Bobby; Urology
Sherbino, Jonathan   David; Emergency Medicine
Sherman, Maliha   Ali Hass; Family Medicine
Shipp-Dey, Liane Grace; Family Medicine
Shosha, Eslam Hamdy Mahmoud; Neurology
Shott, Craig   Andrew; Family Medicine
Shum, Bonnie   Wai Yee; General Surgery
Sibley, Caroline   Ann; Obstetrics and Gynecology
Sidhu, Amanjot; Geriatric Medicine, Internal Medicine
Sidhu, Kuldeep   Singh; Family Medicine, Family Medicine (Emergency Medicine)
Simms, Taryn Margot; Internal Medicine, Respirology
Simpson, Diane   Lorraine; Family Medicine, Family Medicine (Emergency Medicine)
Simunovic, Marko   Roderick; General Surgery
Singhal, Nishma; Infectious Diseases, Internal Medicine
Sirko, Peter Michael; Anesthesiology
Skala, Richard Anthony; Anesthesiology
Skitch, Steven Allan; Critical Care Medicine, Emergency Medicine
Skrinskas, Alena   Maryte; Anesthesiology
Slaven, Marissa; Internal Medicine
Smaill, Fiona   Mary; Infectious Diseases, Medical Microbiology
Smith, Frank   Charles; Orthopedic Surgery
Smith, Patricia   Anne; Obstetrics and Gynecology
Smith, Patricia   Elizabeth; Family Medicine
Smith, Ruth   Elaine; Physical Medicine and Rehabilitation
Smith, Ryan   Sinclair; Anesthesiology
Smulski, Stefanie Marie; Anesthesiology
Sne, Niv; General Surgery
Snelgrove, Natasha Marie; Psychiatry
Sollazzo, John   Nicholas; Family Medicine, Family Medicine (Emergency Medicine)
Solomon, Jesse   Adam; Internal Medicine, Internal Medicine
Spaziani, Robert; Gastroenterology, Internal Medicine
Spence, Jessica Diana; Anesthesiology, Critical Care Medicine
Spencer, Frederick   Alan; Cardiology, Internal Medicine
Spinner, Miriam Rachel; Psychiatry
Squissato, Victoria Lynn; Family Medicine
Srivaratharajah, Kajenny; Internal Medicine
St. Onge, Joye   Anne; Geriatric Medicine, Internal Medicine
Stacey, Michael   Conway; Vascular Surgery
Stallwood, George   Randle; Cardiology, Internal Medicine
Starodub, James   Paul; Anesthesiology
Steen, Rebecca Evans; Family Medicine
Stefanczyk-Sapieha, Lilianna Malgorzata; Family Medicine
Stevenson, Colin George; Family Medicine
Stewart, Lori   Katherine; Diagnostic Radiology
Strang, Barbara Kathleen; Radiation Oncology
Strumas, Nick; Plastic Surgery
Sur, Monalisa; Anatomical Pathology, Hematological Pathology
Sur, Ranjan   Kumar; Radiation Oncology
Sussman, Jonathan; Family Medicine, Radiation Oncology
Sutherland, Jennifer Jean; Family Medicine
Swaminath, Anand; Radiation Oncology
Sweet, Nicholas Allen; Obstetrics and Gynecology
Syed, Summer; Anesthesiology
Syed, Talha Mohammad; Cardiology, Internal Medicine
Szarka, Istvan; Family Medicine
Szereszewski, Abraham; Family Medicine
Szereszewski, Jacob; Family Medicine
Szilvassy, Imre Zoltan
Sztramko, Richard William Kazimierz; Geriatric Medicine, Internal Medicine
Talman, Marianne   Ruth; Internal Medicine
Tandan, Ved   Raoul; General Surgery
Tandon, Vikas; Cardiology, Internal Medicine
Tang, Jennifer Clara; Emergency Medicine
Tang, Shangguo; Anatomical Pathology
Tangri, Sabrena Kumari; Internal Medicine
Taniguchi, Alan; Family Medicine
Tataryn, Brian   Louis; Family Medicine, Family Medicine (Emergency Medicine)
Tauqir, Syeda Naghmana; Anatomical Pathology
Taves, Jonathan Eric; Emergency Medicine
Teoh, Kevin   Hong To; Cardiovascular and Thoracic Surgery, General Surgery
Thoma, Achilleas; Plastic Surgery
Thomaz de Freitas, Maria Eliza; Neurology
Thompson, Pamela   Ann; Family Medicine
Thomson, Andrea   Lynn; Diagnostic Radiology
Thomson, Ashley Anne; Family Medicine
Tittley, Jacques; General Surgery, Vascular Surgery
To, Karen Chia-Ying; Internal Medicine, Nephrology
Tomlinson, Charles   William; Internal Medicine
Torres-Trejo, Alejandro; Neurology
Tougas, Manon; Internal Medicine
Tozer, Richard   Gerard; Internal Medicine, Medical Oncology
Trinh, Kien Vinh; Family Medicine, FCFP - Family Medicine
Trus, Michola Rommane; Hematology, Internal Medicine
Tsai, Scott Su-Waye; Diagnostic Radiology
Tsakiridis, Theodoros; Radiation Oncology
Tse, Frances   Wing Man; Gastroenterology, Internal Medicine
Tsoi, Keith   Sze King; Gastroenterology, Internal Medicine
Tunks, Marcel   Gabriel; Internal Medicine, Respirology
Turnbull, John Douglas; Internal Medicine, Neurology
Turner, Jane Helen Gabrielle; Internal Medicine, Respirology
Tushinski, Daniel Mark; Orthopedic Surgery
Utgikar, Rucha; Critical Care Medicine, Internal Medicine
Valani, Rahim   Amirali; Emergency Medicine, Family Medicine, Family Medicine (Emergency Medicine)
Valettas, Nicholas; Cardiology, Internal Medicine
Van Ameringen, Michael   Anton; Family Medicine, Psychiatry
van der Pol, Christian Balthasar; Diagnostic Radiology
van Diepen, Kelly Marie; Emergency Medicine, Family Medicine, Family Medicine (Emergency Medicine)
Van Lieshout, Ryan   John; Psychiatry
Van Spall, Harriette   Gillian Christine; Cardiology, Internal Medicine
VanHelder, Tomas; Anesthesiology
Veltman, Albina; Psychiatry
Vignjevic, Peter   Michael; Dermatology
Visram, Farzin   Mohamed; Internal Medicine, Respirology
Vlahaki, Dean   Matthew; Emergency Medicine
Vlahovic, Kristopher Ilija; Internal Medicine
Vona, Frank Gregory
Vora, Harshala   Parag; Family Medicine
Vora, Parag Kanaiyalal; Diagnostic Radiology
Voros, Gyula; Family Medicine
Voruganti, Sachi   Mahita; Radiation Oncology
Vraets, Adrienne   Christine; Anesthesiology
Vukmirovic-Popovic, Snezana; Anatomical Pathology
Walker, Irwin   Ronald; Hematology, Internal Medicine
Walker, Kathleen Jean; Family Medicine
Walker, Michelle Louise; Diagnostic Radiology
Wall, Leah Kathleen; Family Medicine
Wallner, Clare   Francisco; Emergency Medicine
Walsh, Allyn   Elizabeth; Family Medicine
Walsh, Jennifer; General Pathology
Walsh, Michael William; Internal Medicine, Nephrology
Wang, Michael Ke; Internal Medicine
Wang, Xuyi Mimi; Geriatric Medicine, Internal Medicine
Warkentin, Theodore Earl; Hematology, Internal Medicine
Waserman, Jessica Elizabeth; Geriatric Psychiatry, Psychiatry
Wasi, Parveen; Hematology, Internal Medicine
Wat, Shiu Yan Josephine; Diagnostic Radiology
Webb, Irma Ashley Skrob; Family Medicine
Weitz, Jeffrey   Ian; Hematology
Welsford, Michelle; Emergency Medicine
Wharton, Sean   Nicholas; Internal Medicine
Whelan, Timothy   Joseph; Internal Medicine, Radiation Oncology
Whippey, Amanda Joanne; Anesthesiology
Whitehead, Lori   Nadine; Internal Medicine, Respirology
Whittingham, Heather   Anne; Internal Medicine
Whitton, Anthony   Charles; Radiation Oncology
Whyte, Robert Alexander; Anesthesiology
Williams, Dale Scott; Orthopedic Surgery
Williams, James   Evan; Family Medicine
Williams, Phillip Arthur; Anatomical Pathology
Williams, Ryan Anthony; Physical Medicine and Rehabilitation
Wilson, David Alexander James; Orthopedic Surgery
Wilson, Roselyn Marie; Psychiatry
Winemaker, Mitchell   Jeffrey; Orthopedic Surgery
Winemaker, Samantha   Paige; Family Medicine
Wismer, David   Irwin Allen; Orthopedic Surgery
Witt-Sullivan, Helga   Brigitte; Internal Medicine
Wojtowicz, Jeremy Michael; Family Medicine
Wong, Jason   Wai-Tai; Family Medicine
Wong, Jorge Alfredo; Cardiology, Internal Medicine
Wong, Kwong Wai Raimond; Radiation Oncology
Wong, Steven Cheong Wai; General Internal Medicine, Internal Medicine
Woo, Tricia   Kar Wing; Geriatric Medicine, Internal Medicine
Wood, Thomas; Orthopedic Surgery
Woods, Anne; Family Medicine
Woodward, Kevin Scot; Infectious Diseases, Internal Medicine
Worster, Andrew   Simon; Family Medicine, Family Medicine (Emergency Medicine)
Wright, Douglas; Cardiology, Internal Medicine
Wright, James Robert; Radiation Oncology
Wright, Laura Elizabeth; Family Medicine
Wyne, Ahraaz; General Internal Medicine, Internal Medicine
Xenodemetropoulos, Theodore   Ted; Gastroenterology, Internal Medicine
Yaghoobi, Mohammad; Gastroenterology, Internal Medicine
Yakemchuk, Valerie Norah; Diagnostic Radiology, Nuclear Medicine
Yang, Ilun; Colorectal Surgery, General Surgery
Yang, Robert   Chen-Hui; Internal Medicine, Nephrology
Yanivker, Susanna
Yanover, David Frederick; Family Medicine
Yarascavitch, Blake Arden; Neurosurgery
Yegappan, Muthiah   Chidambaram; Neurology
Yellin, Joel; Family Medicine
Yelovich, Mary-Clair; Internal Medicine, Rheumatology
Yemen, Brian   Leslie; Diagnostic Radiology
Yen, Jonathan Tsu Chun; Anesthesiology, Pain Medicine
Yip, Gordon; Diagnostic Radiology
Yohanna, Seychelle; Internal Medicine, Nephrology
Yoo, David Kyungjae; Internal Medicine, Respirology
Young, James   Edward Massey; General Surgery
Youssef, Nayer Moheb Mounir; Anesthesiology
Yousuf, Haroon  Syed; General Internal Medicine, Internal Medicine
Zandi Riahi, Shervin; Internal Medicine
Zangeneh-Kazemi, Azadeh; Psychiatry
Zareba, Piotr; Urology
Zbuk, Kevin   Michael; Internal Medicine, Medical Oncology
Zdravkovic, Tatjana; Physical Medicine and Rehabilitation
Zeller, Michelle Paula; Hematology, Internal Medicine
Zettel, Lenore   Annette; General Surgery
Zhang, Euan; Diagnostic Radiology
Zhang, Han; Otolaryngology - Head and Neck Surgery
Zhu, Mike; Anesthesiology
Zizzo, Richard Allan; Family Medicine
Zizzo, Steven Vincent; Family Medicine
Zrinscak, Christine; Family Medicine
Zukotynski, Katherine   Anne; Diagnostic Radiology, Nuclear Medicine
