Abdelrazek, Mohamed Assem Mohamed Mahmoud; Diagnostic Radiology
Palma, David   Anthony; Radiation Oncology
Panuganty, Veera Durga Sravanthi; Internal Medicine, Medical Oncology
Paradis, Josee   Anne; Otolaryngology - Head and Neck Surgery
Parent, Maria   Margaret; Family Medicine
Parfitt, Jeremy   Roderick; Anatomical Pathology
Park, Andrew Jong-Won; Family Medicine, Family Medicine (Emergency Medicine)
Park, Hae-Ryun; Geriatric Psychiatry, Psychiatry
Parnes, Lorne   Stephen; Otolaryngology - Head and Neck Surgery
Parrent, Andrew Gerard; Neurosurgery
Parry, Neil   Geordie; General Surgery
Parsyan, Armen; General Surgery
Pasternak, Stephen   Howard; Neurology
Patel, Nisarg Ashokbhai; Family Medicine, Family Medicine (Emergency Medicine)
Paul, Terri   Louise; Endocrinology and Metabolism, Internal Medicine
Pautler, Stephen Edward; Urology
Pavlosky, William   Frank; Diagnostic Radiology, Nuclear Medicine
Pawelec - Brzychczy, Anna; Family Medicine
Payne, Michael Kenneth; Medical Microbiology
Payne, Sonja Marie; Anesthesiology
Peckan, Catherine   Margaret; Family Medicine
Peddle, Michael   Bernard; Emergency Medicine
Peel, Alexandrea Christine; Geriatric Medicine, Internal Medicine
Pelz, David   Michael; Diagnostic Radiology
Pelz, Margaret Ann; Psychiatry
Penava, Deborah   Anne; Obstetrics and Gynecology
Perera, Francisco   Elmer; Radiation Oncology
Perrier, Nicole Marie; Family Medicine
Peters, Leanne Marie; Family Medicine
Petrella, Robert   John; Family Medicine
Phua, Chai Wye; Hematology, Internal Medicine
Pickering, John   Geoffrey; Cardiology, Internal Medicine
Pietrzak, Adriana Beata; Family Medicine
Pillon, Sylvia Marta; Family Medicine, Family Medicine (Emergency Medicine)
Ponich, Terry Peter; Gastroenterology, Internal Medicine
Poolacherla, Vasavi   Raju; Psychiatry
Pope, Janet   Elizabeth; Internal Medicine, Rheumatology
Potvin, Kylea   Raijann; Internal Medicine, Medical Oncology
Powe, Laura Catherine Inglis; Psychiatry
Power, Adam Howard; General Surgery, Vascular Surgery
Power, Nicholas Edgar; Urology
Prasad, Chitra; Pediatrics
Prefontaine, Michel E.; Obstetrics and Gynecology
Price, Jeffrey Scott; Family Medicine
Pringle, Derrick John; Emergency Medicine
Proulx, Alain Arthur; Ophthalmology
Puentes Beltran, Wilfredo; Anesthesiology
Pylypiak, Andrew   Stephen; Family Medicine
Qiabi, Mehdi; General Surgery, Thoracic Surgery
Qu, Xuan Lu Melody; Radiation Oncology
Quan, Douglas; General Surgery
Quinn, Jason James; Forensic Psychiatry, Psychiatry
Rachinsky, Irina Vladimirovna; Nuclear Medicine
Rachinsky, Maxim; Anesthesiology
Racz, Heather Nicole; Internal Medicine, Respirology
Rahal, Mansur Youssef; Family Medicine
Rahman, Adam   Nafizur; Gastroenterology, Internal Medicine
Railton, Craig James; Anesthesiology
Rajarathinam, Manikandan; Anesthesiology
Rammal, Almotasembillah Abdulaziz M; Gastroenterology, Internal Medicine
Ramsay, David Alastair; Neuropathology
Ranger, Adrianna   Mary; Neurosurgery
Rao, Jayasimha Murti; Psychiatry
Raphael, Jacques Antoun; Medical Oncology
Rasoulinejad, Parham; Orthopedic Surgery
Razvi, Hassan; Urology
Read, Nancy   Elizabeth; Radiation Oncology
Reardon, Rachel Ann Miller; Physical Medicine and Rehabilitation
Rebel, Margaretha; Obstetrics and Gynecology
Regan, Kelly   Ann; Family Medicine, Family Medicine (Emergency Medicine)
Reichert, Sonja   Maria; Family Medicine
Reid, Robert   Henderson; Nuclear Medicine
Reisman, William Jed; Internal Medicine, Respirology
Reiss, Jeffrey Perry; Psychiatry
Renwick, Robert Benson; Psychiatry
Richard, Julie Carla; Psychiatry
Richards, Robert   Stanley; Plastic Surgery
Richardson, Christine   Ann; Family Medicine, Family Medicine (Emergency Medicine)
Rieder, Michael   John; Pediatrics
Rigby, Megan Cheryl; Family Medicine
Riggan, Morgan Anne Alexina; Emergency Medicine
Rind, Ambreen; Family Medicine
Ritchie, Hendrica Leslie; Psychiatry
Roberts, Jason   David; Cardiology, Internal Medicine
Robinson, Helen   Marie; Family Medicine
Rodrigues, George Boris; Radiation Oncology
Roebotham, Roy   Winston; Family Medicine, Family Medicine (Emergency Medicine)
Rohekar, Gina; Internal Medicine, Rheumatology
Rohekar, Sherry; Internal Medicine, Rheumatology
Romsa, Gerhard Jonathan; Internal Medicine, Nuclear Medicine
Ross, Douglas Cameron; Plastic Surgery
Ross, Ian Greg; Diagnostic Radiology
Ross, James William Mackenzie; Psychiatry
Rotenberg, Brian   William; Otolaryngology - Head and Neck Surgery
Roth, Kathryn Elizabeth; Otolaryngology - Head and Neck Surgery
Roth, Michael James; Diagnostic Radiology
Roukema, Henry   William; Pediatrics
Rozanski, Camilla; Internal Medicine, Respirology
Rubab, Faria; Family Medicine
Sabesan, Priyadharshini; Psychiatry
Safdar, Hira; Psychiatry
Saini, Lalit   Kumar; Hematology, Internal Medicine
Salim, Hatem Sami; General Internal Medicine, Internal Medicine
Samargandy, Lina Ahmed G; Nuclear Medicine
Sanatani, Irina; Internal Medicine
Sanatani, Michael   Susmoy; Internal Medicine, Medical Oncology
Sanders, David William; Orthopedic Surgery
Sangle, Nikhil Arvind; Anatomical Pathology
Sathya, Jinka   Rudrappa; Radiation Oncology
Schaefer, Rachel Irene; Family Medicine
Schappert, Andrew David; Emergency Medicine
Schlachta, Christopher   Mark; General Surgery
Schlosser, Alexandra   Yvette; Family Medicine
Schmidt, Jordan   Preben; Obstetrics and Gynecology
Schreier, Gil Joshua
Schulz, Valerie Marie Nocent; Anesthesiology
Scott, Leslie Alanna; General Surgery, Pediatric General Surgery
Sebbag, Ilana; Anesthesiology
Sedran, Robert James; Emergency Medicine
Seelisch, Jennifer Lynn; Pediatric Hematology/Oncology, Pediatrics
Sehmbi, Herman; Anesthesiology
Sener, Alp; Urology
Sexton, Tracy   Lynne; Radiation Oncology
Sey, Michael Sai Lai; Gastroenterology, Internal Medicine
Shah, Amit   Pravin; Family Medicine, Family Medicine (Emergency Medicine)
Shah, Chintan; Psychiatry
Shalhoub, Sarah Mohamedsaeed Mahmoud; Infectious Diseases, Internal Medicine
Sham, Jane Weihon; Family Medicine
Shamon, Sandy Danyal; Family Medicine
Sharan, Sapna; Ophthalmology
Sharma, Ajay Parkash; Pediatrics
Sharma, Manas; Diagnostic Radiology
Sharma, Verinder; Psychiatry
Shepherd, Lisa   Gwen; Emergency Medicine
Sheppard, Miranda Elizabeth; Family Medicine
Shkrum, Michael   James; Anatomical Pathology
Shmuilovich, Olga; Diagnostic Radiology
Shoemaker, Gerard Joseph; Cardiology, Internal Medicine
Shoesmith, Christen   Louise; Neurology
Shu, Krishanthy; Family Medicine
Siddiqi, Fawaz; Neurosurgery
Silverman, Michael Seth; Infectious Diseases, Internal Medicine
Simon, Gary   Sherwin; Anesthesiology
Simpson, Andrew   MacKenzie; Plastic Surgery
Singh, Anita Devi; Family Medicine
Singh, Ram Nivas; Pediatrics
Singh, Sudha; Anesthesiology
Sischek, William   Joseph; Anesthesiology
Siu, Samuel   Chi Bun; Cardiology, Internal Medicine
Siu, Sidney   Kin-Hung; Occupational Medicine
Skanes, Allan Cameron; Cardiology, Internal Medicine
Skaro, Anton Ivan; General Surgery
Skoretz, Terry   Gerrard; Emergency Medicine
Slessarev, Marat; Critical Care Medicine, Internal Medicine
Smith, David   Howard; Anesthesiology
Smith, Pamela   Andrea Tryphena; Family Medicine
Smith, Stuart   John; Cardiology, Internal Medicine
Smits, Cheryl Lynne; Family Medicine
Solh, Ziad; Pediatric Hematology/Oncology, Pediatrics
Sommerfreund, Rafi   David; Anesthesiology
Sovran, Laura Deana; Obstetrics and Gynecology
Sowerby, Leigh J; Otolaryngology - Head and Neck Surgery
Spaic, Tamara; Endocrinology and Metabolism, Internal Medicine
Spence, John   David; Internal Medicine, Neurology
Spicer, Erin Irene; General Internal Medicine, Internal Medicine
Sposato, Luciano   Alberto; Neurology
Spouge, Alison   Rosemary Isobel; Diagnostic Radiology
Sridhar, Krishnakumar; Cardiology, Internal Medicine
Sripalan, Andrew; Family Medicine
St-Amand, Marc   Alain; Anesthesiology
Steer, Robert Karel; Family Medicine
Stein, Robert Ian; Endocrinology and Metabolism, Pediatrics
Steven, David Andrew; Neurosurgery
Stewart, Craig Paul; Psychiatry
Stewart, Paul James; Internal Medicine, Medical Oncology
Stocco, Stephanie Lynne; Family Medicine
Strychowsky, Julie Elizabeth; Otolaryngology - Head and Neck Surgery
Subramanian, Priya; Psychiatry
Sugimoto, Akira   Kyle; Obstetrics and Gynecology
Suh, Nina; Orthopedic Surgery
Sukhera, Javeed Iqbal; Child and Adolescent Psychiatry, Psychiatry
Suller Marti, Ana; Neurology
Sultan, Nabil   Mohamed; Internal Medicine, Nephrology
Sun, Dongmei; Internal Medicine
Sunderji, Salim Habib Jaffer; Family Medicine
Suskin, Neville   Gordon; Cardiology, Internal Medicine
Sy, John   Chua
Symons, Yahui Tammy; Anesthesiology
Taabazuing, Mary-Margaret; Geriatric Medicine, Internal Medicine
Takahashi, Sachiko; Neurology
Takhar, Jatinder; Psychiatry
Tanaka, Peter   Michael; Family Medicine, Family Medicine (Emergency Medicine)
Tancio, Michael Bemille Philip Malixi; Family Medicine
Tawfic Hamodi, Qutaiba Amir; Anesthesiology
Tay, Keng Yeow; Diagnostic Radiology
Taylor, David   Clifton; Emergency Medicine, Orthopedic Surgery
Taylor, Taryn Suzanne Marie; Obstetrics and Gynecology
Teefy, Patrick John; Cardiology, Internal Medicine
Thain, Andrew Peter; Cardiology, Internal Medicine
Theakston, Karl   Douglas
Thompson, Caitlin Elizabeth; Family Medicine
Thompson, Charles   Andrew; Emergency Medicine
Thomson, Michael John; Psychiatry
Thornton, Jane Susannah; Family Medicine
Tingey, David Paul; Ophthalmology
Tithecott, Gary   Albert; Pediatrics
Townsend, Cassandra Marie; Gastroenterology, Internal Medicine
Tsvetkova, Elena   Valentinovna; Internal Medicine, Medical Oncology
Tuck, Alan Bradley; Anatomical Pathology
Tugaleva, Elena; Anatomical Pathology, Forensic Pathology
Tzemos, Nikolaos; Cardiology
Ugwunze, Nnamdi   Ugochukwu; Psychiatry
Usher, Ann Kathryn; Obstetrics and Gynecology
Valdis, Matthew; Cardiac Surgery
Valiquet, Stacey Kathleen; Family Medicine, Family Medicine (Emergency Medicine)
Valiulis, Aurelia Ona; Family Medicine
Van Bussel, Elisabeth   Monique; Psychiatry
Van Doormaal, Curtis John; Family Medicine, Family Medicine (Emergency Medicine)
Van Koughnett, Julie Ann Marie; Colorectal Surgery, General Surgery
Van Uum, Stanislaus   Hendrikus Maria; Endocrinology and Metabolism, Internal Medicine
Vandenberg, Theodorus   Anthony; Internal Medicine, Medical Oncology
Vandewalle, Philip   Leon; Family Medicine
Vannelli, Antonio Michele; Anesthesiology
Varapravan, Sreelatha   Panicker; Psychiatry
Vasarhelyi, Edward Moore; Orthopedic Surgery
Vasudev, Akshya; Geriatric Psychiatry, Psychiatry
Vasudev, Kamini; Psychiatry
Velker, Vikram Machindra; Radiation Oncology
Venance, Shannon Lee; Neurology
Vezina, William Colin; Diagnostic Radiology, Nuclear Medicine
Vilos, Angelos George Christos; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
Vilos, George  Angelos; Obstetrics and Gynecology
Vincent, Mark David; Internal Medicine, Medical Oncology
Vinden, Christopher Martyn; General Surgery
Vogt, Kelly; General Surgery
Vopicka, Avaleen   Ann; Family Medicine, Family Medicine (Emergency Medicine)
Vujovic, Olga; Family Medicine, Radiation Oncology
Walji, Nadim; Family Medicine
Walker, Cyril   Robin; Pediatrics
Walker, Tara Lee; Family Medicine
Ward, Michael Robert; Cardiology, Internal Medicine
Warrington, James Claude; Nuclear Medicine
Watling, Christopher John; Neurology
Watling, Mark   Andrew; Psychiatry
Watson, James   Thomas; Anesthesiology
Wegrzyn, Catherine; Family Medicine
Wehrli, Bret   Michael; Anatomical Pathology
Weir, Matthew   Alexander; Internal Medicine, Nephrology
Weisz, Sarah Eva Marie; Internal Medicine
Welch, Michelle Nicole; Family Medicine
Welch, Stephen   Armand; Internal Medicine, Medical Oncology
Welk, Blayne Kaili; Urology
Wells, Jennie   Louise; Geriatric Medicine, Internal Medicine
Wetmore, Stephen   James; Family Medicine
Wickett, Jamie   Anne Elizabeth; Family Medicine
Willits, Kevin Roy; Orthopedic Surgery
Wilson, Aze   Suzanne Aliu; Gastroenterology, Internal Medicine
Winquist, Eric   William; Internal Medicine, Medical Oncology
Wiseman, Daniele Patrice; Diagnostic Radiology
Wong, Frank   Gee; Family Medicine
Wood, Jacqueline; Obstetrics and Gynecology
Woolfrey, Karen   Grace Howell; Emergency Medicine
Wright, Alison Frances Catherine; Family Medicine
Wu, You; Obstetrics and Gynecology
Wyllie, Blair   Frederick; Internal Medicine, Nephrology
Xenocostas, Anargyros; Hematology, Internal Medicine
Yamashita, Cory Masaru; Internal Medicine, Respirology
Yan, Brian   Michael; Gastroenterology, Internal Medicine
Yan, Justin Way-Ben; Emergency Medicine
Yang, Homer   Yuen Hoo; Anesthesiology, Family Medicine
Yaremko, Brian Patrick; Radiation Oncology
Yazdani, Arjang; Plastic Surgery
Ybarra Martins de Oliveira, Luiz Fernando; Cardiology, Internal Medicine
Yee, Raymond; Cardiology
Yoo, John Heung Joon; Otolaryngology - Head and Neck Surgery
Yoshy, Catherine Susan; Diagnostic Radiology
Young, Gordon   Bryan; Neurology
Younus, Jawaid; Internal Medicine, Medical Oncology
Yu, Andrea Carmen; Medical Genetics and Genomics
Yu, Edward   Wing-Tung; Radiation Oncology
Yu, Jeffrey Yao Chiun; General Internal Medicine, Internal Medicine
Yu, Yeyao; Neurology
Yuen, Doris   Elizabeth; Pediatrics
Zafar, Saira; Internal Medicine
Zaleski, Witold   Michael; Diagnostic Radiology
Zelcer, Shayna Miriam; Pediatrics
Zeman-Pocrnich, Cady Erika; Anatomical Pathology
Zhang, Qi; Anatomical Pathology, Neuropathology
Ziada, Zeinab Hamdy; Family Medicine
Zwiep, Terry Murray; Colorectal Surgery, General Surgery
