Abdel Malak, Nagy   Malak; Family Medicine
Morgan, David Geoffrey; Internal Medicine
Moriarity, Tracey   Ann Therese; Family Medicine
Moro, Jaydeep Krishnakant; Orthopedic Surgery
Morrison, Katherine Mary; Endocrinology and Metabolism, Pediatrics
Muhamedagic, Tatjana; Child and Adolescent Psychiatry, Psychiatry
Muhn, Channy Young; Dermatology
Mukerji, Amit; Pediatrics
Mulcaster, Julian Thomas; Anesthesiology
Mullen, Sarah Jane; Ophthalmology
Mullens, Jean   Louise; Family Medicine
Muniz Rodriguez, Flor Maria; Physical Medicine and Rehabilitation
Murphy, Francis   Richard; Dermatology
Murty, Naresh Kumar; Neurosurgery
Nair, Parameswaran Krishnan; Internal Medicine, Respirology, Respirology
Nair, Sabarinath   Balachandran; Diagnostic Radiology
Nair, Saeda Sabarinath; Anesthesiology
Nantes, Stephanie  Grace; Family Medicine
Nantha-Aree, Manyat; Anesthesiology
Narula, Neeraj; Gastroenterology, Internal Medicine
Nash, Edythe   Lynn Izumi; Family Medicine
Nash, Wesley Scott; Family Medicine
Nassef, Mohamed Abdelaziz Hussein; Anesthesiology
Natarajan, Madhu   Kailash; Cardiology, Internal Medicine
Nayar, Sumiti; Neurology
Neary, John David deReeder; Internal Medicine
Neblett, Skylar Merissa; Family Medicine
Neighbour, Helen; Internal Medicine, Respirology
Nesathurai, Shanker; Physical Medicine and Rehabilitation
Newkirk, Lynda Kathleen; Family Medicine
Ngo, Quang; Pediatric Emergency Medicine, Pediatrics
Nguyen, Laura Nancy Thuy Uyen; Urology
Niec, Anne Christine; Pediatrics
Ning, Shuoyan; Hematology, Internal Medicine
Noad, Garth   Thomas
Nolan, Kathleen Josephine; Pediatrics
Nowaczyk, Malgorzata Joanna; Pediatrics
Nwebube, Anne Ogugua; Pediatrics
Nwebube, Nwachukwu Ifeanyi; Obstetrics and Gynecology
O'Byrne, Paul Myles; Internal Medicine, Respirology
Oczkowski, Simon John Walsh; Critical Care Medicine, Internal Medicine
Oczkowski, Wieslaw   Jan; Neurology
Ofosu, Kofi Edward Amlyn; Psychiatry
Ogilvie, Rick   Arthur; Orthopedic Surgery
O'Hare, Turlough   John; Anesthesiology
Ohayon, Jason Abraham; Clinical Immunology and Allergy, Pediatrics
Ohson, Ravinder  Pal Singh; Family Medicine
Oliver, Douglas Mark; Family Medicine
O'Malley, Maureen Patricia; Dermatology
Onorato, Linda; Anesthesiology
Orovan, William   Lennox; Urology
Orovec, Natalie Marija; Pediatrics
O'Shea, Timothy   Michael; Infectious Diseases, Internal Medicine, Medical Microbiology
Osmond, Mark Kilburn; Obstetrics and Gynecology
Otero Fuentes, Carmen   Gloria; Diagnostic Radiology
O'Toole, Danielle Marie; Family Medicine
O'Toole, Francis   Joseph; Pediatrics
Packer, Tamar; Family Medicine
Paes, Bosco Anthony; Pediatrics
Pai, Menaka; Hematology, Internal Medicine
Pai, Nikhil; Gastroenterology, Pediatrics
Panju, Akbarali   Abdulrasul; Internal Medicine
Panju, Mohamed; Internal Medicine
Parascandalo, Richard   John; Anesthesiology
Pardhan, Alim; Emergency Medicine
Pardhan, Kaif; Emergency Medicine
Pare, Guillaume; Medical Biochemistry
Parker, Melissa   Joy; Critical Care Medicine, Pediatric Emergency Medicine, Pediatrics
Parrish, Michael   Brian; Anesthesiology
Patel, Bhavin Bhupendra; Family Medicine
Patel, Mohammed   Ameen; Internal Medicine
Patel, Tejal; Family Medicine
Patelis-Siotis, Irene; Psychiatry
Paul, James   Edward; Anesthesiology
Peachey, Gregory   Owen; Anesthesiology
Pedder, Linda; Pediatrics
Pek, Barbora   Marie; Family Medicine, Family Medicine (Emergency Medicine)
Perera, Kanjana   Sasipriya; Neurology
Pernica, Jeffrey   Michael; Infectious Diseases, Pediatrics
Perri, Danny; Internal Medicine
Persadie, Richard Jerome; Obstetrics and Gynecology
Perumpillichira, Joseph Cherian; Neurology
Peterson, Devin Clarke; Orthopedic Surgery
Petrosoniak, Andrew Mark; Emergency Medicine
Phillips, Callista   Maria; Internal Medicine, Medical Oncology
Phillips, Katharine Ruth Bowland; Obstetrics and Gynecology
Piercey, Kevin   Roy; Urology
Pigeyre, Marie Eva; Endocrinology and Metabolism
Portwine, Carol   Ann; Hematology, Pediatrics
Potter, Murray   Alexander; Medical Biochemistry
Prangley, Catherine Anne; Family Medicine
Pray, Michael John
Prebtani, Ally-Kareem Pyarali Habib; Endocrinology and Metabolism, Internal Medicine
Predescu, Dragos; Pediatrics
Price, David   John; Family Medicine
Price, Ira   Michael; Emergency Medicine
Profetto, Jason Raphael; Family Medicine
Provias, John   Peter; Neuropathology
Prowse, Katherine Louise; Gastroenterology, Pediatrics
Pugh, James   Edward Vernon; Neonatal-Perinatal Medicine, Pediatrics
Puglia, Marco Amedeo; Gastroenterology, Internal Medicine
Punthakee, Zubin   Dinshaw; Endocrinology and Metabolism, Internal Medicine
Pyne, Lonnie Stuart; Internal Medicine, Nephrology
Quirt, Jaclyn Ann; Clinical Immunology and Allergy, Internal Medicine
Rabbat, Christian George; Internal Medicine, Nephrology
Rabinovich, Alexander; Orthopedic Surgery
Rai, Stientje Henderika; Neonatal-Perinatal Medicine, Pediatrics
Ramachandran Nair, Rajesh; Neurology, Pediatrics
Ramdyal, Amanda; Family Medicine
Ranganathan, Meenatchi; Pediatrics
Rapanos, Theodore; General Surgery, Vascular Surgery
Ratcliffe, Elyanne Marguerite; Gastroenterology, Pediatrics
Rathbone, Michel   Piers; Neurology
Ratnasingam, Ranjith Kumar; Family Medicine
Rauchwerger, David   Ronald; Family Medicine, Family Medicine (Emergency Medicine)
Raymer, Karen   Elise; Anesthesiology
Raza, Samir; Internal Medicine
Razzaque, Asad; Family Medicine
Reddy, Desigen; Anesthesiology
Redwood-Campbell, Lynda   Jean; Family Medicine
Reece, Cadi   Marie; Family Medicine
Reid, Diane; Otolaryngology - Head and Neck Surgery
Reid, Susan   Elizabeth; General Surgery
Ribeiro, Luciana Torres; Diagnostic Radiology
Ribic, Christine Maria; Internal Medicine, Nephrology
Ricci, Christopher   James; Anesthesiology
Richards, Douglas   Lorne; Emergency Medicine
Rieber, Joanna Charl; Anesthesiology
Risdon, Catherine   Louise; Family Medicine
Rochwerg, Bram Noah; Critical Care Medicine, Internal Medicine
Rodrigues, Allison Kathleen; Adolescent Medicine, Pediatrics
Rodriguez, Amadeo   Raul; Ophthalmology
Roebbelen, Erica Lee; Family Medicine
Rogers, Stacey Deanne; Family Medicine, Obstetrics and Gynecology
Rosato, Laura   Elizabeth; Child and Adolescent Psychiatry, Psychiatry
Rosebush, Patricia   Irene; Psychiatry
Rosenbaum, Peter Leon; Pediatrics
Rosenblood, Geoffrey   Steven; Anesthesiology
Ross, Catherine Ann; Anatomical Pathology
Rotstein, Edward   Albert; Psychiatry
Roy, Madan   Mohan; Pediatrics
Ruo, Leyo; General Surgery
Rutledge, Gregory   John; Family Medicine, Family Medicine (Emergency Medicine)
Sabri, Kourosh; Ophthalmology
Sacchini, Clara; Obstetrics and Gynecology
Sagar, Stephen   Mark; Radiation Oncology
Sahsi, Rupinder   Singh; Family Medicine
Saigal, Saroj; Pediatrics
Salehi, Amir Hassan; Anatomical Pathology
Salehian, Omid; Cardiology, Internal Medicine
Salena, Bruno   John; Internal Medicine
Samaan, Muder Constantine; Pediatrics
Samiee Zafarghandy, Samira; Neonatal-Perinatal Medicine, Pediatrics
Samuels, Peter   Michael; Family Medicine
Saperson, Karen; Psychiatry
Sassi, Roberto   Britto; Child and Adolescent Psychiatry, Psychiatry
Satia, Imran Fackeerbhai; Internal Medicine, Respirology
Saveriano, Nellina; Dermatology
Sawchuk, Corey   William Todd; Anesthesiology
Scattolon, Sarah Ann; Obstetrics and Gynecology
Schell, Miranda   Mae; Anatomical Pathology
Schindler, Nathalie Laura; Pediatric Emergency Medicine, Pediatrics
Scholtens, Hendrik   Anko; Family Medicine
Schuenemann, Holger   Jens; Internal Medicine
Schweitzer, Michael   Joseph; Family Medicine, Family Medicine (Emergency Medicine), FCFP - Family Medicine
Sciarra, Carmela; Obstetrics and Gynecology
Scocchia, Tulio Gabriele; Internal Medicine, Rheumatology
Sebaldt, Rolf Jochem; Internal Medicine, Rheumatology
Sehdev, Dashminder Singh; Family Medicine, Family Medicine (Emergency Medicine)
Seigel, Sandra   Anne; Pediatrics
Selwyn, Brenda   Karen; Family Medicine
Sender, Rachelle   Rose; Family Medicine
Serrano Aybar, Pablo   Emilio; General Surgery
Sewchand, Lionel Satyanand
Shah, Chintankumar   Champaklal; Neurology
Shah, Jay   Kishore; Pediatrics
Shah, Keya; Family Medicine
Shahid, Shaneela; Neonatal-Perinatal Medicine, Pediatrics
Shankardass, Kanwal
Shanthanna, Harsha; Anesthesiology, Pain Medicine
Sharma, Mukul; Neurology
Sharma, Sangita; Emergency Medicine
Sharma, Sapna; Maternal Fetal Medicine, Obstetrics and Gynecology
Shaw, Elizabeth   Ann; Family Medicine
Shayegan, Bobby; Urology
Shbash, Iman Ahmed Mohamed; Pediatrics
Sherlock, Mary   Evelyeen; Gastroenterology, Pediatrics
Sherman, Maliha   Ali Hass; Family Medicine
Shichor, Tal Miriam; Anesthesiology
Shortt, Rodger   Allan Dawson; Plastic Surgery
Shroff, Manohar   Menghraj; Diagnostic Radiology
Shum, Bonnie   Wai Yee; General Surgery
Sibley, Caroline   Ann; Obstetrics and Gynecology
Sidhu, Amanjot; Geriatric Medicine, Internal Medicine
Sidhu, Kuldeep   Singh; Family Medicine, Family Medicine (Emergency Medicine)
Sidhu, Naveenpaul Kaur; Critical Care Medicine, Pediatrics
Siegal, Deborah Michelle; Hematology, Internal Medicine
Siekierski, Michal Maciej; Psychiatry
Singh, Sheila Kumari; Neurosurgery
Singhal, Nishma; Infectious Diseases, Internal Medicine
Sirko, Peter Michael; Anesthesiology
Siu, Henry Yu-Hin; Family Medicine
Skala, Richard Anthony; Anesthesiology
Skladman, Irina; Psychiatry
Skrinskas, Alena   Maryte; Anesthesiology
Smaill, Fiona   Mary; Infectious Diseases, Medical Microbiology
Small, David Richard Johnson; Obstetrics and Gynecology
Smieja, Marek Jozef; Infectious Diseases, Internal Medicine, Medical Microbiology
Smith, Frank   Charles; Orthopedic Surgery
Smith, Patricia   Anne; Obstetrics and Gynecology
Smith, Ruth   Elaine; Physical Medicine and Rehabilitation
Smith, Ryan   Sinclair; Anesthesiology
Smulski, Stefanie Marie; Anesthesiology
Sne, Niv; General Surgery
Snelgrove, Natasha Marie; Psychiatry
Sogbesan, Enitan   Adedolapo; Ophthalmology
Sommer, Doron   Dov; Otolaryngology - Head and Neck Surgery
Soth, Mark Douglas; Internal Medicine, Respirology
Sovran, Steven Alessandro; Endocrinology and Metabolism, Internal Medicine
Spaziani, Robert; Gastroenterology, Internal Medicine
Spence, Jessica Diana; Anesthesiology, Critical Care Medicine
Spencer, Frederick   Alan; Cardiology, Internal Medicine
Spinner, Miriam Rachel; Psychiatry
Stacey, Michael   Conway; Vascular Surgery
Stacey, Paul   Jeffrey; Physical Medicine and Rehabilitation
Stallwood, George   Randle; Cardiology, Internal Medicine
Starodub, James   Paul; Anesthesiology
Steen, Rebecca Evans; Family Medicine
Stein, Nina   Rodrigues; Diagnostic Radiology, Pediatric Radiology
Steinnagel, Brenda  Lee; Family Medicine, FCFP - Family Medicine
Stevenson, Colin George; Family Medicine
Stewart, Andrew Edwin Fletcher; Obstetrics and Gynecology
Strumas, Nick; Plastic Surgery
Sulowski, Christopher Andrew; Pediatric Emergency Medicine, Pediatrics
Sussman, Jonathan; Family Medicine, Radiation Oncology
Sutherland, Jennifer Jean; Family Medicine
Syed, Summer; Anesthesiology
Syed, Talha Mohammad; Cardiology, Internal Medicine
Syty-Golda, Maria   Barbara
Szarka, Istvan; Family Medicine
Szereszewski, Abraham; Family Medicine
Szereszewski, Jacob; Family Medicine
Szilvassy, Imre Zoltan
Takrouri, Heba Sadeq Rabah; Diagnostic Radiology
Talman, Marianne   Ruth; Internal Medicine
Tan, Michael Chung Yin; Internal Medicine
Tandan, Ved   Raoul; General Surgery
Tang, Patrick Hsin-Peng; Emergency Medicine
Tang, Shangguo; Anatomical Pathology
Taniguchi, Alan; Family Medicine
Tarnopolsky, Mark   Andrew; Physical Medicine and Rehabilitation
Tataryn, Brian   Louis; Family Medicine, Family Medicine (Emergency Medicine)
Teo, Koon Kang; Cardiology
Teoh, Kevin   Hong To; Cardiovascular and Thoracic Surgery, General Surgery
Thoma, Achilleas; Plastic Surgery
Thomas, Karen Emma; Neonatal-Perinatal Medicine, Pediatrics
Thompson, Jennifer May; Emergency Medicine
Thompson, Pamela   Ann; Family Medicine
Thomson, Ashley Anne; Family Medicine
Tittley, Jacques; General Surgery, Vascular Surgery
Torres-Trejo, Alejandro; Neurology
Trinh, Kien Vinh; Family Medicine, FCFP - Family Medicine
Tse, Frances   Wing Man; Gastroenterology, Internal Medicine
Tsoi, Keith   Sze King; Gastroenterology, Internal Medicine
Turnbull, John Douglas; Internal Medicine, Neurology
Twiss, Jennifer Elizabeth; Neonatal-Perinatal Medicine, Pediatrics
Umamaheswaran Kissoon, Meera Annapoorni; Pediatrics
Uthayalingam, Sarangan; Pediatrics
Vadera, Rajiv; Family Medicine, Family Medicine (Emergency Medicine)
Valani, Rahim   Amirali; Emergency Medicine, Family Medicine, Family Medicine (Emergency Medicine)
Valettas, Nicholas; Cardiology, Internal Medicine
Van Ameringen, Michael   Anton; Family Medicine, Psychiatry
Van Lieshout, Ryan   John; Psychiatry
Van Meer, Anna Barbara; Pediatrics
Van Reekum, Robert; Psychiatry
Van Spall, Harriette   Gillian Christine; Cardiology, Internal Medicine
VanDeCappelle, Caitlin Marie; Anesthesiology
Vandermeulen, John August; Endocrinology and Metabolism, Pediatrics
VanHelder, Tomas; Anesthesiology
VanHouwelingen, Lisa   Taylor; General Surgery, Pediatric Surgery
Velicaria, Kevin; Family Medicine
Veltman, Albina; Psychiatry
Venantius, Michelle Ann; Psychiatry
Verhovsek, Madeleine   Mary; Hematology, Internal Medicine
Vignjevic, Peter   Michael; Dermatology
Visram, Farzin   Mohamed; Internal Medicine, Respirology
Vlahaki, Dean   Matthew; Emergency Medicine
Voglis, Stefanos; Gastroenterology, Internal Medicine
Vona, Frank Gregory
Vora, Harshala   Parag; Family Medicine
Vora, Parag Kanaiyalal; Diagnostic Radiology
Vraets, Adrienne   Christine; Anesthesiology
Vukmirovic-Popovic, Snezana; Anatomical Pathology
Wahi, Gita; Pediatrics
Wahi, Shobha; Pediatrics
Walker, Irwin   Ronald; Hematology, Internal Medicine
Walker, Kathleen Jean; Family Medicine
Wall, Leah Kathleen; Family Medicine
Walsh, Jennifer; General Pathology
Walton, Jonathan   Mark; General Surgery, Pediatric General Surgery
Wang, Michael Ke; Internal Medicine
Wang, Yongdong; Diagnostic Radiology, Diagnostic Radiology
Warkentin, Theodore Earl; Hematology, Internal Medicine
Warsi, Mohammed   Ali; Psychiatry
Waserman, Susan; Clinical Immunology, Internal Medicine
Waters, Heather   Margaret; Family Medicine
Webb, Irma Ashley Skrob; Family Medicine
Webb, Stephen Paul; Psychiatry
Weisz, Janet   Irma; Pediatrics
Weitz, Jeffrey   Ian; Hematology
Weizenberg, Evan Ira; Child and Adolescent Psychiatry, Psychiatry
West, Danielle  Kirstin; Family Medicine
West, Michael James; Family Medicine
Wharton, Sean   Nicholas; Internal Medicine
Whippey, Amanda Joanne; Anesthesiology
Whitehead, Lori   Nadine; Internal Medicine, Respirology
Whitton, Anthony   Charles; Radiation Oncology
Whyte, Robert Alexander; Anesthesiology
Williams, Constance   Leah; Pediatrics
Williams, Dale Scott; Orthopedic Surgery
Williams, James   Evan; Family Medicine
Williams, Phillip Arthur; Anatomical Pathology
Williams, Ryan Anthony; Physical Medicine and Rehabilitation
Winemaker, Mitchell   Jeffrey; Orthopedic Surgery
Winemaker, Samantha   Paige; Family Medicine
Winsor, Stephanie Heather Malaika; Obstetrics and Gynecology
Wismer, David   Irwin Allen; Orthopedic Surgery
Witt-Sullivan, Helga   Brigitte; Internal Medicine
Wong, Anne Katling; Anesthesiology
Wong, Jacqueline Khet-Ling; Infectious Diseases, Pediatrics
Wong, Jorge Alfredo; Cardiology, Internal Medicine
Wong, Steven Cheong Wai; General Internal Medicine, Internal Medicine
Wong-Pack, William Ki-Fong; Diagnostic Radiology, Nuclear Medicine
Wood, Carine   Henriette; Anesthesiology, Anesthesiology
Woodward, Kevin Scot; Infectious Diseases, Internal Medicine
Worster, Andrew   Simon; Family Medicine, Family Medicine (Emergency Medicine)
Wright, Laura Elizabeth; Family Medicine
Wyatt, Emma Louise; Pediatric Emergency Medicine
Wyne, Ahraaz; General Internal Medicine, Internal Medicine
Xenodemetropoulos, Theodore   Ted; Gastroenterology, Internal Medicine
Xi, Mengchen; Family Medicine
Yaghoobi, Mohammad; Gastroenterology, Internal Medicine
Yakemchuk, Valerie Norah; Diagnostic Radiology, Nuclear Medicine
Yang, Ilun; Colorectal Surgery, General Surgery
Yang, Ruobing; Internal Medicine, Respirology
Yanivker, Susanna
Yanover, David Frederick; Family Medicine
Yarascavitch, Blake Arden; Neurosurgery
Yellin, Joel; Family Medicine
Yelovich, Mary-Clair; Internal Medicine, Rheumatology
Yemen, Brian   Leslie; Diagnostic Radiology
Yen, Jonathan Tsu Chun; Anesthesiology, Pain Medicine
Yikilmaz, Ali; Diagnostic Radiology
Yip, Gordon; Diagnostic Radiology
Young, James   Edward Massey; General Surgery
Youssef, Nayer Moheb Mounir; Anesthesiology
Yousuf, Haroon  Syed; General Internal Medicine, Internal Medicine
Zacharias, Samuel Ramesh Kumar; General Surgery
Zachos, Marianthi; Gastroenterology, Pediatrics
Zareba, Piotr; Urology
Zazulak, Joyce; Family Medicine
Zeller, Michelle Paula; Hematology, Internal Medicine
Zettel, Lenore   Annette; General Surgery
Zhang, Euan; Diagnostic Radiology
Zhang, Han; Otolaryngology - Head and Neck Surgery
Zhu, Mike; Anesthesiology
Zizzo, Steven Vincent; Family Medicine
Zrinscak, Christine; Family Medicine
Zubairi, Mohammad Samad Yaseen; Developmental Pediatrics, Pediatrics
Zukotynski, Katherine   Anne; Diagnostic Radiology, Nuclear Medicine
Zuniga Villanueva, Gregorio; Pediatrics
