Aaron, Shawn   David; Internal Medicine, Respirology
Lemyre, Brigitte; Neonatal-Perinatal Medicine, Pediatrics
Lentini, Anthony Campallegio; Physical Medicine and Rehabilitation
Leonard, Brian   Clark; Ophthalmology
Lepadatu, Silvia Irina; Psychiatry
Leppard, Jennifer   Lee Ann; Family Medicine
Lesiuk, Howard John; Neurosurgery
Leung, Elaine Wing-Yin; Hematological Pathology, Pediatrics
Leung, Eugene   Yun Ching; Nuclear Medicine
Levy, Gary   Avrom; Gastroenterology, Internal Medicine
Li, Aimee Ling-Yee; General Internal Medicine, Internal Medicine
Li, Cecilia Na; Family Medicine, Palliative Medicine
Liebman, Mira Fern; Hematological Pathology, Pediatric Hematology/Oncology, Pediatrics
Liew, Allan   Syng-Luan; Orthopedic Surgery
Lim, Siok Ping; Diagnostic Radiology
Ling, Constance Marie; Obstetrics and Gynecology
Lipinski, Matthew Olaf; Emergency Medicine
Lipson, Jennifer Erin; Dermatology
Liu, Dora   Marisa; Endocrinology and Metabolism, Internal Medicine
Lochnan, Heather Anne; Endocrinology and Metabolism, Internal Medicine
Lochrin, Catherine   Anne; Radiation Oncology
Locke, Tiffany; Family Medicine
Lominy, Wildhine; Family Medicine
Lorimer, John   Wilson; General Surgery, Vascular Surgery
Lortie, Karine Josee; Obstetrics and Gynecology
Lotimer, Suzanne Jane; Family Medicine
Lougheed, Jane; Cardiology, Pediatrics
Lozano, Marina; Family Medicine
Lujic, Jelka-Maria Irma; Anesthesiology
Luks, Vanessa   Penelope Jane; Internal Medicine, Respirology
Lupe, Krystine   Kimberly; Radiation Oncology
MacCormick, Johnna Anne; Otolaryngology - Head and Neck Surgery
MacDonald, Damian Anthony; Emergency Medicine
Macdonald, David   Blair; Diagnostic Radiology
MacDonald, David Anthony; Hematology, Internal Medicine
Macdonald, Jillian   Alexandra; Dermatology
Macedo Lamacie, Mariana; Cardiology
Maciejewski, Conrad Christopher; Urology
Macinnis, Brent Joseph; Ophthalmology
MacIsaac, Jennifer Lynn; Dermatology
Mack, Johnathan Paul; Hematology, Internal Medicine
Maclean, Heather   Jean; Neurology
MacNeil, Robert   Bernard; Anesthesiology
MacPherson, Paul Andrew; Infectious Diseases, Internal Medicine
MacRae, Robert   Malcolm; Radiation Oncology
MacTavish, James   Cameron; Family Medicine, Family Medicine (Emergency Medicine)
Magner, Peter O'Connell; Internal Medicine, Nephrology
Mahoney, John Eric; Urology
Majere, Raistlin; General Internal Medicine, Internal Medicine
Malcolm, Janine Charisse; Endocrinology and Metabolism, Internal Medicine
Malone, Shawn Christopher; Radiation Oncology
Maloney, Justin Patrick; Emergency Medicine, Family Medicine, Family Medicine (Emergency Medicine)
Mamazza, Joseph; General Surgery
Maniate, Jerry   Mathew; Internal Medicine
Mansour, Sarah; Infectious Diseases, Internal Medicine
Marshall, David   Henry; Ophthalmology
Marshall, Shawn   Calder; Physical Medicine and Rehabilitation
Martel, Guillaume Vincent Dominique; General Surgery
Martinez Gomez, Adriana Patricia; Orthopedic Surgery
Matar, Maher M; General Surgery
Matzinger, Mary Ann Elizabeth; Diagnostic Radiology
Maziak, Donna   Elizabeth; General Surgery, Thoracic Surgery
Mc Gee, Sharon Florence; Internal Medicine, Medical Oncology
McBride, David Richard; Psychiatry
McCarthy, Anne Eileen; Infectious Diseases, Internal Medicine
McCarthy, Veronica Joan; Psychiatry
McCartney, Colin John Lindsay; Anesthesiology
McConville, Eilish Winifred; Internal Medicine, Rheumatology
McCormick, Anna Marie; Pediatrics, Physical Medicine and Rehabilitation
McCormick, Brendan   Boyd; Internal Medicine, Nephrology
McCurdy, Jeffrey David; Gastroenterology, Internal Medicine
McDonald, Hector; Ophthalmology
McDonald, Jennifer Kelly; Physical Medicine and Rehabilitation
McFaul, Colleen Margaret; Anesthesiology
McGuinty, Michaeline Anne; Infectious Diseases, Internal Medicine
McGuire, Shaun Neville; Family Medicine
McIlraith, Duncan   Mcleod; Neurology
McInnes, Matthew Donald Fernand; Diagnostic Radiology
McIntyre, Lauralyn Ann; Internal Medicine
McKim, Douglas Alan; Internal Medicine, Respirology
McLean, Laurie Elizabeth; Otolaryngology - Head and Neck Surgery
McMurray, Lindsey Daun; Emergency Medicine
McVicar, Jason   Alan Joseph; Anesthesiology
Meggison, Hilary Erin; Endocrinology and Metabolism, Internal Medicine
Melton, Natalie; Anesthesiology
Mendell, Lawrence   Melvyn; Diagnostic Radiology
Meng, Joanne; Radiation Oncology
Mercer, Deanna Marie; Psychiatry
Merchant, Pradeep   Pranlal; Pediatrics
Mervitz, Deborah Louise; Anesthesiology
Mestre, Tiago   Alexandre; Neurology
Meulenkamp, Bradley George; Orthopedic Surgery
Microys, Sherissa   Lynn; Anesthesiology
Midzic, Ines; Internal Medicine, Rheumatology
Mikhael, Dalia; Dermatology
Mikhail, Eric; Psychiatry
Milanska, Janina; Pediatrics
Miller, Barbara   Christine; Family Medicine, Family Medicine (Emergency Medicine)
Miller, Donald   Robert; Anesthesiology
Miller, Elizabeth Clarke; Anesthesiology
Miller, Elka; Diagnostic Radiology, Pediatric Radiology
Miller, Garfield Lincoln Alexander; Ophthalmology
Miller, William David; Diagnostic Radiology
Millington, Scott Jeffrey; Critical Care Medicine, Internal Medicine
Milman, Nataliya; Internal Medicine, Rheumatology
Milroy, Chistopher   Mark; Anatomical Pathology
Mintsioulis, George; Ophthalmology
Mirzaei, Ameneh; Psychiatry
Mitchell, Simeon; Emergency Medicine
Moffett, Stephane; Anesthesiology
Moghadam, Soraya; Internal Medicine, Nephrology
Moise, John Palmer; Psychiatry
Moledina, Irfan Karim; Pediatrics
Molnar, Frank   Joseph; Geriatric Medicine, Internal Medicine
Moloo, Husein; General Surgery
Momtazi, Moein; Plastic Surgery
Mong, Jonathan Choon-Haw; Internal Medicine
Monsour, Marc; Physical Medicine and Rehabilitation
Montpetit, Madeleine Rita Maria; Family Medicine
Moore, Gregory   Paul; Pediatrics
Moran, Timothy Dennis; Psychiatry
Morash, Christopher Grant Linwood; Urology
Morassut, Patricia Angela; Internal Medicine, Rheumatology
Moretti, Felipe Mangoni; Obstetrics and Gynecology
Morgan, Scott Carlyle; Radiation Oncology
Mossdorf, Philipp; Anesthesiology
Mottiar, Miriam Annice Janet; Anesthesiology
Moulton, Richard Jack; Neurosurgery
Mount-Bastianelli, Heather Lynn
Moyana, Terence Nesbert; Anatomical Pathology
Muir, Katherine Emily; Neurology
Mulloy, Andrew John; Cardiology, Internal Medicine
Mulpuru, Sunita Sheila; Internal Medicine, Respirology
Munene, Peter Mathenge; General Internal Medicine, Internal Medicine
Munro, Camille; Family Medicine
Munro, Shane   Matthew; Ophthalmology
Murley, Vanessa   Robin; Family Medicine
Murnaghan, Marion   Aleisha; Emergency Medicine
Murphy, Patrick   Gerard; Otolaryngology - Head and Neck Surgery
Murphy, Rebekah Jane; Family Medicine
Murthy, Sanjay Krishna; Gastroenterology, Internal Medicine
Murto, Kimmo   Tomi Tapio; Anesthesiology
Musawir, Amtul; Internal Medicine
Musselman, Reilly Patrick; Colorectal Surgery, General Surgery
Mutter, Eric Leslie; Emergency Medicine
Myles, Wellington   Michael; Ophthalmology
Nadeau, Johane; Geriatric Psychiatry, Psychiatry
Naghdi, Reza; Internal Medicine
Naik, Viren; Anesthesiology
Nair, Girish Madhavan; Cardiology, Cardiology, Internal Medicine
Nair, Vidhya; Anatomical Pathology
Nakajima, Amy Kazuko; Obstetrics and Gynecology
Naraine, Nadira   Denise; Anesthesiology
Nassim, Mark   Adel; Family Medicine
Nath, Avik; Family Medicine, Family Medicine (Emergency Medicine)
Neilipovitz, Dave  Thomas; Anesthesiology
Nessim, Carolyn; General Surgery
Neville, Amy Anne; General Surgery
Ng Cheng Hin, Alan   Kenneth; Family Medicine, FCFP - Family Medicine
Ng, Terry L; Internal Medicine, Medical Oncology
Nguyen, Dong Bach; Obstetrics and Gynecology
Nguyen, Thanh Binh; Diagnostic Radiology
Nicholas, Garth   Andrew; Internal Medicine, Medical Oncology
Nixon, Judith Pearl; Internal Medicine
Nizalik, Cindy Louise Elizabeth; General Pathology
Niznick, Joel   Marvin; Cardiology, Internal Medicine
Njoo, Howard Tjoen Hauw; Community Medicine
Norman, Lawrence   Israel; Family Medicine, Family Medicine (Emergency Medicine)
Norris, Sandhaya; Psychiatry
Nott, Caroline; Infectious Diseases, Internal Medicine
Nussbaum, Christopher   Jeffrey; Family Medicine, Family Medicine (Emergency Medicine)
Oake, Jeffrey   Stuart; Urology
O'Brien, Michael William; Emergency Medicine
O'Connell, Louis Stephen; Family Medicine
O'Connor, Michael   David; Ophthalmology
Odell, Michael Jeffery; Otolaryngology - Head and Neck Surgery
Odorizzi, Scott Randall; Emergency Medicine
O'Kelly, Kevin Francis; Diagnostic Radiology
Oliver, Steven William; Orthopedic Surgery
Olynych, Timothy   John; Clinical Immunology and Allergy, Internal Medicine
O'Meara, Paloma Clare; Internal Medicine
Ong, Michael; Internal Medicine, Medical Oncology
Ooi, Teik Chye; Internal Medicine
Oppenheimer, Lawrence   William; Obstetrics and Gynecology
O'Sullivan, Joseph   Patrick
Ouellet, Yanick; Family Medicine, Family Medicine (Emergency Medicine)
Padmore, Ruth Frances; Anatomical Pathology, Hematological Pathology
Pageau, Paul Gerard; Family Medicine, Family Medicine (Emergency Medicine)
Pagliarello, Giuseppe; General Surgery
Pakhale, Smita Sakharam; Internal Medicine, Respirology
Paliga, Aleksandra Augusta; Anatomical Pathology
Pan, Andy; Critical Care Medicine, Emergency Medicine
Pantarotto, Jason   Rene; Radiation Oncology
Papadatos, Demetrios; Diagnostic Radiology
Papp, Steve  Ray; Orthopedic Surgery
Parai, Jacqueline Louise; Anatomical Pathology
Parker, Jacqueline Mary; Family Medicine, Family Medicine (Emergency Medicine)
Parker, Vivien Shue Wei; Neurology
Parsons, Henrique   Afonseca
Pascali, Dante   Umberto; Obstetrics and Gynecology
Patel, Rakesh   Vishnu; Internal Medicine
Pazhekattu, Rinu; Internal Medicine, Nephrology
Pease, Christopher Andrew; Internal Medicine, Respirology
Peddle, Susan Elizabeth; Diagnostic Radiology
Pena Fernandez, Elena; Diagnostic Radiology
Penning, Johannes   Pieter; Anesthesiology
Perry, Gad   Alexander; Radiation Oncology
Persaud, Desiree   Aloma; Anesthesiology
Peterson, Rebecca; Diagnostic Radiology
Petit, Lyndal Christine; Psychiatry
Petkiewicz, Stephanie Lynn; Anatomical Pathology
Pham, Xuan Huyen; Nuclear Medicine
Pham-Huy, Anne; Infectious Diseases, Pediatrics
Pickell, Michael; Orthopedic Surgery
Pitt, Dennis   Frederick; General Surgery
Planet, Jean-Francois; Otolaryngology - Head and Neck Surgery
Po, Joseph   Lysander; Anesthesiology, Critical Care Medicine
Pohl, Daniela; Pediatrics
Poleski, Steven   Allan; Ophthalmology
Polis, Tomasz; Anesthesiology
Pollock, J   Whitcomb; Orthopedic Surgery
Ponka, David; Family Medicine, Family Medicine (Emergency Medicine)
Posner, Glenn   David; Obstetrics and Gynecology
Power, Barbara Elizabeth; Geriatric Medicine, Internal Medicine
Power, Daniel Jonathan; Anesthesiology, Family Medicine, Family Medicine (Emergency Medicine)
Pratt, Melanie   Dawn; Dermatology
Pringle, Catherine Elizabeth; Neurology
Prokopetz, Robert Donald; Anatomical Pathology, Dermatology
Promislow, Steven   Joseph; Cardiology, Internal Medicine
Proulx, Genevieve Christiane; Psychiatry
Prud'Homme, Jane   Marie; Anesthesiology
Pugh, Debra   Marilyn; Internal Medicine
Purgina, Bibianna Maria; Anatomical Pathology
Putnins, Rita Elwine; Diagnostic Radiology
Pysyk, Christopher Lee; Anesthesiology
QUATEEN, AIMAN  Salem; Diagnostic Radiology
Quon, Deanna Lee; Physical Medicine and Rehabilitation
Quon, Matthew Kwok; Diagnostic Radiology
Quon, Michael Joseph; General Internal Medicine, Internal Medicine
Rabheru, Kiran; Family Medicine, Geriatric Psychiatry, Psychiatry
Radhakrishnan, Dhenuka   Kannan; Pediatrics, Respirology
Radhwi, Osman Omer N; Hematology, Internal Medicine
Raiche, Isabelle Marie Michelle; General Surgery
Rainbow, Sandra Marie Lynne; Family Medicine, Family Medicine (Emergency Medicine)
Rajda, Ewa; Infectious Diseases, Internal Medicine
Rakhra, Kawanpreet Singh; Diagnostic Radiology
Ramin, Brodie; Family Medicine
Ramlogan, Reva Reeshard; Anesthesiology
Ramsey, Gillian   Dawn; Anesthesiology
Rao, Purnima Minnie; Anesthesiology
Rashidi, Babak; General Internal Medicine, Internal Medicine
Rastogi, Nikhil Kumar; Anesthesiology
Rasuli, Pasteur; Diagnostic Radiology
Raymond, Francois; Nuclear Medicine
Read, Brandi   Louise; Family Medicine, Family Medicine (Emergency Medicine)
Reaume, Martin   Neil; Internal Medicine, Medical Oncology
Redpath, Stephanie; Pediatrics
Regnier, Laura Rita Joanne; Family Medicine
Reisman, John   Joseph; Pediatrics, Respirology
Rekman, Janelle Francine; General Surgery
Revah, Giselle; Diagnostic Radiology
Ribeyre, Jean-Marie Michel
Rice, Jill   Lorraine; Family Medicine
Richer, Julie; Medical Genetics and Genomics
Riopelle, Richard   John; Internal Medicine, Neurology
Ritcey, Brandon  William; Emergency Medicine
Ritchie, Robert   Gordon; Diagnostic Radiology
Robert, Benoit   Philippe Pierre Jean-Marie; Family Medicine
Robert, Joshua Michael; Anesthesiology
Roberts, Matthew   Thomas; Urology
Robertson McCurdy, Arleigh Beth; Hematology, Internal Medicine
Rockwell, Gloria Morene; Plastic Surgery
Roeske, Amy Elizabeth; Anesthesiology
Rogan Ducic, Milena; Psychiatry
Romanova, Anna; General Internal Medicine, Internal Medicine
Rosen, Harold David; Anesthesiology
Rosenberg, Erin Alexandra; Critical Care Medicine, Internal Medicine
Rosenberg, Hans; Family Medicine, Family Medicine (Emergency Medicine)
Ross, Ella Anna; Ophthalmology
Ross, Tracey Lee; Otolaryngology - Head and Neck Surgery
Rostom, Alaa Mostafa Kamel Ahmed; Gastroenterology, Internal Medicine
Rotaru, Carmen; Diagnostic Radiology
Roth, Virginia   Ruth; Infectious Diseases, Internal Medicine
Rousseau, Genevieve   Denise; Obstetrics and Gynecology
Rousseau, Melissa; Internal Medicine
Rouvinez Bouali, Nicole   Genevieve; Pediatrics
Rowe, Neal Ernest; Urology
Rubin, Michael Ellery; Emergency Medicine
Rush, Carolina Ana Estefania; Neurology
Rushton-Marovac, Moira Katherine; Internal Medicine, Medical Oncology
Rutherford, Michael Nevin; Anatomical Pathology
Ruzicka, Marcel; Internal Medicine, Nephrology
Ryan, Gail   Lynn; Anesthesiology
Ryan, John Gerard; Diagnostic Radiology
Ryan, Stephen   Edward; Diagnostic Radiology
Sabloff, Mitchell; Hematology, Internal Medicine
Sabourin, Kenneth Bernard; Family Medicine
Sadek, Mouhannad   M; Cardiology, Internal Medicine
Saloojee, Navaaz Ahmed; Gastroenterology, Internal Medicine
Samant, Rajiv Singh; Radiation Oncology
Sampaio, Marcos Loreto; Diagnostic Radiology
Sampsel, Kari   Lynn; Emergency Medicine
Samson, Lindy   Michelle; Infectious Diseases, Pediatrics
Sandoz, Jacqueline Susanne; Internal Medicine, Respirology
Sandre, Roger   Martin; Infectious Diseases, Internal Medicine
Sant, Nadia Prema; Infectious Diseases, Internal Medicine, Medical Microbiology
Sapru, Hyra Shuaib; Hematology, Internal Medicine
Sarti, Aimee June; Internal Medicine
Saul, Daniel Israel; Psychiatry
Savard, Marie-France; Internal Medicine, Medical Oncology
Scarvelis, Dimitrios; Hematology, Internal Medicine
Schachter, Joyce; Obstetrics and Gynecology
Scherer, Nita; Otolaryngology - Head and Neck Surgery
Scherling, Nicole Danielle; Family Medicine
Schieda, Nicola; Diagnostic Radiology
Schlossmacher, Michael   Gebhard; Neurology
Schramm, David Ronald; Otolaryngology - Head and Neck Surgery
Schwartz, Robert   Andrei; Anesthesiology
Schwarz, Fabian; Family Medicine
Scott, John Fraser
Scott-Moncrieff, Andrew Grant; Diagnostic Radiology
Scully, Linda Jane; Gastroenterology, Internal Medicine
Seale, Edward Randall; Family Medicine, Family Medicine (Emergency Medicine)
Seely, Andrew John Ervine; General Surgery, Thoracic Surgery
Seely, Jean Morag; Diagnostic Radiology
Sehdev, Sandeep   Raj; Internal Medicine, Medical Oncology
Sekhon, Harmanjatinder Singh; Anatomical Pathology
Sellers, Laura Pauline; Family Medicine
Seshadri, Angela; Pediatrics
Setterfield, Jeremy George; Urology
Sfeir, Frederic; Family Medicine
Shabana, Wael Mansour; Diagnostic Radiology
Shabib, Gihad Mohammed Hisham; Obstetrics and Gynecology
Shamy, Michel Christopher Frank; Neurology
Sharma, Krishna; Internal Medicine, Respirology
Shaw, Joseph Randall Alphee; Internal Medicine
Shaw, Tammy Yau; Family Medicine, Internal Medicine
Shaw-Stiffel, Thomas Alvin William; Gastroenterology, Internal Medicine
Shenassa, Hassan; Obstetrics and Gynecology
Shiga, Sarah   Ann; Plastic Surgery
Shlik, Jakov; Psychiatry
Shulakewych, Markian   Oleh; Diagnostic Radiology
Silver, Lesley Carmela Ann; Anesthesiology
Silverman, Howard   Jeffrey; Plastic Surgery
Sim, Jordan Anthony Gordon; Anatomical Pathology
Simard, Trevor; Cardiology, Internal Medicine
Sinasac, Sarah Elizabeth; Gynecologic Oncology, Obstetrics and Gynecology
Sinclair, John; Neurosurgery
Singh, Sukhbir Sony; Obstetrics and Gynecology
Sitwell, Lucian   Donald; Internal Medicine, Neurology
Small, Gary Robert
Smit, Kevin Mitchell; Orthopedic Surgery
Smith, Andrew   Lawrence; Psychiatry
Smith, Daniel Nelson; Family Medicine
Smith, Kevin   David; Ophthalmology
Smyth, Catherine Elizabeth; Anesthesiology
Smyth, Karl Richard; Diagnostic Radiology
Sohmer, Benjamin; Anesthesiology
Soltys, Katherine   Marie
Song, Xinni; Internal Medicine
Sorisky, Alexander   Martin; Endocrinology and Metabolism, Internal Medicine, Medical Biochemistry
Souza, Carolina Althoff; Diagnostic Radiology
Spacek, Alena Marie; Family Medicine, Family Medicine (Emergency Medicine)
Spilg, Edward   George; Geriatric Medicine
Splinter, William   Maria; Anesthesiology
Sreenivasan, Vidya Anandhi; Physical Medicine and Rehabilitation
Srikanthan, Amirrtha; Internal Medicine, Medical Oncology
Stadnick, Ellamae; Cardiology, Internal Medicine
Stalder, Marc   Timothy; Anesthesiology
Starkell, Ginette; Anatomical Pathology
Sterrett, Ashley Gray; Rheumatology
Stewart, Andrea   Kirsten; Psychiatry
Stewart, David James; Internal Medicine, Medical Oncology
Stewart, Duncan John; Cardiology, Internal Medicine
Stiell, Andrew Pettigrew; Family Medicine, Family Medicine (Emergency Medicine)
St-Jean, Mireille   Corinne; Family Medicine
Stone, Christopher John Lewis; Internal Medicine
Stotts, Grant James; Neurology
Strickland, Sarah Veronique; Anatomical Pathology, Family Medicine
Strike, Jessica Sarah; Family Medicine
Strike, Melanie Katherine; Forensic Psychiatry, Psychiatry
Suh, Kathryn   Nuala; Infectious Diseases
Sullivan, Patrick   Joseph; Anesthesiology
Sundaresan, Ramanadhan   Sudhir; General Surgery, Thoracic Surgery
Suresh, Himabindu; Pediatrics
Swenson, John Robert; Psychiatry
Sy, Richmond Go; Gastroenterology, Internal Medicine
Syed, Ali   Shahbaz; Emergency Medicine
Szeto, Michael; Anesthesiology
Tadros, Shaheer; General Surgery
Tahirkheli, Surriya Jabeen; Psychiatry
Tang, Sephora Miu Yin; Psychiatry
Tawil, Youssef; General Internal Medicine, Internal Medicine
Teo, Iris   Yu Hung; Anatomical Pathology
Thampi, Nisha; Infectious Diseases, Pediatrics
Thebaud, Bernard Claude Franck; Pediatrics
Thiruganasambandamoorthy, Venkatesh; Family Medicine, Family Medicine (Emergency Medicine)
Thomas, Gordon Robert; Geriatric Psychiatry, Psychiatry
Thompson, Calvin   Paul; Anesthesiology
Thurgur, Lisa Dawn; Emergency Medicine
Tierney, Sarah Lynn; Anesthesiology
Tinmouth, Alan Thomas; Hematology, Internal Medicine
Tomiak, Eva   Maria; Internal Medicine, Medical Oncology
Torres, Carlos Hernando; Diagnostic Radiology, Neuroradiology
Touchie, Claire Elizabeth; Infectious Diseases, Internal Medicine, Medical Microbiology
Touchie, Michael James
Toupin, Melissa; Hematology, Internal Medicine
Toye, Baldwin   Wing; Infectious Diseases, Internal Medicine, Medical Microbiology
Tran, Christopher Shi-Jie; Endocrinology and Metabolism, Internal Medicine
Tremblay, Steven; Anesthesiology
Trull, Brent Charles Lister; Plastic Surgery
Tsai, Eve   Chung; Neurosurgery
Tsang, Gordon Fung-Zak; Otolaryngology - Head and Neck Surgery
Tse, Darren Patrick Chun Yin; Otolaryngology - Head and Neck Surgery
Tsien, Cynthia; Gastroenterology, Internal Medicine
Tsoulis, David James; Dermatology
Tugwell, Peter Stuart Lewin; Internal Medicine
Tuli, Raman; Ophthalmology
Turek, Michele Anna; Cardiology, Internal Medicine
Turnbull, Jeffrey   Michael; Internal Medicine
Vadeboncoeur, Christina   Marie; Pediatrics
Vaillancourt, Christian; Emergency Medicine
Veinot, John Porter; Anatomical Pathology
Veldhuijzen Van Zanten, Stephanie Carmen Marlieke; Pediatrics
Venkateswaran, Sunita; Neurology, Pediatrics
Verma, Raman   Kumar; Diagnostic Radiology
Vethamuthu, Jennifer Mary; Nephrology, Pediatrics
Vickers, Michael MacDonald; Internal Medicine, Medical Oncology
Victor, Gary   Howard; Infectious Diseases, Internal Medicine
Vigil, Humberto Rene; Urology
Villeneuve, Patrick   James; General Surgery, Thoracic Surgery
Villeneuve, Pierre; Hematology, Internal Medicine
Vincent, Daniel Armand; Family Medicine
Voduc, Nha; Internal Medicine, Respirology
Wai, Eugene   Kenneth; Orthopedic Surgery
Walker, Alfredo Eugene; Forensic Pathology
Walker, Mark   Clarance; Obstetrics and Gynecology
Walsh, Caolan Matthew John; General Surgery
Walsh, Cynthia Blanche; Diagnostic Radiology
Walsh-Bergin, Paula; Psychiatry
Wang, Tzu-Fei; Hematology
Warren, Jeffrey; Urology
Wasserman, Jason Kevin; Anatomical Pathology
Waters, Eugenie Frances; Family Medicine
Watson, John   Brown; Anesthesiology
Watt, Christine Laura; Family Medicine
Watterson, James David; Urology
Weatherhead, Louis   Edward Peirce; Dermatology
Webber, Gail   Colleen; Family Medicine
Weberpals, Johanne   Ingrid; Obstetrics and Gynecology
Weekes, Andrew   Napier; General Surgery
Weekes, Darlene Angele; Anesthesiology
Weiler, Gabrielle Suzanne; Pediatrics
Weitzman, Brian   Neil; Emergency Medicine, Family Medicine, Family Medicine (Emergency Medicine)
Wells, Philip Stephen; Hematology, Internal Medicine
Weng, Willy; Internal Medicine
Werier, Joel Michael; Orthopedic Surgery
Wheatley-Price, Paul Francis; Internal Medicine
Whelan, Chantal   Irene; Psychiatry
Wherrett, Christopher   George; Anesthesiology
Whetter, Christine   Rae; Internal Medicine
Whitehead, Kristine Marguerite; Family Medicine
whiting, sharon  Elizabeth; Neurology, Pediatrics
Wiatrowska, Beata Aleksandra; Anatomical Pathology, Psychiatry
Wiebe, Scott   Christopher; Physical Medicine and Rehabilitation
Wielgosz, Andreas   Thomas Julian; Cardiology, Internal Medicine
Wiesenfeld, Lorne   Martin; Emergency Medicine
Wilkin, Geoffrey Peter; Orthopedic Surgery
Wilkins, Douglas   Frank; Psychiatry
Wilkinson, Anna   Natalie; Family Medicine
Wilkinson, Ross Stuart; Orthopedic Surgery
Williams, Lara   Judith Alexandra; Colorectal Surgery, General Surgery
Willmore, Andrew; Emergency Medicine
Wilson, Brock James Allen; Anesthesiology, Critical Care Medicine
Wilson, Margaret Anne; Family Medicine
Wilson, Nagwa Maurice; Diagnostic Radiology
Wolff, Gerald   Keith; Physical Medicine and Rehabilitation
Wong, Arthur Pak Hong; Anesthesiology
Wong, Patrick But Yim; Anesthesiology
Wong, Tommy; Family Medicine, Internal Medicine
Woo, Michael; Family Medicine, Family Medicine (Emergency Medicine)
Wood, Stephen Floyd Michael; Forensic Psychiatry, Psychiatry
Woods, Si-Ann Helen Lee; Psychiatry
Wooller, Krista Rae; Internal Medicine
Worrall, James   Christopher; Family Medicine, Family Medicine (Emergency Medicine)
Worthington, James Robert; Emergency Medicine
Woulfe, John Michael Joseph; Neuropathology
Wyand, Anna   Elizabeth Hastie; Anesthesiology
Xiong, Xin; Gastroenterology, Internal Medicine
Yachnin, Michael David
Yadav, Krishan; Emergency Medicine
Yelle, Dominique; General Internal Medicine, Internal Medicine
Ying, Yvonne; Plastic Surgery
Yiu, Stella   Hau Ming; Family Medicine, Family Medicine (Emergency Medicine)
Younes, Mazen; Family Medicine
Young, Jody-Lynn; Family Medicine
Zabel, Werner Ralph; Ophthalmology
Zackon, David   Hyman; Ophthalmology
Zakhari, Nader Zakhari Rizk; Diagnostic Radiology, Neuroradiology
Zayed, Haroun; Family Medicine, Family Medicine (Emergency Medicine)
Zayed, Sufian; Family Medicine
Zhang, James Yue; General Internal Medicine, Internal Medicine
Zia, Ayesha; Emergency Medicine
Ziai, Setareh; Ophthalmology
Zimmerman, Deborah Lynn; Internal Medicine, Nephrology
Zuckier, Lionel S; Nuclear Medicine
Zuijdwijk, Caroline   Sarah; Endocrinology and Metabolism, Pediatrics
Zunder, Ian   Howard Lindsay; Anesthesiology
Zwicker, Jocelyn Christine; Neurology
