Abd Halim, Siti  Rasyidah; Psychiatry
Sharman, Asheer; Critical Care Medicine, Internal Medicine
Shaw, Kerrie Anne; Family Medicine
Sheth, Tarang Narendra; Diagnostic Radiology
Shine, Kevin   Simon; Anesthesiology
Short, Thomas   William Defrayne; Urology
Shortt, Rodger   Allan Dawson; Plastic Surgery
Showler, Adrienne Judith; Infectious Diseases, Internal Medicine
Shulman, Richard Winston; Clinical Pharmacology, Geriatric Psychiatry, Psychiatry
Silva Gomez, Cecilia Veronica; Internal Medicine, Nephrology
Silver, Sheldon
Singal, Sewa   Ram; Internal Medicine
Singh, Narendra Chandra; Endocrinology and Metabolism, Internal Medicine
Sittambalam, Cheromi Dhanushi; Family Medicine
Siu, Eric; Anesthesiology
Skeldon, Simon   Christopher; Urology
Skipper, Robert   James; Orthopedic Surgery
Sklar, Michael Chaim; Anesthesiology
Skliarenko, Julia; Radiation Oncology
Small, Lorne Neil; Infectious Diseases, Internal Medicine
Smith, Dean Alexander; Ophthalmology
Smuczek, Joseph Anthony; Family Medicine
Smythe, Donna   Elizabeth; Family Medicine, Ophthalmology
So, Dominic   Cho Yee; Family Medicine
Soghrati, Kamyar; Internal Medicine, Respirology
Soh, Joo-Meng; Internal Medicine
Sohi, Ravinder   Kaur; Family Medicine
Song, Howard Ha-Il; Infectious Diseases, Internal Medicine
Song, Lan; Internal Medicine
Soni, Deepa; Family Medicine, Family Medicine (Emergency Medicine)
Sood, Rickesh; Family Medicine
Soowamber, Medha Laichand; Internal Medicine, Rheumatology
Soucie, Katherine   Berengere; Family Medicine
Soucy, Elaine; Internal Medicine, Rheumatology
Srebrnjak, Margaret   Jean; Anesthesiology
Srigley, John Robert; Anatomical Pathology
Staab, Randolf Albert; Psychiatry
Stein, Richard   Andrew Michael; Obstetrics and Gynecology
Stephen, Gaibrie; Family Medicine
Stirtzinger, Ruth Marie; Psychiatry
Strauss, Benjamin Jacob; Emergency Medicine
Strauss, Hans Dietrich; Cardiology, Internal Medicine
Strevel, Elizabeth   Laureen; Internal Medicine, Medical Oncology
Strike, Darius Rashid Gordon; Family Medicine
sukhi, amrita  Kaur; Internal Medicine, Nephrology
Surangiwala, Sabiha   Mohamed; Family Medicine
Swekla, Michaela; Internal Medicine
Syed, Naveed Hasan; Family Medicine
Syed, Sameer Hasan; Family Medicine
Syed, Zohair Hasan; Family Medicine
Sze, Augustine   Yue Sum; Anesthesiology
Szeto, Alvin; Family Medicine
Szymonowicz, Wanda Marina; Pediatrics
Tadkase, Ankeeta; Family Medicine
Tam, Diamond   Yat Fai; Ophthalmology
Tam, Ryan Ding Hou; Emergency Medicine
Tan, Lih Yeen; Obstetrics and Gynecology
Tang, Christine   Elizabeth; Family Medicine, Family Medicine (Emergency Medicine)
Tang, Terence Chi Yan; Internal Medicine
Tanna, Nirupam   Manilal; Anesthesiology
Targonsky, Elisha David; Family Medicine, Family Medicine (Emergency Medicine)
Taromi, Behzad; Orthopedic Surgery
Tatla, Raman Kaur; Family Medicine
Tawadros, Patrick; General Surgery
Taylor, Catherine Yvonne; Pediatrics
Taylor, Rhonda   Victoria; Family Medicine, Family Medicine (Emergency Medicine)
Teichman, Joshua Cary; Ophthalmology
Temple, Bryan   Kerry; Internal Medicine, Neurology
Teng, Lilly  Chunli; Diagnostic Radiology
Thai, Duc-Vinh; Anatomical Pathology
Tharmalingam, Amirthini; Family Medicine
Thiara, Amneet; Geriatric Medicine, Internal Medicine
Thompson, Courtney Ann; Infectious Diseases, Internal Medicine
Tigert, Scott Stephen; Obstetrics and Gynecology
Tin, Lancelot Kwok-Leung; General Surgery
Tishler, Steven   Jonathan; Cardiology, Internal Medicine
Tom, Stephanie; Internal Medicine, Rheumatology
Toth, Adam Andrew; Otolaryngology - Head and Neck Surgery
Toth, Peter; Family Medicine, Family Medicine (Emergency Medicine)
Traer, Julia; Family Medicine, Family Medicine (Emergency Medicine)
Tran, Cuong Ngoc; Diagnostic Radiology
Tran, Maithy   Ngoc; Internal Medicine, Rheumatology
Turley, Conor  Benedict; Plastic Surgery
Tutino, Roberto; Plastic Surgery
Ubhi, Verjinderpal   Singh; Family Medicine
Uddin, Sameena; General Surgery, Thoracic Surgery
Ueng, Joanna Jia-Miin; Internal Medicine, Rheumatology
Uppal, Navjeet Kaur; Internal Medicine, Respirology
Usmani, Yasmine Ilona; Obstetrics and Gynecology
VanderBeek, Laura   Eileen; General Surgery
VanHouwelingen, Lisa   Taylor; General Surgery, Pediatric Surgery
Varma, Devesh   Kumar; Ophthalmology
Varughese, Jobin Mathew; Family Medicine
Vetivelu, Abeiramey; Family Medicine
Vettese, Antonio; Ophthalmology
Vickar, Darby   Kelly; Diagnostic Radiology
Vickers, Janet Anne; Family Medicine, Family Medicine (Emergency Medicine)
Vira, Farzana; Internal Medicine
Virdee, Manjit Singh; Family Medicine
Vojvodich, Sandy Maria; Otolaryngology - Head and Neck Surgery
von Schlegell, Ahmad   Shariff; Family Medicine, Geriatric Medicine
Vucemilo, Ivica; General Surgery, Vascular Surgery
Wade, Carol Louise; Obstetrics and Gynecology
Wadgymar, Arturo  Arturo; Internal Medicine, Nephrology
Waisman, Darcy Catherine Anne; Psychiatry
Walling, Marvlyn   Andrea; Family Medicine
Walton, Jonathan   Mark; General Surgery, Pediatric General Surgery
Wan, Jonathan Fung; Radiation Oncology
Wang, Bingxi; General Internal Medicine, Internal Medicine
Wang, Michelle Jai-Chin; Pediatrics
Wang, Yongjin; Radiation Oncology
Ward, Susan   Elizabeth; Diagnostic Radiology
Webster, Christine Evelyn; Dermatology
Weisleder, Louis   Moshe; Orthopedic Surgery
Werneck, Christiane Campolina Furquim; Vascular Surgery
Wigle, Hannah Jane McFarlane; Pediatrics
Wolski, Winicjusz Marek; Internal Medicine, Respirology
Wong, Albert   Gee-Meng; Clinical Immunology, Internal Medicine
Wong, Bill Ike; Anesthesiology
Wong, Gordon   Kwok Tung; Internal Medicine, Nephrology
Wong, Kelly Doug-Yuan; Diagnostic Radiology, Family Medicine, Family Medicine (Emergency Medicine)
Wong, Victor   Choon Hoe; Family Medicine
Woo, Glenn   Malcolm; Diagnostic Radiology
Wood, Stuart James; Family Medicine
Woodsford, Mathew   Noel; Family Medicine
Woolford, Lorraine; Obstetrics and Gynecology
Woolfson, Neil   Benjamin; General Surgery
Wright, Alison Frances Catherine; Family Medicine
Wu, George Gettin; Internal Medicine, Nephrology
Wyne, Ahraaz; General Internal Medicine, Internal Medicine
Wytsma, Julia Laura; Family Medicine, Family Medicine (Emergency Medicine)
Xi, Neng Nancy; Family Medicine
Yashpal, Nina; Family Medicine
Yelovich, Mary-Clair; Internal Medicine, Rheumatology
Yim, Gary Yu-Gar
Yin, Penny Peini; General Internal Medicine, Internal Medicine
Ying, Melissa   Susan; Family Medicine, General Surgery
Yokom, Daniel William; Internal Medicine, Medical Oncology
You, John Joon-Young; Internal Medicine
Younan, Sawsan   Ibrahim
Young, Amanda   Grace; Internal Medicine
Yudin, Jovana; Hematology, Internal Medicine
Yuen, Jasper   See Yin; Radiation Oncology
Zajdman, Michael   Lucian; Pediatrics
Zaretsky, Yael Sima; Hematology, Internal Medicine
Zarifa, Gihane   W; Family Medicine
Zeng, Jie; General Pathology
Zenlea, Ian Spencer; Pediatrics
Zhang, Kenny   Jian; Family Medicine
Zhang, Phil Xu; Family Medicine, Family Medicine (Emergency Medicine)
Zheng, Luyu; Family Medicine
Zigras, Tiffany Christina; Gynecologic Oncology, Obstetrics and Gynecology
Zilbert, Nathan Richard; General Surgery
Zivkovic, George; Family Medicine, Family Medicine (Emergency Medicine)
