Aaron, Shawn   David; Internal Medicine, Respirology
McLean, Laurie Elizabeth; Otolaryngology - Head and Neck Surgery
McMurray, Lindsey Daun; Emergency Medicine
McVicar, Jason   Alan Joseph; Anesthesiology
Meggison, Hilary Erin; Endocrinology and Metabolism, Internal Medicine
Mendell, Lawrence   Melvyn; Diagnostic Radiology
Mercer, Deanna Marie; Psychiatry
Merchant, Pradeep   Pranlal; Pediatrics
Mervitz, Deborah Louise; Anesthesiology
Mestre, Tiago   Alexandre; Neurology
Meulenkamp, Bradley George; Orthopedic Surgery
Microys, Sherissa   Lynn; Anesthesiology
Midzic, Ines; Internal Medicine, Rheumatology
Mikhael, Dalia; Dermatology
Mikhail, Eric; Psychiatry
Millar, David   Ross; Family Medicine
Miller, Barbara   Christine; Family Medicine, Family Medicine (Emergency Medicine)
Miller, Elizabeth Clarke; Anesthesiology
Miller, Elka; Diagnostic Radiology, Pediatric Radiology
Miller, William David; Diagnostic Radiology
Millington, Scott Jeffrey; Critical Care Medicine, Internal Medicine
Milman, Nataliya; Internal Medicine, Rheumatology
Mir, Mary Colleen; Family Medicine
Mitchell, Simeon; Emergency Medicine
Moffett, Stephane; Anesthesiology
Moghadam, Soraya; Internal Medicine, Nephrology
Mohammed, Safraz; Neurosurgery
Moise, John Palmer; Psychiatry
Moledina, Irfan Karim; Pediatrics
Molnar, Frank   Joseph; Geriatric Medicine, Internal Medicine
Moloo, Husein; General Surgery
Momtazi, Moein; Plastic Surgery
Mong, Jonathan Choon-Haw; Internal Medicine
Montpetit, Madeleine Rita Maria; Family Medicine
Moores, Daisy Elizabeth; Family Medicine
Moran, Patrick   Bruce; Cardiology, Internal Medicine
Moran, Timothy Dennis; Psychiatry
Morash, Christopher Grant Linwood; Urology
Morassut, Patricia Angela; Internal Medicine, Rheumatology
Morgan, Scott Carlyle; Radiation Oncology
Morton, Grazyna; Psychiatry
Mossdorf, Philipp; Anesthesiology
Motamedi, Farhad; Family Medicine
Mottiar, Miriam Annice Janet; Anesthesiology
Moulton, Richard Jack; Neurosurgery
Moyana, Terence Nesbert; Anatomical Pathology
Muldoon, Laura   Kathleen; Community Medicine, Family Medicine
Mulpuru, Sunita Sheila; Internal Medicine, Respirology
Munene, Peter Mathenge; General Internal Medicine, Internal Medicine
Munro, Camille; Family Medicine
Munro, Shane   Matthew; Ophthalmology
Murnaghan, Marion   Aleisha; Emergency Medicine
Murphy, Patrick   Gerard; Otolaryngology - Head and Neck Surgery
Murphy, Patti Elizabeth; Anesthesiology
Murphy, Rebekah Jane; Family Medicine
Murthy, Sanjay Krishna; Gastroenterology, Internal Medicine
Murto, Kimmo   Tomi Tapio; Anesthesiology
Musawir, Amtul; Internal Medicine
Musselman, Reilly Patrick; Colorectal Surgery, General Surgery
Mutter, Eric Leslie; Emergency Medicine
Mykytyshyn, Christopher Ivan Edward; Family Medicine
Myles, Wellington   Michael; Ophthalmology
Nadeau, Johane; Geriatric Psychiatry, Psychiatry
Naghdi, Reza; Internal Medicine
Nagpal, Sudhir   Kumar; General Surgery, Vascular Surgery
Naik, Viren; Anesthesiology
Nair, Girish Madhavan; Cardiology, Cardiology, Internal Medicine
Nair, Vidhya; Anatomical Pathology
Naraine, Nadira   Denise; Anesthesiology
Nath, Avik; Family Medicine, Family Medicine (Emergency Medicine)
Neilipovitz, Dave  Thomas; Anesthesiology
Nery, Pablo Balbuena; Cardiology
Nessim, Carolyn; General Surgery
Neville, Amy Anne; General Surgery
Nguyen, Thanh Binh; Diagnostic Radiology
Nguyen, Tung   Thanh Cao; Neurology
Norman, Lawrence   Israel; Family Medicine, Family Medicine (Emergency Medicine)
Nott, Caroline; Infectious Diseases, Internal Medicine
Nussbaum, Christopher   Jeffrey; Family Medicine, Family Medicine (Emergency Medicine)
Oake, Jeffrey   Stuart; Urology
O'Brien, Michael William; Emergency Medicine
Odell, Michael Jeffery; Otolaryngology - Head and Neck Surgery
Odorizzi, Scott Randall; Emergency Medicine
O'Keefe, Debrah Lynn; Internal Medicine, Rheumatology
O'Kelly, Kevin Francis; Diagnostic Radiology
O'Meara, Paloma Clare; Internal Medicine
Ooi, Teik Chye; Internal Medicine
O'Shea, Eoghan   Brendan; Family Medicine
O'Sullivan, Joseph   Patrick
Ouyang, Eva Yifang; Pediatrics
Padmore, Ruth Frances; Anatomical Pathology, Hematological Pathology
Pageau, Paul Gerard; Family Medicine, Family Medicine (Emergency Medicine)
Pagliarello, Giuseppe; General Surgery
Pakhale, Smita Sakharam; Internal Medicine, Respirology
Pan, Andy; Critical Care Medicine, Emergency Medicine
Pantarotto, Jason   Rene; Radiation Oncology
Papadatos, Demetrios; Diagnostic Radiology
Papp, Steve  Ray; Orthopedic Surgery
Parker, Jacqueline Mary; Family Medicine, Family Medicine (Emergency Medicine)
Parker, Vivien Shue Wei; Neurology
Pascali, Dante   Umberto; Obstetrics and Gynecology
Patel, Rakesh   Vishnu; Internal Medicine
Pazhekattu, Rinu; Internal Medicine, Nephrology
Pease, Christopher Andrew; Internal Medicine, Respirology
Peddle, Susan Elizabeth; Diagnostic Radiology
Pena Fernandez, Elena; Diagnostic Radiology
Penning, Johannes   Pieter; Anesthesiology
Perry, Gad   Alexander; Radiation Oncology
Persaud, Desiree   Aloma; Anesthesiology
Peters, Daniel   Albert; Plastic Surgery
Peterson, Rebecca; Diagnostic Radiology
Petit, Lyndal Christine; Psychiatry
Pham, Xuan Huyen; Nuclear Medicine
Phan, Philippe Tran Nhut; Orthopedic Surgery
Pipe, Andrew   Lawrence
Pitt, Dennis   Frederick; General Surgery
Planet, Jean-Francois; Otolaryngology - Head and Neck Surgery
Po, Joseph   Lysander; Anesthesiology, Critical Care Medicine
Poitras, Jacqueline Emily Helen; Family Medicine
Poleski, Steven   Allan; Ophthalmology
Polis, Tomasz; Anesthesiology
Poulin, Anthony; Cardiology, Internal Medicine
Power, Barbara Elizabeth; Geriatric Medicine, Internal Medicine
Power, Daniel Jonathan; Anesthesiology, Family Medicine, Family Medicine (Emergency Medicine)
Pratt, Melanie   Dawn; Dermatology
Pringle, Catherine Elizabeth; Neurology
Prokopetz, Robert Donald; Anatomical Pathology, Dermatology
Promislow, Steven   Joseph; Cardiology, Internal Medicine
Pugh, Debra   Marilyn; Internal Medicine
Purgina, Bibianna Maria; Anatomical Pathology
Putnins, Rita Elwine; Diagnostic Radiology
QUATEEN, AIMAN  Salem; Diagnostic Radiology
Quon, Deanna Lee; Physical Medicine and Rehabilitation
Quon, Matthew Kwok; Diagnostic Radiology
Quon, Michael Joseph; General Internal Medicine, Internal Medicine
Rabheru, Kiran; Family Medicine, Geriatric Psychiatry, Psychiatry
Radhakrishnan, Arun   Kumar; Family Medicine
Rainbow, Sandra Marie Lynne; Family Medicine, Family Medicine (Emergency Medicine)
Rakhra, Kawanpreet Singh; Diagnostic Radiology
Ramlogan, Reva Reeshard; Anesthesiology
Rao, Nasa   Sanjay Kumar; Psychiatry
Rashidi, Babak; General Internal Medicine, Internal Medicine
Rastogi, Nikhil Kumar; Anesthesiology
Rasuli, Pasteur; Diagnostic Radiology
Ravichandran, Pranavi; Vascular Surgery
Raymond, Francois; Nuclear Medicine
Read, Brandi   Louise; Family Medicine, Family Medicine (Emergency Medicine)
Reaume, Martin   Neil; Internal Medicine, Medical Oncology
Redpath, Calum Jon; Cardiology
Rekman, Janelle Francine; General Surgery
Replete, Nina; Pediatrics
Ressler, Ladislaus Josef; Cardiac Surgery
Revah, Giselle; Diagnostic Radiology
Ribchinsky, Sofia; Family Medicine
Ribeyre, Jean-Marie Michel
Rice, Jill   Lorraine; Family Medicine
Rice, Sarah Christie; Family Medicine
Ritcey, Brandon  William; Emergency Medicine
Ritchie, Robert   Gordon; Diagnostic Radiology
Rivet, Christine Cecile; Family Medicine, Family Medicine (Emergency Medicine)
Robblee, James A; Anesthesiology
Robert, Joshua Michael; Anesthesiology
Roberts, Matthew   Thomas; Urology
Robertson McCurdy, Arleigh Beth; Hematology, Internal Medicine
Rockwell, Gloria Morene; Plastic Surgery
Rogalska, Tetyana; Family Medicine
Rogan Ducic, Milena; Psychiatry
Romanova, Anna; General Internal Medicine, Internal Medicine
Rose, Gregory   Walter; Infectious Diseases, Internal Medicine
Rosenberg, Erin Alexandra; Critical Care Medicine, Internal Medicine
Rosenberg, Hans; Family Medicine, Family Medicine (Emergency Medicine)
Rostom, Alaa Mostafa Kamel Ahmed; Gastroenterology, Internal Medicine
Rotaru, Carmen; Diagnostic Radiology
Roth, Virginia   Ruth; Infectious Diseases, Internal Medicine
Rousseau, Melissa; Internal Medicine
Rowe, Neal Ernest; Urology
Rubin, Michael Ellery; Emergency Medicine
Ruddy, Terrence David; Cardiology, Internal Medicine
Rush, Carolina Ana Estefania; Neurology
Russell, Sarah Ashley; Psychiatry
Rutherford, Michael Nevin; Anatomical Pathology
Ruzicka, Marcel; Internal Medicine, Nephrology
Ryan, Gail   Lynn; Anesthesiology
Ryan, John Gerard; Diagnostic Radiology
Ryan, Stephen   Edward; Diagnostic Radiology
Sabloff, Mitchell; Hematology, Internal Medicine
Sabourin, Kenneth Bernard; Family Medicine
Sachs, Adam Joshua; Neurosurgery
Sadek, Mouhannad   M; Cardiology, Internal Medicine
Sampaio, Marcos Loreto; Diagnostic Radiology
Sampsel, Kari   Lynn; Emergency Medicine
Sandoz, Jacqueline Susanne; Internal Medicine, Respirology
Sandre, Roger   Martin; Infectious Diseases, Internal Medicine
Sarti, Aimee June; Internal Medicine
Saul, Daniel Israel; Psychiatry
Scarvelis, Dimitrios; Hematology, Internal Medicine
Schachter, Joyce; Obstetrics and Gynecology
Scherer, Nita; Otolaryngology - Head and Neck Surgery
Schieda, Nicola; Diagnostic Radiology
Schlossmacher, Michael   Gebhard; Neurology
Schramm, David Ronald; Otolaryngology - Head and Neck Surgery
Schwarz, Fabian; Family Medicine
Scott, John Fraser
Scott-Moncrieff, Andrew Grant; Diagnostic Radiology
Scully, Linda Jane; Gastroenterology, Internal Medicine
Seely, Andrew John Ervine; General Surgery, Thoracic Surgery
Seely, Jean Morag; Diagnostic Radiology
Sehdev, Sandeep   Raj; Internal Medicine, Medical Oncology
Sellers, Laura Pauline; Family Medicine
Setterfield, Jeremy George; Urology
Shabana, Wael Mansour; Diagnostic Radiology
Shamy, Michel Christopher Frank; Neurology
Shariff, Aftab Mohamed; Pediatrics
Sharma, Kamal; Cardiology, Internal Medicine
Sharma, Krishna; Internal Medicine, Respirology
Shaw, Tammy Yau; Family Medicine, Internal Medicine
Shaw-Stiffel, Thomas Alvin William; Gastroenterology, Internal Medicine
Shenassa, Hassan; Obstetrics and Gynecology
Shiau, Judy   Yi-Nan; Internal Medicine
Shiga, Sarah   Ann; Plastic Surgery
Shlik, Jakov; Psychiatry
Shmorgun, Doron; Obstetrics and Gynecology
Shulakewych, Markian   Oleh; Diagnostic Radiology
Silver, Lesley Carmela Ann; Anesthesiology
Silverman, Howard   Jeffrey; Plastic Surgery
Simard, Trevor; Cardiology, Internal Medicine
Sinclair, John; Neurosurgery
Singh, Sukhbir Sony; Obstetrics and Gynecology
Sisto, Alfred; Pediatrics
Sitwell, Lucian   Donald; Internal Medicine, Neurology
Skinner, Christopher Robin Rufus; Internal Medicine, Neurology
Small, Gary Robert
Smith, Andrew   Lawrence; Psychiatry
Smith, Karlene Ingrid; Family Medicine
Smith, Kevin   David; Ophthalmology
Smith, Leah Madeline; Family Medicine
Smith, Sean Cameron; Plastic Surgery
Smithies, Mila; Maternal Fetal Medicine, Obstetrics and Gynecology
Smyth, Catherine Elizabeth; Anesthesiology
Smyth, Karl Richard; Diagnostic Radiology
Sohmer, Benjamin; Anesthesiology
Soltys, Katherine   Marie
Sood, Manish   Micheal; Internal Medicine, Nephrology
Sorisky, Alexander   Martin; Endocrinology and Metabolism, Internal Medicine, Medical Biochemistry
Soucy, Louis   Joseph; Psychiatry
Souza, Carolina Althoff; Diagnostic Radiology
Spacek, Alena Marie; Family Medicine, Family Medicine (Emergency Medicine)
Spenser, Helen   Ruth; Child and Adolescent Psychiatry, Family Medicine, Psychiatry
Spilg, Edward   George; Geriatric Medicine
Splinter, William   Maria; Anesthesiology
Spring, Shanna; Dermatology
Sreenivasan, Vidya Anandhi; Physical Medicine and Rehabilitation
Stadnick, Ellamae; Cardiology, Internal Medicine
Stalder, Marc   Timothy; Anesthesiology
Sterrett, Ashley Gray; Rheumatology
Stewart, Duncan John; Cardiology, Internal Medicine
Stiell, Andrew Pettigrew; Family Medicine, Family Medicine (Emergency Medicine)
Stiell, Ian   Gilmour; Emergency Medicine
St-Jean, Mireille   Corinne; Family Medicine
Stotts, Grant James; Neurology
Straszak-Suri, Marina   Anna; Obstetrics and Gynecology
Stratton, Alexandra Christina Rose; Orthopedic Surgery
Strike, Melanie Katherine; Forensic Psychiatry, Psychiatry
Suh, Kathryn   Nuala; Infectious Diseases
Sullivan, Patrick   Joseph; Anesthesiology
Sundaresan, Ramanadhan   Sudhir; General Surgery, Thoracic Surgery
Swan, Victoria Jessie Dowse; Family Medicine
Swedani, Albert; Family Medicine
Swenson, John Robert; Psychiatry
Sy, Richmond Go; Gastroenterology, Internal Medicine
Syed, Ali   Shahbaz; Emergency Medicine
Szeto, Michael; Anesthesiology
Tadros, Shaheer; General Surgery
Tahirkheli, Surriya Jabeen; Psychiatry
Tamboli, Mharukh   Yezdi
Tawagi, Fawsi Georges; Obstetrics and Gynecology
Tawil, Youssef; General Internal Medicine, Internal Medicine
Thiruganasambandamoorthy, Venkatesh; Family Medicine, Family Medicine (Emergency Medicine)
Thomas, Gordon Robert; Geriatric Psychiatry, Psychiatry
Thurgur, Lisa Dawn; Emergency Medicine
Tierney, Sarah Lynn; Anesthesiology
Timpson, Deborah   Jean; Physical Medicine and Rehabilitation
Tinmouth, Alan Thomas; Hematology, Internal Medicine
Tirado, Rossana Maria; Pediatrics
Torres, Carlos Hernando; Diagnostic Radiology, Neuroradiology
Touchie, Claire Elizabeth; Infectious Diseases, Internal Medicine, Medical Microbiology
Toupin, Melissa; Hematology, Internal Medicine
Toye, Baldwin   Wing; Infectious Diseases, Internal Medicine, Medical Microbiology
Tracey, Scott   Joseph; Family Medicine
Tran, Christopher Shi-Jie; Endocrinology and Metabolism, Internal Medicine
Tran, Diem   Thu Thi; Anesthesiology
Troppmann, Leticia   Ann; Internal Medicine
Trull, Brent Charles Lister; Plastic Surgery
Tsai, Eve   Chung; Neurosurgery
Tse, Darren Patrick Chun Yin; Otolaryngology - Head and Neck Surgery
Tsien, Cynthia; Gastroenterology, Internal Medicine
Tsoulis, David James; Dermatology
Tugwell, Peter Stuart Lewin; Internal Medicine
Tuli, Raman; Ophthalmology
Turek, Michele Anna; Cardiology, Internal Medicine
Turley, Jolanda Catherina; Family Medicine
Turnbull, Jeffrey   Michael; Internal Medicine
Vadeboncoeur, Christina   Marie; Pediatrics
Vaillancourt, Christian; Emergency Medicine
Van Walraven, Carl   Gerald; General Internal Medicine, Internal Medicine
Vassiliou, Demetra; Obstetrics and Gynecology
Vause, Tannys Dawn Reiko; Obstetrics and Gynecology
Veinot, John Porter; Anatomical Pathology
Verma, Raman   Kumar; Diagnostic Radiology
Vexler, Ronald Melvin; Cardiology, Internal Medicine
Victor, Gary   Howard; Infectious Diseases, Internal Medicine
Vigil, Humberto Rene; Urology
Villeneuve, Patrick   James; General Surgery, Thoracic Surgery
Villeneuve, Pierre; Hematology, Internal Medicine
Viner, Gary   Stephen; Family Medicine
Visser, Karen Ann Lee; Obstetrics and Gynecology
Voduc, Nha; Internal Medicine, Respirology
Wai, Eugene   Kenneth; Orthopedic Surgery
Walker, Emily; Maternal Fetal Medicine, Obstetrics and Gynecology
Walker, Gregory Brett; Neurology
Walker, Mark   Clarance; Obstetrics and Gynecology
Walsh, Caolan Matthew John; General Surgery
Walsh, Cynthia Blanche; Diagnostic Radiology
Walsh-Bergin, Paula; Psychiatry
Ward, Helen   Catherine; Psychiatry
Warman Chardon, Jodi; Neurology
Warmington, Rebecca Lynn; Family Medicine
Warren, Jeffrey; Urology
Watson, John   Brown; Anesthesiology
Watterson, James David; Urology
Weatherhead, Louis   Edward Peirce; Dermatology
Weitzman, Brian   Neil; Emergency Medicine, Family Medicine, Family Medicine (Emergency Medicine)
Wells, Philip Stephen; Hematology, Internal Medicine
Werier, Joel Michael; Orthopedic Surgery
Wheeler, Kathryn Suzanne; Anesthesiology
Wherrett, Christopher   George; Anesthesiology
Whetter, Christine   Rae; Internal Medicine
Whitehead, Kristine Marguerite; Family Medicine
Wiatrowska, Beata Aleksandra; Anatomical Pathology, Psychiatry
Wiebe, Scott   Christopher; Physical Medicine and Rehabilitation
Wielgosz, Andreas   Thomas Julian; Cardiology, Internal Medicine
Wiesenfeld, Lorne   Martin; Emergency Medicine
Wilkin, Geoffrey Peter; Orthopedic Surgery
Wilkins, Douglas   Frank; Psychiatry
Wilkinson, Ross Stuart; Orthopedic Surgery
Williams, Lara   Judith Alexandra; Colorectal Surgery, General Surgery
Willmore, Andrew; Emergency Medicine
Wilson, Brock James Allen; Anesthesiology, Critical Care Medicine
Wilson, Kumanan Rasihan; Internal Medicine
Wilson, Margaret Anne; Family Medicine
Wilson, Nagwa Maurice; Diagnostic Radiology
Wolff, Gerald   Keith; Physical Medicine and Rehabilitation
Wong, Arthur Pak Hong; Anesthesiology
Wong, Patrick But Yim; Anesthesiology
Wong, Tommy; Family Medicine, Internal Medicine
Woo, Michael; Family Medicine, Family Medicine (Emergency Medicine)
Woods, Si-Ann Helen Lee; Psychiatry
Wooller, Krista Rae; Internal Medicine
Wooltorton, Eric   John; Family Medicine
Worrall, James   Christopher; Family Medicine, Family Medicine (Emergency Medicine)
Worthington, James Robert; Emergency Medicine
Woulfe, John Michael Joseph; Neuropathology
Wyand, Anna   Elizabeth Hastie; Anesthesiology
Xiong, Xin; Gastroenterology, Internal Medicine
Yadav, Krishan; Emergency Medicine
Yegappan, Chidambaram; Anesthesiology, Critical Care Medicine
Yelle, Dominique; General Internal Medicine, Internal Medicine
Yelle, Joseph   Philibert Jean Denis; General Surgery
Yeung, Marianne   Yee-Ting; Family Medicine, Family Medicine (Emergency Medicine)
Ying, Yvonne; Plastic Surgery
Yiu, Stella   Hau Ming; Family Medicine, Family Medicine (Emergency Medicine)
Young, Jody-Lynn; Family Medicine
Zabel, Werner Ralph; Ophthalmology
Zackon, David   Hyman; Ophthalmology
Zakhari, Nader Zakhari Rizk; Diagnostic Radiology, Neuroradiology
Zayed, Haroun; Family Medicine, Family Medicine (Emergency Medicine)
Zayed, Moaweya; Family Medicine
Zeng, Wanzhen; Nuclear Medicine
Zhang, James Yue; General Internal Medicine, Internal Medicine
Zhang, Jing; Plastic Surgery
Zia, Ayesha; Emergency Medicine
Zimmerman, Deborah Lynn; Internal Medicine, Nephrology
Zuckier, Lionel S; Nuclear Medicine
Zumrova, Andrea; Family Medicine
Zunder, Ian   Howard Lindsay; Anesthesiology
Zwicker, Jocelyn Christine; Neurology
