Abu Rafea, Basim   Fouad A; Obstetrics and Gynecology
Sultan, Nabil   Mohamed; Internal Medicine, Nephrology
Sunderji, Salim Habib Jaffer; Family Medicine
Suskin, Neville   Gordon; Cardiology, Internal Medicine
Sy, John   Chua
Symonette, Caitlin Jane; Plastic Surgery
Symons, Yahui Tammy; Anesthesiology
Tanaka, Peter   Michael; Family Medicine, Family Medicine (Emergency Medicine)
Taneja, Ravi; Anesthesiology
Taves, Donald   Henry; Diagnostic Radiology
Tawfic Hamodi, Qutaiba Amir; Anesthesiology
Tay, Keng Yeow; Diagnostic Radiology
Taylor, David   Clifton; Emergency Medicine, Orthopedic Surgery
Teefy, Patrick John; Cardiology, Internal Medicine
Thain, Andrew Peter; Cardiology, Internal Medicine
Theakston, Karl   Douglas
Thompson, Charles   Andrew; Emergency Medicine
Thomsen, John   Eric; Ophthalmology
Thornton, Jane Susannah; Family Medicine
Thurgood, Elaine Norene
Tingey, David Paul; Ophthalmology
Tokarewicz, Alexander   Christopher; Ophthalmology
Tuck, Alan Bradley; Anatomical Pathology
Tugaleva, Elena; Anatomical Pathology, Forensic Pathology
Turkstra, Timothy   Philip; Anesthesiology
Tzemos, Nikolaos; Cardiology
Usher, Ann Kathryn; Obstetrics and Gynecology
Valiquet, Stacey Kathleen; Family Medicine, Family Medicine (Emergency Medicine)
Van Doormaal, Curtis John; Family Medicine, Family Medicine (Emergency Medicine)
Van Koughnett, Julie Ann Marie; Colorectal Surgery, General Surgery
Van Uum, Stanislaus   Hendrikus Maria; Endocrinology and Metabolism, Internal Medicine
Vannelli, Antonio Michele; Anesthesiology
Varapravan, Sreelatha   Panicker; Psychiatry
Vasarhelyi, Edward Moore; Orthopedic Surgery
Vergel de Dios, Jennifer Ann; Anesthesiology
Vezina, William Colin; Diagnostic Radiology, Nuclear Medicine
Vilos, Angelos George Christos; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
Vinden, Christopher Martyn; General Surgery
Vogt, Kelly; General Surgery
Vopicka, Avaleen   Ann; Family Medicine, Family Medicine (Emergency Medicine)
Walker, Cyril   Robin; Pediatrics
Walker, Tara Lee; Family Medicine
Walsh, Joanna   Clare; Anatomical Pathology
Warren, David William; Family Medicine, Family Medicine (Emergency Medicine), Pediatrics
Warrington, James Claude; Nuclear Medicine
Watling, Christopher John; Neurology
Watson, James   Thomas; Anesthesiology
Wehrli, Bret   Michael; Anatomical Pathology
Weir, Michele Monique; Anatomical Pathology
Weisz, Sarah Eva Marie; Internal Medicine
Welk, Blayne Kaili; Urology
Wells, Jennie   Louise; Geriatric Medicine, Internal Medicine
Wenske, Thomas   Roland
Wetmore, Stephen   James; Family Medicine
Wilejto, Marta; Pediatrics
Willits, Kevin Roy; Orthopedic Surgery
Wilson, Aze   Suzanne Aliu; Gastroenterology, Internal Medicine
Winquist, Eric   William; Internal Medicine, Medical Oncology
Wisenberg, Gerald; Cardiology, Internal Medicine
Wong, Eric   Kwok Wai; Family Medicine
Wong, Frank   Gee; Family Medicine
Woolfrey, Karen   Grace Howell; Emergency Medicine
Wyllie, Blair   Frederick; Internal Medicine, Nephrology
Yamashita, Cory Masaru; Internal Medicine, Respirology
Yan, Brian   Michael; Gastroenterology, Internal Medicine
Yan, Justin Way-Ben; Emergency Medicine
Yaremko, Brian Patrick; Radiation Oncology
Yazdani, Arjang; Plastic Surgery
Ybarra Martins de Oliveira, Luiz Fernando; Cardiology, Internal Medicine
Yee, Raymond; Cardiology
Yoo, John Heung Joon; Otolaryngology - Head and Neck Surgery
Young, Gordon   Bryan; Neurology
Yu, Andrea Carmen; Medical Genetics and Genomics
Yu, Jeffrey Yao Chiun; General Internal Medicine, Internal Medicine
Zafar, Saira; Internal Medicine
Zaleski, Witold   Michael; Diagnostic Radiology
Zeman-Pocrnich, Cady Erika; Anatomical Pathology
Zhang, Qi; Anatomical Pathology, Neuropathology
Zhu, Nemin Adam; Family Medicine
