Abdollah, Hoshiar; Cardiology
Tarulli, Emidio; Diagnostic Radiology
Taylor, David   Ronald; Internal Medicine, Nephrology
Taylor, James; Family Medicine
Teitelbaum, Louise   Ellen; Psychiatry
Ten Hove, Martin   William; Ophthalmology
Tessier, Julie   Louise; Obstetrics and Gynecology
Thain, Sou; Radiation Oncology
Thakrar, Amar; Cardiology, Internal Medicine
Thompson, Erica Marjorie; Family Medicine
Tolton, Rani Gurinderjitpal; Family Medicine
Tomiak, Anna   Theresa; Internal Medicine, Medical Oncology
Touma, Naji   Joseph; Urology
Towheed, Tanveer   Ezad; Internal Medicine, Rheumatology
Toyota, Brian   Dean; Neurosurgery
Train, Anthony D.; Family Medicine
Trier, Jessica Marie; Physical Medicine and Rehabilitation
Trojanowski, Jan   Adam; Critical Care Medicine, Emergency Medicine
Truong, Lan-Linh
Turner, Kim   Elizabeth; Anesthesiology
Urton, Todd Elliott; Ophthalmology
Valverde da Conceicao, Tatiana; Child and Adolescent Psychiatry, Psychiatry
Van Vlymen, Janet   Miriam; Anesthesiology
Van Wylick, Richard   Cecil; Pediatrics
Vanner, Stephen   James; Gastroenterology, Internal Medicine
Varma, Sonal; Anatomical Pathology
Vazquez, Gustavo   Hector; Psychiatry
Velez Gomez, Maria   Del Pilar; Obstetrics and Gynecology
Vera Badillo, Francisco   Emilio; Medical Oncology
Viaznikova, Tatiana; Family Medicine
Villamere, James Patrick; General Surgery
Vozoris, Nicholas   Theodore; Internal Medicine, Respirology
Waddington, Ashley; Obstetrics and Gynecology
Waidyaratne-Wijeratne, Nishardi Tharu; Psychiatry
Walia, Jagdeep Singh; Medical Genetics and Genomics
Walker, David   Michael Cumnor; Internal Medicine
Walker, George Ross; General Surgery
Wallace, Michael Christopher; Neurosurgery
Wang, Ami Cheng Cheng; Anatomical Pathology
Wang, Louie   Ti Siang; Anesthesiology
Wang, Tao; Anatomical Pathology
Wang, Xi; Diagnostic Radiology
Warren, Zachary Aloysius; Emergency Medicine
Watkins, Jessica   Anne; Anesthesiology
Watkins, John   Frederick; Plastic Surgery
Watson, Shayna   Lynn; Family Medicine
Watt, Janet   Anne; Family Medicine
Wattam, David   Phillip; Internal Medicine
Webb, Katie Anne Dorothy; Family Medicine
Weinstein, Miriam Gayla; Dermatology, Pediatrics
Weir, Erica; Community Medicine, Family Medicine
Welihinda, Hasitha Thilan; Internal Medicine, Nephrology
Wheaton, Laura Catherine; Pediatric Hematology/Oncology, Pediatrics
White, Christine Anne; Internal Medicine, Nephrology
Wijeratne, Don Thiwanka Dilshan; General Internal Medicine, Internal Medicine
Wijeratne, Hennayaka   Mudiyanselage Rasika; Family Medicine
Willms, Joanna Lillian Vanderwagen; Family Medicine
Wilson, Evan William; Infectious Diseases, Internal Medicine
Wilson, Meghan Dawn; Family Medicine
Winsor, Emily Paige; Family Medicine
Winston, Gavin   Paul; Neurology
Winthrop, Andrea Lynn; General Surgery, Pediatric General Surgery
Wolfrom, Brent David; Family Medicine
Wood, Gavin   Campbell Angus; Orthopedic Surgery
Wood, Kristi Sue; Orthopedic Surgery
Wood, Stephanie   Anne; Ophthalmology
Wu, Zijing; General Internal Medicine, Internal Medicine
Yach, Jeffrey   David; Orthopedic Surgery
Yacob, Michael Mina; Vascular Surgery
Yang, Megan Anne; Psychiatry
Yankova, Sylvia   Angelova; Family Medicine
Yeates, Karen Elizabeth; Internal Medicine, Nephrology
Yen, David; Orthopedic Surgery
Ynoe de Moraes, Fabio; Radiation Oncology
Zalan, Elise Julie; Anesthesiology
Zaza, Khaled   Osman Abdel-Fattah; Radiation Oncology
Zelt, David Terence; General Surgery, Vascular Surgery
Zevin, Boris; General Surgery
Zhang, Euan; Diagnostic Radiology
Zoratto, Dana Christine Bech-Hansen; Anesthesiology
Zouros, Irene   Adamantia; Family Medicine, Family Medicine (Emergency Medicine)
Zoutman, Dick   Eric; Infectious Diseases, Internal Medicine, Medical Microbiology
