Abadir, Anna Maria A; Psychiatry
O'Leary, Gerald   Martin; Anesthesiology
O'Malley, Martin Enda; Diagnostic Radiology
Omar, Ahmed Hadi Ali; Rheumatology
Oshidari, Alborz; Physical Medicine and Rehabilitation
Osten, Mark   David; Cardiology, Internal Medicine
O'Sullivan, Rory John; Family Medicine, Family Medicine (Emergency Medicine)
Overgaard, Christopher Brian; Cardiology, Internal Medicine
Paek, Wusun; Obstetrics and Gynecology
Page, Andrea   Vaughn; Infectious Diseases, Internal Medicine
Pagnoux, Christian; Internal Medicine, Rheumatology
Pakkal, Mini   Vithal; Diagnostic Radiology
Panisko, Daniel   Michael; Internal Medicine
Parekh, Neal   Ashok; Neurology
Parekh, Rulan Savita; Nephrology, Pediatrics
Parikh, Sagar V; Psychiatry
Pariser, Pauline Celia; Family Medicine
Parker, Colleen Helen; Gastroenterology, Internal Medicine
Parker, David   John; Cardiology, Internal Medicine
Parthab, Omkar; Family Medicine, Family Medicine (Emergency Medicine)
Pasternak, Jesse David; General Surgery
Patel, Keyur; Gastroenterology
Patriquin, Christopher Jordan; Hematology, Internal Medicine
Patsios, Demetris Andrea; Diagnostic Radiology
Paul, Ryan Augustine; Orthopedic Surgery
Payne, Lauren Elizabeth; Family Medicine
Peden, Kirstie Lynn; Family Medicine
Pei, Po-Chee; Internal Medicine, Nephrology
Peliowski, Arie; Anesthesiology
Pendergrast, Jacob   McGimsey; Hematology, Internal Medicine
Peng, Philip Wenn-Hsin; Anesthesiology
Penner, Todd Patrick; General Surgery
Perkins, Bruce   Joseph Louis Allan; Endocrinology and Metabolism, Internal Medicine
Perlas Fontana, Anahi; Anesthesiology
Perlis, Nathan; Urology
Peters, Rachel Alyssa; Family Medicine
Petrescu, Dan; Infectious Diseases, Internal Medicine
Petroz, Guy   Christian; Anesthesiology
Picard, Larry Meredith; Neurology
Piekos, Anna Maria; Family Medicine
Piggott, Katrina Lynn; Geriatric Medicine, Internal Medicine
Porte, Mark   Christopher; Orthopedic Surgery
Poutanen, Susan   Marie; Infectious Diseases, Internal Medicine, Medical Microbiology
Prabhu, Atul Joseph; Anesthesiology
Puchalski Ritchie, Lisa   Marie; Emergency Medicine
Puetz, Joel Andrew; Family Medicine, Family Medicine (Emergency Medicine)
Quereshy, Fayez   Ahmad; General Surgery
Rabinovitch, Theodore; Ophthalmology
Radovanovic, Ivan; Neurosurgery
Rai, Amandeep Singh; Ophthalmology
Rakhshani, Nasimeh; Family Medicine
Rakowski, Harry; Cardiology
Ramkumar, Jonathan   Mark; General Surgery
Rampersaud, Yoga Raja; Orthopedic Surgery
Randall, Ian Miles; Anesthesiology, Critical Care Medicine
Randazzo, Michael   Stephen; Internal Medicine
Rappaport, Daniel   Charles; Diagnostic Radiology
Rapson, Linda   Mary
Rassos, James Christopher; General Internal Medicine, Internal Medicine
Rawal, Sapna; Diagnostic Radiology
Rawal, Shail; Internal Medicine
Reedijk, Michael Jan; General Surgery
Regmi, Dybesh   Chandra; Family Medicine
Reich, Heather   Naomi; Internal Medicine, Nephrology
Reid, Aylin Yasmin; Neurology
Reid, Sarah   Jennifer; Family Medicine
Reiss, Dina; Endocrinology and Metabolism, Internal Medicine
Ren, Haifeng; Orthopedic Surgery
Retnakaran, Ravi   Rajan; Endocrinology and Metabolism, Internal Medicine
Reubeni-Zaltz, Renat; Family Medicine
Reynolds, Katelyn Bret; Psychiatry
Riazi, Sheila; Anesthesiology
Richardson, Lisa   Ann; Internal Medicine
Richardson, Michael Thomas; Family Medicine
Ridout, Rowena; Endocrinology and Metabolism, Internal Medicine
Ringer, Thomas James; Family Medicine, Family Medicine (Emergency Medicine)
Robinson, Matthew; Internal Medicine
Rockman, Patricia   Fay; Family Medicine
Rodin, Gary   Michael; Psychiatry
Rogalla, Patrik
Rootman, David   Samuel; Ophthalmology
Rosen, Cheryl Fern; Dermatology
Rosenblat, Joshua Daniel; Psychiatry
Ross, John Robert; Cardiology, Internal Medicine
Rossos, Peter George; Gastroenterology, Internal Medicine
Rotstein, Coleman   Michael Frederick; Infectious Diseases, Internal Medicine
Rozenberg, Dmitry; Internal Medicine, Respirology
Russo, Miguel Angel; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
Ryan, Clodagh Mai; Internal Medicine
Sabbah, Osama Rajih S; Emergency Medicine
Sadeghian, Hamid; Neurology
Sadek, Joseph; General Surgery
Sales, Valerie; Infectious Diseases, Pediatrics
Salgueiro Fernandes Marantes Guimaraes, Luis   Armando; Diagnostic Radiology
Salonen, David   Charles; Diagnostic Radiology
Sanaee, Layli Solmaz; Emergency Medicine
Sanchez-Guerrero, Francisco Jorge; Internal Medicine, Rheumatology
sandor, paul Paul; Psychiatry
Saslove, David Wayne
Sasson, Zion; Cardiology, Internal Medicine
Satok, David   Andrew; Family Medicine
Sawka, Annie Mary; Endocrinology and Metabolism, Internal Medicine
Scalco, Monica  Zavaloni; Psychiatry
Scaranelo, Anabel Medeiros; Diagnostic Radiology
Schaafsma, Joanna Danielle; Neurology
Schenker, Carly Shifra; Family Medicine
Schlenker, Matthew Bryan; Ophthalmology
Schmidt, Heidi   Christa; Diagnostic Radiology
Schofield, Michel   Mary Elizabeth
Scholey, James William; Internal Medicine, Nephrology
Schuh, Andre Claudius; Hematology, Internal Medicine
Schulz-Quach, Christian; Psychiatry
Schwartz, Michael Louis; Neurosurgery
Schwock, Joerg; Anatomical Pathology
Segal, Phillip   Harry Bacal; Endocrinology and Metabolism, Internal Medicine
Seidelin, Peter   Harald; Internal Medicine
Seiden, Howard   Shelly; Family Medicine
Selby, Rita; Hematology, Internal Medicine
Self, Lauren; Family Medicine
Sellers, Daniel; Anesthesiology
Sermer, Mathew; Obstetrics and Gynecology
Sethi, Rickinder; Psychiatry
Seyone, Chanth; Psychiatry
Shafiee Nyestanak, Mohammad Ali; Internal Medicine
Shah, Rupal; General Internal Medicine, Internal Medicine
Shaikh, Bashiruddin Nizamuddin; Urology
Shandling, Maureen Ruth; Neurology
Shapera, Shane Michael; Internal Medicine, Respirology
Sharkawy, Abdul   Quadir Ahmed; Infectious Diseases, Internal Medicine
Sharma, Satyendra; Physical Medicine and Rehabilitation
Sheehan, Kathleen Ann; Psychiatry
Shlomovitz, Eran; Diagnostic Radiology, General Surgery
Shoichet, Roy Philip; Psychiatry
Shorser, Steven Ronald
Shrott, Barry Howard
Sidhu, Amandeep; Internal Medicine, Respirology
Silver, Frank   Leonard; Neurology
Silver, Robert Donald; Endocrinology and Metabolism, Internal Medicine
Silverberg, Mark   Steven; Gastroenterology, Internal Medicine
Silverman, Jordan Daniel; Physical Medicine and Rehabilitation
Silverman, Melvin; Internal Medicine, Nephrology
Silversides, Candice   Kristeen; Cardiology, Internal Medicine
Siminovitch, Katherine   Anne; Internal Medicine, Rheumatology
Simons, Martin   Edward; Diagnostic Radiology
Singal, Neera; Ophthalmology
Singer, Lianne Gail; Internal Medicine, Respirology
Singer, Shaun; Ophthalmology
Singh, Jeffrey   Mahan; Internal Medicine
Singh, Mandeep; Anesthesiology
Singh, Vishnu Shankar; Internal Medicine
Singwi, Amita; Family Medicine
Sit, Marisa; Ophthalmology
Slomovic, Allan   Raymond; Ophthalmology
Slomovic, Brant Michael; Emergency Medicine
Slow, Elizabeth Jane; Neurology
Smith, Roger   Macleod Laing
Smith, Shelley Maxine; Family Medicine
Smith-Gorvie, Telisha   Je-Nelle; Emergency Medicine
Soboloff, Michael   Jay; Family Medicine
Sockalingam, Sanjeev; Psychiatry
Sodhi, Sumeet   Kaur; Family Medicine
Sole, Michael   Joseph; Cardiology
Solnik, Meir Jonathon; Obstetrics and Gynecology
Soman, Teesta Basu; Pediatrics
Somers, Andrea   Denise; Family Medicine, Family Medicine (Emergency Medicine)
Soneji, Neilesh; Anesthesiology
Soong, Christine   Chia-Chi; Family Medicine
Soowamber, Medha Laichand; Internal Medicine, Rheumatology
Sparrow, Andrew   Keith; Family Medicine
Spiegle, Gillian  Beth; General Internal Medicine, Internal Medicine
Srinivas, Coimbatore Vasudevamoorthy; Anesthesiology
St George-Hyslop, Peter   Henry; Internal Medicine, Neurology
Stall, Nathan Morton; Geriatric Medicine, Internal Medicine
Stanbrook, Matthew Joel Buchanan; Internal Medicine, Respirology
Stasiak, Philip; Emergency Medicine
Steel, Andrew   Christopher; Anesthesiology
Stefan, Raluca Alexandra; Emergency Medicine
Stefanski, Katherine   Elizabeth; Family Medicine, Family Medicine (Emergency Medicine)
Steiman, Amanda Joie; Internal Medicine, Rheumatology
Steiman, Asenath; Geriatric Medicine
Stein, Raymond David; Clinical Immunology, Internal Medicine
Steinhart, Allan   Hillary; Gastroenterology, Internal Medicine
Stogryn, Shannon Elise; General Surgery
Strafella, Antonio   Paolo; Neurology
Stubbs, Barbara   Elizabeth; Family Medicine
Styra, Rima Genovaite; Psychiatry
Sukhu, Michelle Kavita; Psychiatry
Sullivan, Michael   E.; Anesthesiology
Svihra, Martin William; Psychiatry
Swaminathan, Sunita; Family Medicine
Switakowski, Peter Karol; Family Medicine, Family Medicine (Emergency Medicine)
Sy, Jennifer; Family Medicine
Syed, Khalid   Ali; Orthopedic Surgery
Szabo, Michael Stephen; Family Medicine, Family Medicine (Emergency Medicine)
Szentgyorgyi, Eva   Maria; Anatomical Pathology
Taerk, Gary Stephen; Psychiatry
Taher, Ahmed Khaled Kamal Eldin; Emergency Medicine
Tai, Lucas L
Tai, Peter Chung; Neurology
Taman, Sara   Maureen; Family Medicine
Tan, Kong   Teng; Diagnostic Radiology
Tang-Wai, David   France; Neurology
Tardif, Gaetan; Physical Medicine and Rehabilitation
Targownik, Laura   Ellyn; Gastroenterology, Internal Medicine
Tarlo, Susan Mary; Internal Medicine, Respirology
Tartaglia, Maria   Carmela; Neurology
Tawadrous, Davy; Emergency Medicine
Tenenbein, Paul Kevin; Anesthesiology
Ter Brugge, Karel Gerard; Diagnostic Radiology
Thavendiranathan, Paaladinesh; Cardiology, Internal Medicine
Thenganatt, John; Internal Medicine, Respirology
Theodoropoulos, John   Stavros; Orthopedic Surgery
Thompson, Courtney Ann; Infectious Diseases, Internal Medicine
Thoo, Vanessa Li-Jien; Psychiatry
Tile, Lianne Ellen; Internal Medicine
Toi, Ants; Diagnostic Radiology
Torres, Felipe Soares; Diagnostic Radiology
Toubassi, Diana; Family Medicine
Touma, Zahi; Rheumatology
Trope, Graham Eric; Ophthalmology
Tsang, Wendy Wing Chi; Cardiology, Internal Medicine
Tse, Yvonne Yee Wun; Gastroenterology, Internal Medicine
Tu, Karen; Family Medicine
Tumber, Perm Paul Singh; Anesthesiology
Turner, John   James; Dermatology
Tuyishime, Eugene
Tymianski, Michael; Neurosurgery
Tyndel, Felix Joseph; Internal Medicine, Neurology
Tzanetos, Katina; Internal Medicine
Urbach, David   Robert; General Surgery
Urowitz, Murray   Barry; Internal Medicine, Rheumatology
Uxa, Amar Krishna; Cardiology
Vadasz, Gabriel Americo; Family Medicine
Vaisman, Alon; Infectious Diseases, Internal Medicine
Valente, Giuseppe Pasquale; Orthopedic Surgery
Valiante, Taufik Ali; Neurosurgery
van der Kwast, Theodorus   Hendricus; Anatomical Pathology
Van Praet, Oliver   Marcel; Family Medicine
van Rensburg, Adriaan   Esias; Anesthesiology
Van Vliet, Aaron James; Orthopedic Surgery
Van Wyk, Bernize; Family Medicine
Varadi, Robert Gabriel; Internal Medicine, Respirology
Veillette, Christian   Jean Henri; Orthopedic Surgery
Veit-Haibach, Patrick; Diagnostic Radiology, Nuclear Medicine
Venkat Raghavan, Lakshmikumar; Anesthesiology
Venugopal, Raghu; Emergency Medicine
Venus, Kevin   Allan; General Internal Medicine, Internal Medicine
Verbeeten, Karen Michelle; Diagnostic Radiology, Nuclear Medicine
Verma, Manisha; Family Medicine
Vescan, Allan   Dave; Otolaryngology - Head and Neck Surgery
Volling, Cheryl Ann; Infectious Diseases, Internal Medicine
Von Schroeder, Herbert   Peter; Orthopedic Surgery
Waddell, Thomas   Kenneth; General Surgery, Thoracic Surgery
Wagman, Robert   David; Ophthalmology
Wai, Alan   Chi-Man; Psychiatry
Waisman, Zohar; Forensic Psychiatry, Geriatric Psychiatry, Psychiatry
Walton, Christine   Cynthia; Orthopedic Surgery
Wang, Jean Chuen Yi; Hematology, Internal Medicine
Ward, Michael Robert; Cardiology, Internal Medicine
Ward, Richard; Hematology
Waserman, Susan; Clinical Immunology, Internal Medicine
Weaver, Donald   Fredric; Neurology
Weind Matthews, Kirsten Lisa; Diagnostic Radiology
Weinreb, Ilan; Anatomical Pathology
Weinstock, Victor   Moss; Ophthalmology
Weisbrod, Gordon Lloyd; Diagnostic Radiology
Weissglas, Juma Justin Mark; Psychiatry
Weizman, Adam Veres; Gastroenterology, Internal Medicine
Wennberg, Richard Arnold; Neurology
White, Lawrence   Marshall; Diagnostic Radiology
Wijeysundera, Duminda   Nalaka; Anesthesiology
Wilcox, Mary Elizabeth; Critical Care Medicine, Internal Medicine
Willinsky, Jacqueline Leah; Emergency Medicine
Willinsky, Robert Alan; Diagnostic Radiology
Wilson, Ian Robert; Orthopedic Surgery
Wintersperger, Bernd Juergen; Diagnostic Radiology
Wither, Joan Elizabeth; Internal Medicine, Rheumatology
Witterick, Ian James; Otolaryngology - Head and Neck Surgery
Wolfman, Wendy   Lynn; Obstetrics and Gynecology
Wolman, Stephen   Laurie; Gastroenterology, Internal Medicine
Wong, David Kah Heng; Internal Medicine
Wong, David Tai Wai; Anesthesiology, Internal Medicine
Wong, Eric Kai-Chung; Geriatric Medicine, Internal Medicine
Wong, Jean; Anesthesiology
Wong, Ming Fong Agnes; Ophthalmology
Wong, Wan   Wah
Wong, Wellington Patrick
Wong, Yat Wing; Dermatology
Woodside, Donald Blake; Psychiatry
Wooster, Douglas   Lawrence; General Surgery, Vascular Surgery
Wright, Julie Frances Korol; Infectious Diseases, Internal Medicine
Wu, Peter E; Clinical Pharmacology and Toxicology, Internal Medicine
Wu, Robert Clark; Internal Medicine
Wu, Sibra Shiu Cheong
Wytsma, Julia Laura; Family Medicine, Family Medicine (Emergency Medicine)
Xie, Edward Chengchao; Family Medicine, Family Medicine (Emergency Medicine)
Yan, Peng; Ophthalmology
Yanofsky, Richard Joseph; Psychiatry
Yaphe, Joel; Emergency Medicine
Yasufuku, Kazuhiro; Thoracic Surgery
Yeung, Jacky  Yat-Tung; Ophthalmology
Yi, Soojin Leslie; Family Medicine, Family Medicine (Emergency Medicine)
Youngson, Bruce James; Anatomical Pathology
Yu, Eric   Ho Cheung; Internal Medicine
Zec, Michelle Lynette; Orthopedic Surgery
Zhang, Cathy; Family Medicine
Zinman, Bernard; Endocrinology and Metabolism, Internal Medicine
Zurowski, Mateusz Jerzy; Psychiatry
Zywiel, Michael George; Orthopedic Surgery
