Abou-Seido, Maher Khamis Mohmmed Elbaz; Obstetrics and Gynecology
Shilash, Basil   Muhson Alwan; Family Medicine
Shinoff, Susan; Obstetrics and Gynecology
Shorey, Sanam   Sam; Endocrinology and Metabolism, Internal Medicine
Siddiqui, Farhan; Family Medicine, Family Medicine (Emergency Medicine)
Sidenberg, Lorne Howard
Siegel, Irving   Joel
Sikand, Aman; Family Medicine, Family Medicine (Emergency Medicine)
Silver, Kelly   Michelle; Family Medicine, Family Medicine
Simms, Kathryn Andrea; Anesthesiology
Singer-Jordan, Jonathan   Roy; Diagnostic Radiology
Singh, Ashley Michael; Anesthesiology
Singh, Jagdeep; Internal Medicine
Singla, Mohit; Cardiology, Pediatric Cardiology, Pediatrics
Sitzer, Nicole Brittany; Internal Medicine, Respirology
Sivananthan, Shankar; Critical Care Medicine, Internal Medicine
Sklar, Lawrence   Samuel; Internal Medicine
Smith, Leah Jean; Family Medicine
Soicher, Avrum Aron; Internal Medicine, Respirology
Soliman, Samuel   Ramzey Habib; Obstetrics and Gynecology
Sollazzo, David Jeffrey; Family Medicine
Somani, Sohel; Ophthalmology
Song, Yuning; Anesthesiology
Sookdeo, Sunel; Diagnostic Radiology, Family Medicine, Family Medicine (Emergency Medicine)
Starova, Blerta; Anatomical Pathology
Stewart, Craig   Leslie; Otolaryngology - Head and Neck Surgery
Stroganova, Nadejda; Psychiatry
Subramanian, Ganesh Kutala; Internal Medicine, Respirology
Suess, Andrew   Myles; Anesthesiology
Suleman, Shiraz; Obstetrics and Gynecology
Suneja, Sumeet Kaur; Internal Medicine, Nephrology
Suppal, Priya; Family Medicine
Surkont, Michael; Family Medicine
Syed, Ali   Abbas; Anesthesiology
Syslak, Paul   Henrik; Anesthesiology, Family Medicine
Tabish, Anum; Family Medicine
Tam, Dorothy; Anesthesiology
Tan, Patrick   Boon-Huat; Gastroenterology, Internal Medicine
Tang, Christine   Louise; Plastic Surgery
Tangri, Sabrena Kumari; Internal Medicine
Tanguay, Sophie; Pediatrics
Tariq, Hanzla; Family Medicine
Tattum, Leah   Eve; Pediatrics
Tavazzani, Franco Giorgio; Orthopedic Surgery
Tayyari, Farnoosh; Anatomical Pathology
Teper, Shane Hillel; Family Medicine, Family Medicine (Emergency Medicine)
Thannikkotu, Benny Paul; Cardiac Surgery
Thind, Amritpal Singh; Family Medicine
Thiviyarajah, Sangeetha; Internal Medicine, Rheumatology
Thom, Jessica Carmen; Internal Medicine
Tjandrawidjaja, Michael Clarence; Cardiology, Internal Medicine
Toth, Adam Andrew; Otolaryngology - Head and Neck Surgery
Tracey, John   Patrick
Trojan, Samantha Justine; Family Medicine
Trop, Sebastien; Cardiac Surgery, Critical Care Medicine
Tse, Leonard   Waye Han; General Surgery, Vascular Surgery
Tsihlias, John; Urology
Tsoi, Andrew Sze-Yun; Family Medicine
Tullio, Gerald Christopher; Neurology
Ulic, Diana Valentina; Critical Care Medicine, Internal Medicine
Vaidyanathan, Sankar; Family Medicine, Obstetrics and Gynecology
Vakharia, Nina Kalpesh; Family Medicine
Valani, Rahim   Amirali; Emergency Medicine, Family Medicine, Family Medicine (Emergency Medicine)
van Gulik, Michael   Gerard Francis; Anesthesiology
van Heest, Rardi Danielle; General Surgery
Vanderburgh, Leslie Carole; Diagnostic Radiology
Varughese, Jobin Mathew; Family Medicine
Vatsraj, Mitali; Internal Medicine
Vayalumkal, Philip Xavier; Family Medicine, Family Medicine (Emergency Medicine)
Vaz, Simone Sheree; Pediatrics
Veenema, Christopher Tacoma; Family Medicine
Verma, Neil; Family Medicine, Family Medicine (Emergency Medicine)
Vivas, Lucas; Internal Medicine
Vojvodich, Sandy Maria; Otolaryngology - Head and Neck Surgery
Vorobeichik, Leon; Anesthesiology
Wadehra, Davinder Bir Singh; Internal Medicine, Nephrology
Waines, Barbara Marie; Emergency Medicine
Walele, Abdul Aziz; Internal Medicine, Nephrology
Walker, James   David; Diagnostic Radiology
Wang, Angela Singwheay; Emergency Medicine
Wang, Jie Ting; Family Medicine
Wang, Nicholas Zhen; Family Medicine
Wang, Yongjin; Radiation Oncology
Wielecki, Sylvia Donna; Anesthesiology
Willard, Garry Lee; General Surgery
Woloszyk, Michael Anthony; Anesthesiology
Wong, Ben Chun-Tung; Internal Medicine, Nephrology
Wong, Simone   Nicole; Family Medicine
Woolnough, Nicholas Rupert John; Internal Medicine, Respirology
Wroblewski, Karol Cezary; Family Medicine, Family Medicine (Emergency Medicine)
Wu Chao Ying, Valerie; General Surgery
Wudom, Kofi   Atta; Family Medicine
Yang, Roy Yizhan; Diagnostic Radiology
Yeung, Ching; General Surgery, Thoracic Surgery
Yeung, Herman; Family Medicine
Ying, Luis   Tseng Jung; Gastroenterology, Internal Medicine
Youssef, Hany   Magdy Ramzi; Anesthesiology
Yu, Katie; Family Medicine
Yuen, Jasper   See Yin; Radiation Oncology
Zakhary, Gamel   Saad; Pediatrics
Zakhary, Mariam Rizk; Family Medicine
Ziai, Shayda; Family Medicine
