Abdallah, Faraj   Wahib; Anesthesiology
Rahim, Sherali   Akber; Cardiology, Internal Medicine
Rai, Amandeep Singh; Ophthalmology
Rai, Nanky; Family Medicine
Raizman, Igal; General Surgery
Ramji, Nasreen  Nizar Walji; Family Medicine
Ramji, Noor   Nizar Walji; Family Medicine
Ramlal, Vinod; Diagnostic Radiology
Rana, Jesleen Kaur; Family Medicine
Rashid, Meb; Family Medicine
Rassos, James Christopher; General Internal Medicine, Internal Medicine
Ray, Joel Geoffrey; Internal Medicine
Raza, Danyaal; Family Medicine
Razak, Fahad; Internal Medicine
Reial, Juri; Cardiology, Internal Medicine
Richards, Robin Richard; Orthopedic Surgery
Ridley, Jane; Family Medicine
Rigamonti, Andrea; Anesthesiology
Riley, Jennifer Frances; Emergency Medicine
Riolo, Giovanna; Internal Medicine, Respirology
Rival, Richard Allan; Otolaryngology - Head and Neck Surgery
Robertson, David   Walter; Psychiatry
Robertson, Deborah Grace; Obstetrics and Gynecology
Robinson, Dale   Keith; Neurology
Robison, Edith   Jean; Family Medicine
Rocca, Antonio  Stevereves; Cardiology, Internal Medicine
Rockman, Gerald Lewis
Rodin, Danielle Lee; Radiation Oncology
Rotstein, Dalia   Liann; Neurology
Rotstein, Ori   David; General Surgery
Rottapel, Robert   Kenneth; Internal Medicine, Rheumatology
Rouleau, Katherine Dominique; Family Medicine
Rowat, Bruce Montgomery Thomas; Internal Medicine
Rowe, Cheryl   June; Psychiatry
Rowsell, Corwyn Henry; Anatomical Pathology
Rozenblyum, Evelyn Victoria; Pediatrics, Rheumatology
Rubin, Laurence Anthony; Internal Medicine, Rheumatology
Saary, Maria   Joan; Occupational Medicine
Sabur, Natasha   Fatima; Internal Medicine, Respirology
Saccone, Michel Alessandro; Family Medicine
Saeed, Omar Qazi; Endocrinology and Metabolism, Internal Medicine
Sahgal, Arjun; Radiation Oncology
Sakotic, George; Anesthesiology
Salama, Arielle; Psychiatry
Saleeb, Rola Magdy Youssef; Anatomical Pathology
Samawi, Haider Hashim; Internal Medicine, Medical Oncology
Sanderson, Anna Leslie; Internal Medicine, Respirology
Santos, Claudia   Chimisso Dos; Internal Medicine
Saposnik, Gustavo; Neurology
Sappong Kumankumah, Antonia Rebekah; Family Medicine
Sarao, Manjot; Family Medicine
Sargeant, Robert James; Internal Medicine
Sarma, Dipanka; Diagnostic Radiology
Saslove, David Wayne
Sawa, Michael   Thomas; Neurology
Sax, Solly   Erwin; Family Medicine, Occupational Medicine
Scheer, Adena Sarah; General Surgery, General Surgical Oncology
Schemitsch, Emil   Harald; Orthopedic Surgery
Schipper, Harvey; Internal Medicine
Schiralli, Giovanna Maria; Family Medicine
Schneider, Raphael Peter; Neurology
Schneiderman, Jacob Harry; Neurology
Schofield, Lee   Mark; Family Medicine
Schreiber, Martin; Internal Medicine, Nephrology
Seiden, Howard   Shelly; Family Medicine
Selchen, Daniel Haim; Neurology
Selzner-Malekkiani, Nazia; Gastroenterology
Sgro, Michael Dominic; Pediatrics
Shah, Rajiv Robert; Obstetrics and Gynecology
Shamji, Adil; Family Medicine, Family Medicine (Emergency Medicine)
Shammas, Amer; Nuclear Medicine
Shanks, Leslie   Ann; Family Medicine
Sharma, Malika; Infectious Diseases, Internal Medicine
Shawn, Ilana Heather; Psychiatry
Shepherd, Susan   Mary; Family Medicine
Shin, Karen Hope-Yin; Psychiatry
Shinghal, Tulika; Otolaryngology - Head and Neck Surgery
Sholzberg, Michelle; Hematology, Internal Medicine
Shore, Eliane Mia; Obstetrics and Gynecology
Shoucri, Rami; Family Medicine
Shoush, Suzanne; Family Medicine
Showler, Adrienne Judith; Infectious Diseases, Internal Medicine
Shultz, David Benjamin; Radiation Oncology
Shupak, Rachel; Internal Medicine, Rheumatology
Sievenpiper, John Lamport; Medical Biochemistry
Silver, Samuel   Adam; Internal Medicine, Nephrology
Simpson, Andrea Natalie; Obstetrics and Gynecology
Simpson, Jory Sasha; General Surgery
Sinclair, Douglas Earle; Emergency Medicine, Family Medicine, Family Medicine (Emergency Medicine)
Sklar, Michael Chaim; Anesthesiology
Slutsky, Arthur Samuel
Smylie, Janet   Kathleen; Family Medicine
Snider, Carolyn Elaine; Emergency Medicine
Solomon, Philip   Roland; Otolaryngology - Head and Neck Surgery
Solomon, Robert   Scott; Dermatology
Song, Christine Hahjin; Clinical Immunology and Allergy, Internal Medicine
Soroka, Dana Joy; Obstetrics and Gynecology
Spaner, Donna-Mary Susan; Family Medicine
Spears, Julian; Neurosurgery
Spence, Julia   Mary; Emergency Medicine
Spilchuk, Vincent Todd; Internal Medicine, Occupational Medicine
Spivak, Harold Isaac; Psychiatry
Squires, William   Gordon Davies; Ophthalmology
Steele, Donna Marlene; Obstetrics and Gynecology
STEELE, LEAH  Sharon; Family Medicine
Steeves, Thomas Doran Lewis; Neurology
Steinhart, Brian David; Emergency Medicine
Stephenson, Anne Louise; Internal Medicine, Respirology
Stewart, Ann  Margaret; Family Medicine
Stewart, Robert John; Urology
Stone, Susan   Joan; Family Medicine
Straus, Sharon   Elizabeth; Geriatric Medicine, Internal Medicine
Streutker, Catherine Joanne; Anatomical Pathology
Stubbs, Robert Henry; Plastic Surgery
Styrsky, Eva Marie; Psychiatry
Sugiyama, Iwakichi Fusazo Henry James
Suleman, Shazeen; Pediatrics
Suneja, Sumeet Kaur; Internal Medicine, Nephrology
Sussman, David; Anesthesiology
Sussman, Gordon Lloyd; Clinical Immunology, Internal Medicine
Suthiphosuwan, Suradech; Diagnostic Radiology
Svoboda, Tomislav; Community Medicine
Swan, James   Henry; Internal Medicine
Swirsky, Karen Naomi; Family Medicine
Szasz, Peter; General Surgery
Tafur Arciniegas, Monica; Diagnostic Radiology
Taggart, Linda Rose; Infectious Diseases, Internal Medicine
Takhar, Sharandeep   Kaur; Family Medicine
Tam, Alan Ka Ho; Physical Medicine and Rehabilitation
Tam, Julian Siuhong; Internal Medicine, Respirology
Tan, Darrell   Hoi-San; Infectious Diseases, Internal Medicine
Tarlo, Susan Mary; Internal Medicine, Respirology
Tedesco, Alissa; Family Medicine
Teitel, Jerome Mark; Hematology, Internal Medicine
Teixeira, Fernando Jose; Emergency Medicine
Teja, Bijan Jamil; Anesthesiology
Tejani, Zahra; Internal Medicine
Teku, Edo ---; Family Medicine
Tepper, Jamie; Clinical Immunology, Internal Medicine
Tepper, Joshua   David; Family Medicine
Teshima, Christopher   Wayne; Gastroenterology, Internal Medicine
Tessler, Karen May; Obstetrics and Gynecology
Thakrar, Dipen Ramniklal; Anesthesiology
Thompson, Aaron   Michael Scholfield; Occupational Medicine
Thompson, Judith   Anne; Family Medicine
Thompson, Margaret   Anne; Emergency Medicine
Toma, Alina; Critical Care Medicine, Emergency Medicine
Tousignant, Claude   Pierre Joseph; Anesthesiology
Tran, Susan; Endocrinology and Metabolism, Internal Medicine
Trinkaus, Martina   Andrea; Hematology, Internal Medicine
Tron, Victor   Alexander; Anatomical Pathology
Tsang, Derek Siu Chung; Radiation Oncology
Tseng, Chia-Lin; Radiation Oncology
Tseng, Eric Kuo; Hematology, Internal Medicine
Tullis, Diana Elizabeth; Internal Medicine, Respirology
Tung, Frances Yu-Ying; Family Medicine
Turner, Suzanne Denise; Family Medicine
Turner, Tyrone   Silvio; Family Medicine, Psychiatry
Tzanetos, Katina; Internal Medicine
Ungar, Thomas Edward; Family Medicine, Psychiatry
Upton, Julia Elizabeth Mainwaring; Clinical Immunology and Allergy, Internal Medicine
Vadas, Peter; Clinical Immunology, Internal Medicine
Vaidya, Yashna Kashyap; Family Medicine
Vaidyanath, Chantal   Gayatri; Physical Medicine and Rehabilitation
Vaillancourt, Samuel; Emergency Medicine
van den Heuvel, Mathilda; Pediatrics
Van Wyk, Bernize; Family Medicine
Vanek, Irene; Ophthalmology
Vari, Barbara Judith; Family Medicine, FCFP - Family Medicine
Vasa, Priya Pradip; Family Medicine
Vellani, Karim; Family Medicine
Verma, Amol Anand; General Internal Medicine, Internal Medicine
Verma, Subodh; Cardiac Surgery
Viero, Sandra; Anatomical Pathology
Viezel-Mathieu, Alex; Plastic Surgery
Vinik, Ophir; Internal Medicine, Rheumatology
Vlachou, Paraskevi; Diagnostic Radiology
von Aesch, Zoe Frances; Family Medicine
Vosoughi, reza; Neurology
Vozoris, Nicholas   Theodore; Internal Medicine, Respirology
Waddell, James   Patterson; Orthopedic Surgery
Wahba Morcos, Mina   Waheed; Orthopedic Surgery
Wald, Ron; Internal Medicine, Nephrology
Walker, Laura  Elizabeth; General Internal Medicine, Internal Medicine
Wallace, Tessa Jean Mason; Family Medicine
Wan, Daniel Hon-Ko; Diagnostic Radiology
Wang, Cheng   Tao; Family Medicine
Wang, Jeffrey Zhenyu; Neurology
Ward, Sarah   Elizabeth; Orthopedic Surgery
Wasserman, Jeffrey   Jacob; Anesthesiology, Emergency Medicine
Wasylenki, Donald Alexander; Psychiatry
Watson, Nena-Rae; Family Medicine
Watt, Jennifer Ann; Geriatric Medicine, Internal Medicine
Weersink, Kristen   Theresa; Emergency Medicine
Weinstein, Jordan   Joseph; Internal Medicine, Nephrology
Weisdorf, Thea   Marie; Family Medicine
Welsh, Lauren Emily; Family Medicine
Wertman, Antoinette; Family Medicine, Family Medicine (Emergency Medicine)
Weyman, Karen   Rachel; Family Medicine
Wheatcroft, Mark David; Vascular Surgery
Whelan, Daniel Burke; Orthopedic Surgery
Wijayasinghe, Sheila; Family Medicine
Wijeysundera, Duminda   Nalaka; Anesthesiology
Willer, Christopher   Charles; Psychiatry
Wilson, Ian Robert; Orthopedic Surgery
Wilson, Jefferson   Roy; Neurosurgery
Winer, Shawn Michael; Anatomical Pathology
Witiw, Christopher Daniel; Neurosurgery
Wolfs, Maria Elena; Endocrinology and Metabolism, Internal Medicine
Wolpert, Natalie; Emergency Medicine
Wong, Benny Bing-Lai; Clinical Immunology and Allergy, Internal Medicine
Wong, Camilla   Long-Yan; Geriatric Medicine, Internal Medicine
Wong, David Kah Heng; Internal Medicine
Wong, David Mo Chiu; Family Medicine
Wong, David Tak Wah; Ophthalmology
Wong, Eric Kai-Chung; Geriatric Medicine, Internal Medicine
Wong, Florence   Suet Hing; Gastroenterology, Internal Medicine
Wong, Harvey   Hoi-Wai; Internal Medicine, Respirology
Wong, Jonathan Jing-Sun; Family Medicine
Wong, Natalie; Internal Medicine
Woolhouse, Susan   Jennifer; Family Medicine
Wormsbecker, Anne   Elizabeth; Pediatrics
Xie, Edward Chengchao; Family Medicine, Family Medicine (Emergency Medicine)
Yan, Andrew Tze-Kay; Cardiology, Internal Medicine
Yanagawa, Robert   Kei; Cardiac Surgery
Yang, Stephanie Pui-Yin; Internal Medicine, Rheumatology
Ying, Ethel; Pediatrics
Yip, Jonathan; Otolaryngology - Head and Neck Surgery
Young, Ann; Internal Medicine, Nephrology
Young, Elizabeth   Yuen Fun; Pediatrics
Young, Samantha Valerie; General Internal Medicine, Internal Medicine
Yu, Catherine   Hil-Yen; Endocrinology and Metabolism, Internal Medicine
Yu, Melissa; Family Medicine
Yu, Sun   On Richard; Emergency Medicine
Yucel, Yeni Hasan; Neuropathology
Yudin, Mark Harris; Obstetrics and Gynecology
Yuen, Darren Arthur Vee-Yip; Internal Medicine, Nephrology
Zalev, Arthur   Harold; Diagnostic Radiology
Zaltzman, Alina Sandra Rose; Family Medicine
Zandi, Sasan; Hematological Pathology, Hematological Pathology
Zarnett, Mark Eric; Orthopedic Surgery
Zavodni, Anna Elizabeth Helen; Diagnostic Radiology
Ziai, Shayda; Family Medicine
Zirkle, Molly Shaw; Otolaryngology - Head and Neck Surgery
Zorzitto, Maria Luigia; Geriatric Medicine, Internal Medicine
Zuker, Ronald Melvin; Plastic Surgery
